word,is_he
ליס,0
במסתנכר,0
אן,0
יקצד,0
אלאנסאן,0
לתביין,0
מעני,0
קצ'יה,0
מן,0
אלקצ'איא,0
בעבארה,0
בינה,0
ואצ'חה,0
קד,0
תחרי,0
פיהא,0
דפע,0
אלאשכאלאת,0
ואזאלה,0
"אלתאוילאת,",0
פיתאול,0
האולא,0
אלמרצ'י,0
אלאנפס,0
מן,0
תלך,0
אלעבארה,0
נקיץ',0
אלקצ'יה,0
אלתי,0
קצד,0
"ביאנהא,",0
וקד,0
אעתרי,0
מת'ל,0
הד'א,0
פי,0
כלאם,0
אללה,0
תעלי,0
"אסמה,",0
"וד'לך,",0
למא,0
קצד,0
סיד,0
אלנביין,0
לאעלאמנא,0
באמר,0
אללה,0
באנה,0
תעלי,0
ואחד,0
לא,0
נד,0
"לה,",0
וליזיל,0
מן,0
אנפסנא,0
תלך,0
אלארא,0
אלפאסדה,0
אלתי,0
אעתקדהא,0
"אלת'נויה,",0
קאל,0
מבינא,0
להד'ה,0
"אלקאעדה,",0
שמע,1
ישראל,1
ה',1
אלהינו,1
ה',1
"אחד,",1
פאסתדל,0
אלנצארי,0
בהד'א,0
אלפסוק,0
עלי,0
אן,0
אללה,0
ת'אלת',0
"ת'לאת'ה,",0
"וקאלוא,",0
קאל,0
ה'.,1
וקאל,0
"אלהינו,",1
וקאל,0
ה'.,1
פהד'ה,0
שלושה,1
"שמות,",1
וקאל,0
בעד,0
ד'לך,0
"אחד,",1
דליל,0
אנהם,0
ת'לאת'ה,0
ואן,0
אלת'לאת'ה,0
"ואחד,",0
תעלי,0
עמא,0
יג'הלון.,0
פאד'א,0
אעתרי,0
הד'א,0
פי,0
כלאם,0
"אללה,",0
באלאחרי,0
ואלאג'דר,0
אן,0
יעתרי,0
מת'ל,0
ד'לך,0
פי,0
כלאם,0
"אלבשר,",0
כמא,0
אעתרי,0
לבעץ',0
אלבלה,0
פי,0
תאויל,0
כלאמנא,0
פי,0
קאעדה,0
מן,0
קואעד,0
"אלשריעה,",0
לאנא,0
קצדנא,0
ללתנביה,0
עלי,0
קאעדה,0
עט'ימה,0
מגפול,0
"ענהא,",0
פשכוא,0
בד'לך,0
פי,0
קאעדה,0
בינה,0
ואצ'חה,0
פי,0
אלמלה,0
לא,0
אשכאל,0
פיהא.,0
"וד'לך,",0
אנה,0
למא,0
תג'רדנא,0
לה,0
מן,0
אלתואליף,0
פי,0
פקה,0
אלשריעה,0
ותביין,0
"אחכאמהא,",0
קצדנא,0
פי,0
ד'לך,0
וג'הה,0
תעלי,0
לא,0
טלב,0
אג'רה,0
מן,0
אלנאס,0
ולא,0
"כראמה,",0
בל,0
ארשאד,0
ואבאנה,0
ותפהים,0
למן,0
קצר,0
ען,0
פהם,0
כלאם,0
מן,0
תקדמנא,0
מן,0
עלמא,0
אלשריעה,0
"ז""ל",1
בחסב,0
מא,0
ט'ננאה,0
ובדא,0
לנא,0
אנא,0
קד,0
קרבנא,0
וסהלנא,0
אמורא,0
כת'ירה,0
בעידה,0
"עויצה,",0
וג'מענא,0
ואלפנא,0
אמורא,0
משתתה,0
מפרקה.,0
ועלמנא,0
אנא,0
ראבחין,0
עלי,0
כל,0
"חאל,",0
"וד'לך,",0
אנה,0
אן,0
כאן,0
אלאמר,0
כמא,0
ט'ננאה,0
מן,0
כוננא,0
סהלנא,0
וקרבנא,0
וג'מענא,0
מא,0
לם,0
יפעל,0
מת'לה,0
אחד,0
ממן,0
תקדמנא,0
פקד,0
חצלנא,0
עלי,0
אפאדה,0
אלנאס,0
ואלאג'ר.,0
ואן,0
כאן,0
ליס,0
אלאמר,0
כד'לך,0
ולא,0
חצל,0
מן,0
כלאמנא,0
זיאדה,0
ביאן,0
ולא,0
תסהיל,0
עלי,0
מא,0
אלפה,0
אלגיר,0
ממן,0
"תקדם,",0
פקד,0
חצלנא,0
עלי,0
אלאג'ר,0
"וחדה,",0
ולנא,0
"ניתנא,",0
ורחמנא,1
ליבא,1
בעי.,1
ותצור,0
הד'א,0
אלמעני,0
הו,0
אלד'י,0
אטלק,0
אללסאן,0
ואליד,0
ללתאליף,0
פי,0
כל,0
גרץ',0
נרג'ו,0
פיה,0
מא,0
ד'כרנא,0
מן,0
אלג'מע,0
ואלתביין.,0
פלמא,0
תג'רדנא,0
לד'לך,0
ראינא,0
אנה,0
ליס,0
מן,0
אלחק,0
אן,0
נקצד,0
למא,0
נרידה,0
מן,0
תביין,0
ותקריב,0
פרוע,0
"אלדין,",0
ואתרך,0
אצולה,0
מהמלא,0
לא,0
אבינהא,0
