word,is_he
,0
אלג'ואב,0
קולה,0
אחת,1
ארוכה,1
ואחת,1
קצרה,1
הו,0
תביין,0
שתים,1
לפניה,1
בין,1
בערבית,1
בין,1
"בשחרית,",1
אלאולי,0
אבדא,0
ארוכה,1
והי,0
יוצר,1
אור,1
שחרית,1
ומעריב,1
ערבים,1
ערבית,1
ואלתי,0
בעדהא,0
קצרה,1
והי,0
אהבת,1
עולם,1
ערבית,1
ושחרית.,1
וכל,1
ברכה,1
תפתתח,0
בברוך,1
ותכ'תתם,0
בברוך,1
הי,0
אלתי,0
יסמוהא,0
ארוכה,1
ואלתי,0
ליסת,0
כד'לך,0
תסמי,0
קצרה.,1
וכון,0
אלחתימה,0
נותן,1
התורה,1
הו,0
גרץ',0
"אלברכה,",0
לאן,0
מענאה,0
אלד'י,0
פרץ',0
עלינא,0
קראתהא,0
והד'א,0
הו,0
מעני,0
"נתינה,",1
והו,0
גרץ',0
"אלברכה,",0
טלב,0
אלמעונה,0
עלי,0
קראתהא.,0
ואמא,0
אן,0
יכת'ם,0
המלמד,1
תורה,1
"פמכ'טי,",0
לאן,0
אללה,0
ליס,0
יעלמנאהא,0
בל,0
אמרנא,0
בתעלמהא,0
"ותעלימהא,",0
והד'א,0
יטרד,0
עלי,0
אצל,0
שריעתנא,0
והו,0
אן,0
עמל,0
אלמצוות,0
באידינא,0
לא,0
בג'בר,0
מן,0
אללה,0
עלי,0
עמלהא,0
או,0
תרכהא.,0
ונץ,0
אלברכה,0
חאדיה,0
עשר,0
פאן,0
יכ'תם,0
פיהא,0
"בא""י",1
אוהב,1
צדקה,1
"ומשפט,",1
ואנמא,0
ילזם,0
ד'כר,0
מלך,1
פי,0
עשרת,1
ימים,1
כמא,0
ד'כרת.,0
וקריית,1
שמע,1
על,1
מיטתו,1
לא,0
יבארך,0
עליהא,0
לאנה,0
אמר,0
מסתחב,0
לא,1
מצוה,1
תסתחק,0
אלברכה.,0
וכתב,1
משה,1
