word,is_he
ואמא,0
מא,0
ד'כרתה,0
מן,0
אמר,0
אלרג'ל,0
אלד'י,0
אדעי,0
אנה,0
משיח,1
פי,0
קרי,0
"אלימן,",0
פלעמרי,0
מא,0
עג'בת,0
מנה,0
ולא,0
מן,0
"תאבעיה,",0
אמא,0
הו,0
פלכונה,0
מג'נון,0
בלא,0
"שך,",0
וליס,0
עלי,0
מריץ',0
מד'מה,0
ולא,0
לום,0
פי,0
מרצ'ה,0
אד',0
לם,0
"יסבבה,",0
ואמא,0
תאבעיה,0
פלשדה,0
אלחאל,0
עליהם,0
וג'הלהם,0
במוצ'ע,0
אלמשיח,0
ומרתבתה,0
אלעט'ימה,0
ט'נוא,0
"ד'לך,",0
ואנמא,0
עג'בת,0
מן,0
קולך,0
"אנת,",0
ואנת,0
מן,0
בני,1
תורה,1
וקד,0
טאלעת,0
אקואל,0
"אלחכמים,",0
לעל,0
הד'א,0
צחיח.,0
אלא,0
תעלם,0
יא,0
אכ'י,0
אן,0
אלמשיח,0
נביא,1
מעט'מא,0
אעט'ם,0
מן,0
ג'מיע,0
אלבעד,0
משה,1
"רבינו,",1
ואלא,0
תעלם,0
אן,0
מדעי,0
אלנבוה,0
אד'א,0
כד'ב,0
פי,0
דעואה,0
ילזמה,0
אלקתל,0
לתעאטיה,0
הד'ה,0
אלמרתבה,0
"אלעט'ימה,",0
כמא,0
יקתל,0
מתנבא,1
בשם,1
עבודה,1
"זרה,",1
והו,0
קולה,0
תעאלי,0
אך,1
הנביא,1
אשר,1
יזיד,1
לדבר,1
דבר,1
בשמי,1
את,1
אשר,1
לא,1
צויתיו,1
לדבר,1
וגו'.,1
ואי,0
דליל,0
אדל,0
עלי,0
כד'בה,0
אלא,0
מג'רד,0
דעואה,0
אנה,0
"אלמשיח,",0
ומא,0
אעג'ב,0
קולך,0
פיה,0
אנה,0
מערוף,0
באלעפה,0
וענדה,0
בעץ',0
"עלם,",0
במת'ל,0
הד'ה,0
אלחט'וט',0
יכון,0
משיח?,1
אוג'ב,0
הד'א,0
כלה,0
כונך,0
לם,0
תלתפת,0
למרתבה,0
אלמשיח,0
מא,0
"הי,",0
וכיף,0
יכון,0
"קיאמה,",0
ואין,0
"יכון,",0
ומא,0
אכ'ץ,0
עלאמאתה.,0
פאמא,0
מרתבתה,0
פהי,0
אעלי,0
מראתב,0
אלאנביא,0
ואכרמהא,0
בעד,0
משה,1
"רבינו,",1
ויכ'צה,0
אללה,0
באשיא,0
