word,is_he
,0
[…]תם,0
ואללה,0
אלמשכור,0
אלד'י,0
הקרה,1
ל[פניו(?)],1
[ה]יום,1
ולם,0
יחל,0
אלא,0
פי,0
ג'מע,0
כרים,0
ג'ליל,0
ממיז,0
מ[ת]'ל[כ]ם,0
פכאנה,0
לם,0
יתגרב,0
חקיקה,0
בל(?),0
תאהל,0
ווג'ד,0
מא,0
יסתאהל,0
וכד'לך,0
[י]נבגי,0
לכם,0
דאם,0
עזכם,0
אן,0
תתג'בו[א?],0
[לה?],0
במא,0
מנחתם,0
מן,0
אללה,0
בחלול,0
מת'ל[ה],0
פי[מאו?],0
[בי?]נכם,0
פמת'לכם,0
לה,0
אהלא,0
והו,0
למת'לכם,0
אהלא,0
משל,1
לענבי,1
הגפן,1
בענבי,1
הגפן,1
דבר,1
נאה,1
ומתקבל,1
וקד,0
עלמתם,0
מן,0
כ'לקה,0
מת'ל,0
מא,0
עלמנא,0
נחן,0
מן,0
עלמה,0
ודינה,0
ובאשרתם,0
נזאהה,0
נפסה,0
וקנעה,0
וכ'פה,0
וטאתה,0
מע,0
אנקטאע,0
אסבאב,0
אלמנאפע,0
[……],0
