word,is_he
ופי,0
רבי,1
נצחק,1
בן,1
ששון,1
ז'ק'ל',1
ממא,0
נ(?),0
כתבה,0
בה,0
יחיה,1
"ז""ל",1
בלבו,1
תבונות,1
נעימים,1
בדעתו,1
מזמות,1
"גדולים,",1
ודומה,1
למלאך,1
אלהים,1
והוא,1
תם,1
ושוכן,1
אהלים.,1
ופניו,1
כשמש,1
בצאתו,1
וגם,1
הוא,1
גביר,1
רב,1
פעלים.,1
ותורה,1
על,1
פיו,1
סדורה,1
והוא,1
שם,1
לדרכה,1
שבילים.,1
וכל,1
מועצותיו,1
מתוקים,1
והמה,1
כמרפא,1
לחולים.,1
ומליו,1
כנופת,1
וצופים,1
ירוצון,1
כמי,1
"הנחלים,",1
(ירוצון),1
ולהם,1
הם,1
משרתים,1
וכולם,1
בדעתו,1
"שקולים,",1
וכל,1
דין,1
מחוסר,1
וקשה,1
[…],1
יביאון,1
לפניו,1
וישלים.,1
וכל,1
איש,1
אל,1
ביתו,1
ירוצון,1
ישיבו,1
ליושר,1
במלים,1
ענוה,1
וחסד,1
ויקר,1
בשולי,1
מעילו,1
גדילים,1
וגם,1
הוא,1
מלובש,1
מעיל,1
"חן,",1
מעיל,1
"הוד,",1
וכמה,1
"מעילים,",1
יהי,1
א',1
בעזרו,1
לעולם,1
אויביו,1
בחרבו,1
נפולים,1
[……],0
