word,is_he
הדה,0
מכאתבאת,0
אולפהא,0
מרנו,1
ורבנו,1
ואדוננו,1
גאוננו,1
זכריהו,1
ראש,1
ישיבת,1
גאון,1
יעקב,1
ירו',1
הוד',1
חמוד,1
רבנו,1
ברכאל,1
החסיד,1
ראש,1
קהלות,1
ישראל.,1
אתי,1
מלבנון,1
כלה.,1
אתי,1
מלבנון,1
תבואי,1
בצהלה,1
וגילה.,1
תשורי,1
מראש,1
אמנה,1
לנורא,1
עלילה.,1
מראש,1
שניר,1
וחרמון,1
והר,1
תבור,1
והכרמלה.,1
ממעונות,1
אריות,1
ומהררי,1
נמרים.,1
להפציח,1
תהלה,1
באפוס,1
המץ,1
ובנפול,1
נוגש,1
בבור,1
כרה,1
ובשפלה.,1
והיתה,1
מאמנת,1
"באלהיה,",1
כסוס,1
הודו,1
במלחמה,1
עונה,1
שיר,1
למלכה,1
ועל,1
דודה,1
מתרפקת,1
באהבה,1
וחמלה.,1
והוכן,1
בחסד,1
כסא,1
ויושב,1
עליו,1
באמת,1
שופט,1
להרחיק,1
בני,1
עולה.,1
ולקרב,1
כל,1
משליך,1
חבל,1
בתעודה,1
מפנינים,1
יקרה,1
ומעולה.,1
ובא,1
יוי',1
אלהי,1
וכל,1
קדושים,1
עמו,1
מחבלי,1
כרמו,1
לחבלה.,1
וראמה,1
וישבה,1
תחתיה,1
ישיבה,1
יושבת,1
בגנים,1
להורות,1
לעוברים,1
אורח,1
סלולה.,1
ולפני,1
קרואיה,1
יאמר,1
הקורא:,1
סלו,1
המסלה.,1
פנו,1
דרך,1
הרימו,1
מכשול,1
ומכשלה.,1
ערוך,1
השלחן,1
צפה,1
הצפית,1
קומו,1
השרים,1
משחו,1
מגן,1
בשמן,1
משחת,1
קודש,1
וגדולה.,1
בואו,1
רדו,1
כי,1
מלא,1
הגת,1
השיקו,1
היקבים,1
יין,1
המשומר,1
בענביו,1
מששת,1
ימי,1
בראשית,1
לחסידי,1
אום,1
סורה,1
וגולה.,1
המה,1
השרידים,1
אשר,1
קראם,1
קורא,1
הדורות,1
לשם,1
וסגולה.,1
הבונים,1
שני,1
פלטרין,1
בבארם,1
צפוני,1
סודי,1
מגלה.,1
אשר,1
ראה,1
הנביא,1
עפה,1
וכפולה,1
הכתובה,1
פנים,1
ואחור,1
באצבע,1
מושל,1
בגבורתו,1
עולם.,1
בה,1
כתוב,1
שכר,1
ישרי,1
"פעולה,",1
תרעתים,1
שמעתתים,1
סוכתים,1
משפחות,1
ספרים,1
מגישי,1
מנחה,1
ועולה.,1
להם,1
יובל,1
שי,1
מכוש,1
וכוב,1
ולוב,1
וסבא,1
ושבא,1
וחוילה.,1
ואחיהם,1
יובלו,1
בצבים,1
ובפרדים,1
ובכרכרות,1
כאשר,1
יביאו,1
בני,1
ישראל,1
חרבה,1
ובלולה.,1
בכלי,1
טהור,1
לעירה,1
ההוללה.,1
בראשם,1
אחינו,1
אנשי,1
גאולתינו,1
בחירי,1
קהלותינו,1
הקהל,1
הקדוש,1
אשר,1
בעיר,1
כפתידגאן,0
חונים,1
ושכיניהם,1
אנשי,1
עיר,1
סוסיא,1
הכנים,1
השרים,1
האצילים,1
הנאמנים,1
והזקנים,1
הנדיבים,1
והבחורים,1
הבחורים,1
והנשים,1
והטף,1
גדולים,1
וקטנים,1
והמלמדים,1
המשכילים,1
ושליחי,1
צבורים,1
"והחזנים,",1
יברכם,1
נוצר,1
אמונים,1
בברכת,1
הורים,1
ואבות,1
"קדמונים,",1
וישמיע,1
באהליהם,1
קול,1
שמחה,1
"ורננים,",1
ובימי,1
הפסח,1
יפסח,1
עליהם,1
להצילם,1
"ממענים,",1
להושיבם,1
כימי,1
מועד,1
במשכנות,1
מבטחים,1
ובמנוחות,1
"שאננים,",1
להיותם,1
שתולים,1
בחצרות,1
בית,1
יוי',1
דשנים,1
"ורעננים,",1
להשבית,1
מהם,1
ריבות,1
ומדנים.,1
להעליז,1
לבותם,1
ולראותם,1
"דשנים,",1
להראותם,1
בנין,1
עיר,1
ציון,1
ושכלול,1
"ארמונים,",1
וכן,1
יהי,1
רצון:,1
ישאו,1
אחינו,1
"האהובים,",1
אשר,1
בישיבתנו,1
"חשובים,",1
של[ום],1
רב,1
מלפני,1
יושב,1
"הכרובים,",1
וממלאכים,1
לשרתו,1
ולברך,1
בשמו,1
"נצבים,",1
[מלומדי,1
התעודה,1
יקרי]ם,1
אמריה,1
מפנינים,1
ואבנים,1
"טובים,",1
ומשער,1
הישיבה,1
ההוצ[ב,1
להורות],1
בישראל,1
חקים,1
ומשפטים,1
"טובים,",1
ומכלל,1
תלמידנו,1
ובני,1
ישי[בתנו,1
ומתי,1
ח]בורתנו,1
אשר,1
ממעין,1
הישיבה,1
"שואבים,",1
כי,1
כולנו,1
חונים,1
של[ום,1
בצל,1
פו]דנו,1
וברחמיו,1
