word,is_he
שבע,1
שמחות,1
ורני,1
"פלט,",1
מכל,1
יגון,1
ואנחה,1
"למלט,",1
ומכל,1
מצוקה,1
[להמצ]יא,1
"פרקליט,",1
יד,1
ישע,1
על,1
מתי,1
רשע,1
"להשל[ט],",1
להסיר,1
יורה,1
בעלט,1
"(?),",1
ולקנות,1
זכויות,1
"בחלט,",1
לאיש,1
יושר,1
בעשה,1
כושר,1
בשתי,1
ידיו,1
"שולט,",1
הוא,1
זקננו,1
נכבדנו,1
נאמננו,1
הזקן,1
היקר,1
הפקיד,1
המאושר,1
מ',1
ור',1
זכריה,1
פקיד,1
"הישיבה,",1
יהיה,1
לאלף,1
"ולרבבה,",1
ותפלתו,1
תהיה,1
"קשובה,",1
וצדקתו,1
בשער,1
העליון,1
"[חט]ובה,",1
ומעלתו,1
"חשובה,",1
שקידתו,1
[…],1
ופעולתו,1
זכה,1
"ו[נשג]בה,",1
ובחג,1
המצות,1
הבא,1
[י]שמחהו,1
דגול,1
מרבבה,1
שמחה,1
"ערבה,",1
ונסבה,1
גילתו,1
"ורחבה,",1
כי,1
תסור,1
מביתו,1
"דאבה,",1
ותבער,1
באויביו,1
אש,1
"להבה,",1
וכן,1
יהי,1
רצון.,1
שלום,1
יבואהו,1
מלפני,1
שוכן,1
שמי,1
"מעלה,",1
ושמחה,1
מעורבת,1
ברננה,1
"וגילה,",1
ל[שומו,1
ב]קר[ב],1
הארץ,1
לשם,1
"ולתהלה,",1
וממלאכי,1
[מרום],1
עורכי,1
"תהלה,",1
וקרא,1
זה,1
אל,1
זה,1
מי,1
לא,1
[…],1
[…],1
"לה,",1
וממאור,1
קוב[ה],1
מקפת,1
"ועגולה,",1
ומדת,1
כ[…],1
"משולה,",1
ומשער,1
הישיבה,1
השוקד,1
על,1
יושר,1
"מסלה,",1
ולא,1
נמצא,1
בשפתיו,1
"עולה,",1
ומכל,1
הנלוים,1
אליו,1
[…],1
"סלה,",1
כי,1
כלנו,1
שופכים,1
בחג,1
הזה,1
[תחנ]ונינו,1
[……],1
[…],0
אלשיך,0
אלג'ליל,0
אלוכיל,0
אלתקה,0
אלאמין,0
[…],0
[…],0
[אבק]אה,0
וחרס,0
[א]באה,0
וצ'אעף,0
סאעדתה,0
ונעמאה,0
ואשואקנא,0
אלמתת,0
[…],0
[…],0
ואתואקנא,0
אלמתראדפה,0
[…],0
חוה,0
ליס,0
ממא,0
ימכן,0
אסתיעאב,0
דכרה,0
[אלי,0
שנ]תהא,0
דלך,0
פי,0
אלבאיה,0
ולדלך,0
פנכתצר,0
אל[תפפל],0
בדלך,0
חתי,0
[…],0
בהול,0
[…],0
נמירה,0
אלמחרוס,0
פאללה,0
וינקלב,0
[…],0
[…],0
[…],0
אלאג'תמא[ע],0
[…],0
שמו,1
