word,is_he
קאל,0
אלחבר,0
ואעוד',0
באללה,0
מן,0
אלמחאל,0
ומא,0
ינפיה,0
אלעקל,0
ויצ'עה,0
מחאלא,0
ואול,0
אלעשר,0
כלמאת,0
הו,0
אלאמר,0
באעתקאד,0
אלרבוביה.,0
ואלת'אני,0
מן,0
אלכלמאת,0
הי,0
אלנהי,0
ען,0
אתכ'אד',0
אלאה,0
דון,0
אללה,0
תע',0
וען,0
אלאשראך,0
בה,0
ואלנהי,0
ען,0
אלתשביה,0
ואלתמת'יל,0
ואלתכ'ייל,0
[ו]באלג'מלה,0
ען,0
אלתג'סים,0
וכיף,0
לא,0
ננזהה,0
ען,0
אלתג'סים,0
ונחן,0
ננזה,0
כת'ירא,0
מן,0
מכ'לוקאתה,0
ען,0
ד'לך,0
כאלנפס,0
אלנאטקה,0
אלתי,0
הי,0
אלאנסאן,0
עלי,0
אלחקיקה.,0
פאן,0
אלד'י,0
יכ'אטבנא,0
מן,0
מוסי,0
ויעקל,0
וידבר,0
ליס,0
ד'לך,0
לסאנה,0
ולא,0
קלבה,0
ולא,0
דמאגה,0
בל,0
הד'ה,0
אלאת,0
למוסי.,0
ומוסי,0
נפס,0
נאטקה,0
ממיזה,0
ליסת,0
ג'סמא,0
ולא,0
תתחיז,0
פי,0
מכאן,0
ולא,0
יצ'יק,0
ענהא,0
מכאן,0
ולא,0
תצ'יק,0
הי,0
ען,0
[אן],0
תחצל,0
פיהא,0
צור,0
ג'מיע,0
אלמכ'לוקאת,0
פנצפהא,0
באוצאף,0
מלכותיה,0
רוחאניה,0
פצ'לא,0
ען,0
כ'אלק,0
אלכל,0
ואנמא,0
עלינא,0
אן,0
לא,0
נדפע,0
מא,0
תואתר,0
מן,0
ד'לך,0
אלמשהד,0
ת'ם,0
נקול,0
לא,0
נדרי,0
כיף,0
תג'סם,0
אלמעני,0
חתי,0
צאר,0
כלאמא,0
וקרע,0
אד'אננא,0
ולא,0
מא,0
אכ'תרע,0
לה,0
תע',0
ממא,0
לם,0
יכן,0
מוג'ודא,0
ולא,0
מא,0
סכ'ר,0
לה,0
מן,0
אלמוג'ודאת,0
אד',0
לא,0
תעג'זה,0
קדרה,0
כמא,0
נקול,0
אנה,0
תע',0
כ'לק,0
אללוחין,0
וכתבהמא,0
כתב,0
נקש,0
כמא,0
[כ'לק],0
אלסמא,0
ואלכואכב,0
במשיתה,0
פקט,0
שא,0
אללה,0
תע',0
פתגסם,0
באלמקדאר,0
אלד'י,0
שא,0
[ועלי,0
אלהיאה,0
אלתי,0
שא],0
ואנתקש,0
פיהא,0
אלכ'ט,0
באלי',0
כלמאת,0
כמא,0
נקול,0
אנה,0
שק,0
אלבחר,0
וצירה,0
אסוארא,0
ואקפה,0
ען,0
ימין,0
אלקום,0
וען,0
שמאלהם,0
ואזקה,0
מרתבה,0
ואסעה,0
וארצ'א,0
וטיה,0
ימשון,0
פיהא,0
דון,0
תכלף,0
ולא,0
תכ'לף,0
וד'לך,0
אלשק,0
ואלבניאן,0
ואלאתקאן,0
מנסוב,0
אליה,0
תע',0
לם,0
יחתג',0
פיה,0
אלי,0
אלה,0
ואסבאב,0
מתוסטה,0
כמא,0
יחתאג',0
פי,0
פעל,0
אלמכ'לוקין,0
פאן,0
אלמא,0
וקף,0
לאמרה,0
ותשכל,0
במשיתה,0
הכד'א,0
יתשכל,0
אלהוא,0
אלואצל,0
אלי,0
אד'ן,0
אלנבי,0
באשכאל,0
אלחרוף,0
אלתי,0
תקתצ'י,0
אלמעאני,0
אלתי,0
יריד,0
אללה,0
אן,0
יסמעהא,0
אלנבי,0
ואלג'מהור.,0
