word,is_he
קאל,0
אלחבר,0
אלם,0
יקל,0
את'ר,0
ד'לך,0
ומכה,1
נפש,1
בהמה,1
ישלמנה,1
נפש,1
תחת,1
נפש,1
אליס,0
הד'א,0
אלדיה,0
והלא,0
קאל,0
מן,0
קתל,0
פרסך,0
אקתל,0
פרסה,0
לכן,0
קאל,0
כ'ד',0
פרסה,0
אד',0
לא,0
מנפעה,0
לך,0
פי,0
קתל,0
פרסה,0
וכד'לך,0
מן,0
קטע,0
ידך,0
פכ'ד',0
דיהֿ,0
ידה,0
אד',0
לא,0
מנפעה,0
לך,0
פי,0
קטע,0
ידה.,0
לא,0
סימא,0
וינטוי,0
פי,0
הד'ה,0
אלאחכאם,0
מא,0
ינאקצ'ה,0
אלעקל,0
מן,0
פצע,1
תחת,1
פצע,1
חבורה,1
תחת,1
חבורה.,1
כיף,0
לנא,0
תקדיר,0
ד'לך,0
ורבמא,0
מאת,0
אחדהמא,0
מן,0
ג'רחה,0
ולם,0
ימת,0
אלאכ'ר,0
מן,0
מת'להא.,0
וכיף,0
לנא,0
חתי,0
תכ'רץ,0
מת'להא.,0
וכיף,0
נקלע,0
עין,0
אעור,0
פי,0
חק,0
מן,0
כאנת,0
לה,0
עינאן,0
פיבקי,0
אלואחד,0
אעמי,0
ואלאכ'ר,0
אעור,0
ואלתורה,0
תקול,0
כאשר,1
יתן,1
מום,1
באדם,1
כן,1
ינתן,1
בו.,1
ומא,0
צ'רורתי,0
אן,0
אנאט'רך,0
פי,0
הד'ה,0
אלג'זאיאת,0
בעד,0
תקדימי,0
צ'רורהֿ,0
אלתקליד,0
מע,0
צדק,0
אלמקלדין,0
וג'לאלתהם,0
ועלמהם,0
ואג'תהאדהם.,0
