word,is_he
ואד',0
קד,0
אנקצ'י,0
מא,0
ארדנא,0
אלחאקה,0
באלקול,0
"אלאול,",0
פינבגי,0
אן,0
נד'כר,0
מואד,0
אלחק,0
ומעטיאת,0
"אליקין,",0
אלתי,0
הי,0
מעדן,0
לכל,0
"מעלום,",0
וינבוע,0
לכל,0
"מערוף,",0
ונתכלם,0
עליהא,0
במקדאר,0
מא,0
יואפק,0
קול,0
צדר,0
הד'א,0
"אלכתאב,",0
ונקול,0
אנהא,0
ת'לאת',0
"מואד,",0
אלאולי,0
עלם,0
"אלשאהד,",0
ואלת'אניה,0
עלם,0
"אלעקל,",0
ואלת'אלת'ה,0
עלם,0
מא,0
דפעת,0
אלצ'רורה,0
אליה.,0
ונתבע,0
ד'לך,0
בשרח,0
ואחד,0
ואחד,0
מן,0
הד'ה,0
"אלאצול,",0
"ונקול,",0
אמא,0
עלם,0
אלשאהד,0
פהו,0
מא,0
אדרכה,0
אלאנסאן,0
באחד,0
אלכ'מסה,0
"חואס,",0
אמא,0
בבצר,0
או,0
בסמע,0
או,0
במשם,0
או,0
בד'וק,0
או,0
בלמס.,0
ואמא,0
עלם,0
אלעקל,0
פהו,0
מא,0
יקום,0
פי,0
עקל,0
אלאנסאן,0
"פקט,",0
מת'ל,0
אסתחסאן,0
אלצדק,0
ואסתקבאח,0
אלכד'ב.,0
ואמא,0
עלם,0
אלצ'רוריאת,0
פהו,0
מא,0
אן,0
לם,0
יצדק,0
בה,0
אלאנסאן,0
ילזמה,0
אבטאל,0
מעקול,0
או,0
"מחסוס,",0
פאד',0
לא,0
סביל,0
אלי,0
אבטאלה,0
פיצ'טרה,0
אלאמר,0
אלי,0
אלתצדיק,0
בד'לך,0
"אלמעני,",0
כמא,0
נצ'טר,0
אלי,0
אן,0
נקול,0
באן,0
ללאנסאן,0
נפסא,0
ואן,0
לם,0
נשאהדהא,0
לילא,0
נבטל,0
פעלהא,0
"אלט'אהר,",0
ואן,0
לכל,0
נפס,0
עקלא,0
ואן,0
לם,0
נשאהדה,0
לילא,0
נבטל,0
פעלה,0
אלט'אהר.,0
והד'ה,0
אלת'לאת'ה,0
אצול,0
וג'דנא,0
מן,0
אלנאס,0
כת'ירין,0
"ינכרונהא,",0
פאלקליל,0
מנהם,0
מן,0
ג'חד,0
אלאצל,0
אלאול,0
וסנד'כרהם,0
פי,0
אלמקאלה,0
אלאולי,0
מן,0
הד'א,0
אלכתאב,0
ונרד,0
עליהם,0
ובג'חודהם,0
אלאצל,0
אלאול,0
פקד,0
ג'חדוא,0
אלת'אני,0
ואלת'לאת',0
אד',0
המא,0
מבניאן,0
עליה.,0
ואכת'ר,0
מנהם,0
מן,0
אקר,0
באלאול,0
וג'חד,0
אלת'אני,0
"ואלת'אלת',",0
וסנד'כר,0
קולהם,0
איצ'א,0
פי,0
אלמקאלה,0
אלאולי,0
ונרד,0
עליהם.,0
ואכת'ר,0
מן,0
אלג'מיע,0
מן,0
אקר,0
באלאצלין,0
אלאולין,0
וג'חד,0
אלת'לאת'.,0
וסבב,0
אכ'תלאף,0
מקאדירהם,0
פי,0
ד'לך,0
לאן,0
אלעלם,0
אלת'אני,0
אכ'פי,0
מן,0
"אלאול,",0
וכד'לך,0
אלת'אלת',0
אכ'פי,0
מן,0
"אלת'אני,",0
פאלג'חוד,0
יסרע,0
אלי,0
אלכ'פי,0
אכת'ר,0
מן,0
אלט'אהר.,0
וקום,0
ג'חדוא,0
הד'א,0
אלעלם,0
אנצ'יאפא,0
עלי,0
"אלבדל,",0
פכל,0
פריק,0
מנהם,0
ית'בת,0
מא,0
נפאה,0
כ'צמה,0
ויחתג',0
לה,0
באן,0
אלאצ'טראר,0
דפעה,0
אלי,0
"ד'לך,",0
כמן,0
את'בת,0
ג'מיע,0
אלאשיא,0
סאכנה,0
וג'חד,0
"אלחרכה,",0
ואכ'ר,0
את'בת,0
ג'מיע,0
אלאשיא,0
מתחרכה,0
וג'חד,0
"אלסכון,",0
וכל,0
ואחד,0
יג'על,0
מא,0
אסתדל,0
בה,0
כ'צמה,0
שכא,0
ושבהה.,0
ואמא,0
נחן,0
ג'מאעהֿ,0
אלמוחדין,0
פנצדק,0
בהד'ה,0
אלת'לאת',0
מואד,0
אלתי,0
"ללעלם,",0
ונצ'יף,0
אליהא,0
מאדה,0
ראבעה,0
אסתכ'רג'נאהא,0
באלת'לאת',0
פצארהֿ,0
לנא,0
"אצלא,",0
והי,0
צחהֿ,0
אלכ'בר,0
"אלצאדק,",0
פאנה,0
מבני,0
עלי,0
עלם,0
אלחס,0
ועלם,0
אלעקל,0
כמא,0
סנבין,0
פי,0
אלמקאלה,0
אלת'אלת'ה,0
מן,0
הד'א,0
אלכתאב.,0
פנקול,0
האהנא,0
אן,0
הד'א,0
אלעלם,0
אעני,0
אלכ'בר,0
אלצאדק,0
ואלכתב,0
אלמנזלה,0
יחקק,0
לנא,0
הד'ה,0
אלת'לאת'ה,0
אצול,0
אנהא,0
עלום,0
"צחיחה,",0
לאנה,0
יחצי,0
אלחואס,0
פי,0
באב,0
נפיהא,0
ען,0
אלאות'אן,0
פיג'עלהא,0
"כ'מס,",0
יצ'ם,0
אליהא,0
את'נין,0
אד',0
יקול,0
פה,1
להם,1
ולא,1
ידברו,1
עינים,1
להם,1
ולא,1
יראו,1
אזנים,1
להם,1
ולא,1
ישמעו,1
אף,1
להם,1
ולא,1
יריחון,1
ידיהם,1
ולא,1
ימישון,1
רגליהם,1
ולא,1
יהלכו,1
לא,1
יהגו,1
"בגרונם,",1
פהד'ה,0
אלכ'מס,0
אלאואיל,0
הי,0
בעינהא,0
"אלחואס,",0
ואלאת'נתאן,0
אלמצ'מומתאן,0
אליהא,0
אחדיהמא,0
אלחרכה,0
אד',0
קאל,0
רגליהם,1
ולא,1
יהלכו,1
ובה,0
יעלם,0
אלתת'קיל,0
ואלתכ'פיף,0
כמא,0
יעאק,0
אלאנסאן,0
ען,0
אלתחרך,0
"לת'קלה,",0
ולא,0
ימנעה,0
"אלכ'פה,",0
וד'לך,0
אן,0
קומא,0
תערצ'וא,0
ללזיאדה,0
עלי,0
עדד,0
"אלחואס,",0
פקאלוא,0
פפימא,0
ד'א,0
תעלם,0
אלכ'פה,0
"ואלת'קל,",0
פנקול,0
בדאים,0
אלחרכה,0
פתוג'ד,0
סהלה,0
או,0
צעבה.,0
ואלאכ'רי,0
"אלנטק,",0
אד',0
קאל,0
לא,1
יהגו,1
"בגרונם,",1
והו,0
ג'מלהֿ,0
אלכלאם,0
ד'ו,0
אלאסמא,0
ואלתאליף,0
ואלמקדמאת,0
ואלבראהין,0
עלי,0
מא,0
שרחנא.,0
ת'ם,0
חקק,0
עלם,0
אלעקל,0
פאמר,0
באלצדק,0
לא,0
אלכד'ב,0
כקולה,0
כי,1
אמת,1
יהגה,1
חכי,1
ותועבת,1
שפתי,1
"רשע,",1
בצדק,1
כל,1
אמרי,1
פי,1
אין,1
בהם,1
נפתל,1
ועקש.,1
ת'ם,0
חקק,0
לנא,0
אלעלם,0
אלצ'רורי,0
באנה,0
כל,0
מא,0
יודי,0
אלי,0
דפע,0
שי,0
מן,0
אלמחסוס,0
או,0
מן,0
אלמעקול,0
פהו,0
"באטל,",0
פאמא,0
בטלאן,0
מא,0
דפע,0
"אלמחסוס,",0
פכמא,0
קאל,0
טרף,1
נפשו,1
באפו,1
הלמענך,1
תעזב,1
ארץ,1
ויעתק,1
צור,1
ממקומו.,1
ואמא,0
בטלאן,0
מא,0
דפע,0
אלמעקול,0
מן,0
אלכד'ב,0
"ואלצדק,",0
פקאל,0
פיה,0
ואם,1
לא,1
אפו,1
מי,1
יכזיבני,1
וישם,1
לאל,1
מלתי.,1
ת'ם,0
ערפנא,0
אן,0
ג'מיע,0
אלעלום,0
מבניה,0
עלי,0
מא,0
אדרכנאה,0
בחואסנא,0
אלתי,0
"ד'כרנאהא,",0
ומתפרעה,0
מנהא,0
ומסתכ'רג'ה,0
"ענהא,",0
אד',0
קאל,0
שמעו,1
חכמים,1
מלי,1
ויודעים,1
האזינו,1
לי,1
כי,1
אזן,1
מלין,1
תבחן,1
וחיך,1
יטעם,1
לאכל.,1
ת'ם,0
חקק,0
לנא,0
אלאכ'באר,0
אלצאדקה,0
אנהא,0
חק,0
בקולה,0
אחוך,0
שמע,1
לי,1
וזה,1
חזיתי,1
ואספרה,1
אשר,1
חכמים,1
יגידו,1
ולא,1
כחדו,1
מאבותם,1
להם,1
לבדם,1
נתנה,1
הארץ,1
ולא,1
עבר,1
זר,1
בתוכם.,1
ולהא,0
שראיט,0
שרחנאהא,0
פי,0
תפסיר,0
הד'ה,0
אלפואסיק,0
פי,0
מוצ'עהא.,0
ואד',0
קד,0
ד'כרנא,0
הד'ה,0
אלאצול,0
אלארבעה,0
פינבגי,0
אן,0
נשרח,0
כיף,0
אלאסתדלאל,0
"ענהא,",0
"ונקול,",0
אמא,0
עלם,0
אלחס,0
פכל,0
מא,0
וקע,0
חסנא,0
אלצחיח,0
באלוצלה,0
אלתי,0
ביננא,0
ובינה,0
פיג'ב,0
אן,0
נעתקד,0
אנה,0
הו,0
עלי,0
אלחק,0
מת'ל,0
מא,0
אדרכנאה,0
לא,0
שך,0
"פיה,",0
בעד,0
אן,0
נתדרב,0
בחל,0
אלתכ'ילאת,0
פלא,0
נגלט,0
בהא,0
