word,is_he
ת'ם,0
אקול,0
כיף,0
ית'בת,0
פי,0
אפכארנא,0
הד'א,0
אלמעני,0
אעני,0
אלכ'אלק,0
ג'ל,0
ועז,0
ושי,0
מן,0
חואסנא,0
לם,0
יקע,0
עליה,0
"פאקול,",0
כמא,0
יקום,0
פיהא,0
אסתחסאן,0
אלצדק,0
ואסתקבאח,0
אלכד'ב,0
ושי,0
מן,0
חואסנא,0
לם,0
תקע,0
"עליה,",0
וכמא,0
יחצל,0
לעקולנא,0
אחאלהֿ,0
אג'תמאע,0
מוג'וד,0
ומעדום,0
וסאיר,0
אלמתנאפיאת,0
ואלחואס,0
פלם,0
תר,0
"ד'לך,",0
וקאל,0
אלכתאב,0
וה',1
אלהים,1
אמת.,1
ואקול,0
וכיף,0
יקום,0
פי,0
עקולנא,0
וג'דאנה,0
פי,0
כל,0
מכאן,0
חתי,0
לא,0
יכ'לו,0
מנה,0
"מכאן?,",0
לאנה,0
לם,0
יזל,0
קבל,0
כל,0
"מכאן,",0
פלו,0
כאנת,0
אלאמכאן,0
לתפרק,0
בין,0
אג'זאיה,0
למא,0
"כ'לקהא,",0
ולו,0
כאנת,0
אלאג'סאם,0
תשגל,0
ענה,0
אלמכאן,0
או,0
בעצ'ה,0
מא,0
כאן,0
"ליכ'תרעהא,",0
פאד',0
אלאמר,0
עלי,0
הד'א,0
פוג'דאנה,0
בעד,0
כ'לקה,0
ללאג'סאם,0
כלהא,0
כוג'דאנה,0
קבל,0
ד'לך,0
בלא,0
תגייר,0
ולא,0
תפציל,0
ולא,0
סתר,0
ולא,0
"קטע,",0
ועלי,0
מא,0
קאל,0
אם,1
יסתר,1
איש,1
במסתרים,1
ואני,1
לא,1
אראנו,1
נאם,1
ה',1
הלא,1
את,1
השמים,1
ואת,1
הארץ,1
אני,1
מלא.,1
ואקרב,0
אלי,0
אלפהם,0
"ואקול,",0
לולא,0
אנא,0
קד,0
אעתדנא,0
אן,0
בעץ',0
אלחיטאן,0
לא,0
יחג'ב,0
"אלצות,",0
ואלפנא,0
אן,0
אלזג'אג',0
לא,0
יחג'ב,0
"אלנור,",0
ועלמנא,0
אן,0
נור,0
אלשמס,0
לם,0
תצ'רה,0
אלאוסאך',0
אלתי,0
פי,0
"אלעאלם,",0
לכנא,0
נתעג'ב,0
מן,0
"ד'לך,",0
פהד'ה,0
כלהא,0
אעתבאראת,0
פי,0
תצחיח,0
מענאה.,0
ואקול,0
איצ'א,0
וכיף,0
יקום,0
פי,0
אלנפוס,0
אנה,0
יעלם,0
כל,0
מא,0
מצ'י,0
וכל,0
מא,0
יאתי,0
ואן,0
עלמהא,0
ענדה,0
"באלסוא?,",0
"פאבין,",0
מן,0
אג'ל,0
אן,0
אלמכ'לוקין,0
אנמא,0
צארוא,0
לא,0
יעלמון,0
מא,0
יאתי,0
לאן,0
עלמהם,0
אנמא,0
יקע,0
להם,0
בטריק,0
"אלחואס,",0
פמא,0
לם,0
יכ'רג',0
אלי,0
סמעהם,0
ובצרהם,0
וסאיר,0
חואסהם,0
לם,0
יקפוא,0
"עליה,",0
ואמא,0
אלכ'אלק,0
אלד'י,0
ליס,0
סביל,0
עלמה,0
בסבב,0
ואנמא,0
הו,0
לאן,0
ד'אתה,0
"עאלמה,",0
פאלמאצ'י,0
ואלאתי,0
ענדה,0
ג'מיעא,0
באלסוא,0
יעלם,0
הד'א,0
והד'א,0
בלא,0
"סבב,",0
ועלי,0
מא,0
קאל,0
מגיד,1
מראשית,1
אחרית,1
ומקדם,1
אשר,1
לא,1
נעשו,1
אמר,1
עצתי,1
תקום,1
וכל,1
חפצי,1
אעשה.,1
פאד'א,0
וצל,0
אלאנסאן,0
אלי,0
מערפהֿ,0
הד'א,0
אלמעני,0
אלשריף,0
בטריק,0
אלנט'ר,0
ובחג'הֿ,0
אלאיאת,0
ואלבראהין,0
איקנת,0
בה,0
נפסה,0
ומזאג',0
"רוחה,",0
וצאר,0
להא,0
פי,0
כ'דורהא,0
"מוג'ודא,",0
כלמא,0
סלכת,0
פי,0
היכלהא,0
"וג'דתה,",0
כמא,0
קאל,0
אלולי,0
נפשי,1
אויתך,1
בלילה,1
אף,1
רוחי,1
בקרבי,1
אשחרך.,1
ושעפת,0
במחבתה,0
עלי,0
אלאכ'לאץ,0
אלתאם,0
אלד'י,0
לא,0
שך,0
פיה,0
כמא,0
קאל,0
ואהבת,1
את,1
ה',1
אלהיך,1
בכל,1
לבבך,1
ובכל,1
נפשך,1
ובכל,1
מאדך.,1
וצאר,0
ד'לך,0
אלעבד,0
יד'כרה,0
אד'א,0
סעי,0
פי,0
נהארה,0
ואד'א,0
תקלב,0
עלי,0
"פראשה,",0
וכמא,0
קאל,0
אם,1
זכרתיך,1
על,1
יצועי,1
באשמרות,1
אהגה,1
בך.,1
בל,0
יכאדהא,0
אן,0
תלפט',0
אעני,0
אלרוח,0
אן,0
תהים,0
ענד,0
ד'כרה,0
מן,0
אלשוק,0
ואלאשתיאק,0
וכמא,0
קאל,0
אזכרה,1
אלהים,1
ואהמיה,1
אשיחה,1
ותתעטף,1
רוחי.,1
בל,0
יגד'יהא,0
ד'כרה,0
אכת'ר,0
מן,0
אלאדסאם,0
וירויהא,0
אסמה,0
אכ'תר,0
מן,0
כל,0
רי,0
כמא,0
קאל,0
כמו,1
חלב,1
ודשן,1
