word,is_he
ואד',0
קד,0
קדמת,0
הד'א,0
אלמעני,0
פינבגי,0
אן,0
אתכלם,0
פי,0
"אלאפכאר,",0
"ואקול,",0
אן,0
לואיחהא,0
אלתי,0
תטלע,0
ללאנסאן,0
"פידאפעהא,",0
לה,0
עלי,0
ד'לך,0
ת'ואב,0
כת'יר,0
כקולה,0
יעזב,1
רשע,1
דרכו,1
ואיש,1
און,1
"מחשבותיו,",1
פמן,0
אנקאד,0
מעהא,0
חתי,0
ידבר,0
מא,0
יפעלה,0
ת'ם,0
לא,0
"יפעלה,",0
פעליה,0
את'ם,0
עזם,0
לא,0
את'ם,0
"פעל,",0
כקולה,0
תועבת,1
ה',1
מחשבות,1
רע.,1
וליס,0
פי,0
אלאשיא,0
מא,0
יעאקב,0
אלעבד,0
פיה,0
עלי,0
ניתה,0
ואעתקאדה,0
אלא,0
אלכפר,0
"באללה,",0
אד',0
הו,0
שי,0
לא,0
יוצל,0
אליה,0
אלא,0
באלאעתקאד,0
"פקט,",0
ופיה,0
יקול,0
למען,1
תפש,1
את,1
בית,1
ישראל,1
בלבם,1
אשר,1
נזרו,1
מעלי,1
בגלוליהם,1
כלם.,1
ואן,0
מן,0
אלמתאולין,0
מן,0
יתאול,0
אלפואסיק,0
עלי,0
ארבעה,0
"צ'רוב,",0
מן,0
יתאול,0
פיואפק,0
בין,0
פסוק,1
ובין,0
מא,0
פי,0
"אלשאהד,",0
או,0
מא,0
פי,0
"אלעקל,",0
או,0
מא,0
פי,0
אלנץ,0
"אלאכ'ר,",0
או,0
מא,0
פי,0
"אלאת'אר,",0
ותם,0
לה,0
"ד'לך,",0
פלה,0
ת'ואב,0
"עליה,",0
ופיה,0
יקול,0
אם,1
תבקשנה,1
ככסף,1
וכמטמונים,1
תחפשנה,1
וגו',1
אז,1
תבין,1
יראת,1
ה',1
ודעת,1
אלהים,1
"תמצא,",1
פמן,0
לם,0
יתם,0
לה,0
ד'לך,0
פלא,0
ת'ואב,0
לה,0
ולא,0
עקאב,0
עליה.,0
ואלמתאול,0
פי,0
אלמצות,0
פהו,0
לאחק,0
בנביאי,1
השקר,1
אלד'ין,0
קאל,0
פיהם,0
אשר,1
הולכים,1
אחר,1
רוחם,1
ולבלתי,1
ראו.,1
ואלמתאול,0
פי,0
אלמעאני,0
אלתי,0
ללבארי,0
פאבדע,0
פהו,0
לאחק,0
"באלכאפרין,",0
כאלד'ין,0
תאולוא,0
קצהֿ,0
נעשה,1
אדם,1
בצלמנו,1
פאעתקדוא,0
אן,0
מלכא,0
כ'לק,0
אדם,1
וכד'לך,0
סאיר,0
"אלעאלם,",0
ופיהם,0
יקול,0
אשר,1
ימרוך,1
למזמה,1
נשוא,1
לשוא,1
עריך.,1
"ואקול,",0
ואלחאכם,0
אלד'י,0
יולם,0
ויעאקב,0
מן,0
תלקא,0
"נפסה,",0
פאן,0
כאן,0
קצדה,0
חפט',0
אלדין,0
ואחכאמה,0
פמת'אב,0
כקול,0
אלקדמא,0
בית,1
דין,1
מכין,1
ועונשין,1
שלא,1
מן,1
התורה,1
ולא,1
לעבור,1
על,1
דברי,1
תורה,1
עושין,1
אלא,1
אפילו,1
כדי,1
לעשות,1
סיג,1
לתורה.,1
ואן,0
קצד,0
בד'לך,0
מילא,0
או,0
רגבה,0
פהו,0
מהלך,0
נפסה,0
כקולה,0
גם,1
ענוש,1
לצדיק,1
לא,1
טוב,1
להכות,1
נדיבים,1
על,1
יושר.,1
ואקול,0
אן,0
אלאמיין,0
אעני,0
אלד'ין,0
[לא],1
יקרון,0
"אלתוריה,",0
אן,0
כאן,0
ד'לך,0
לם,0
ימכנהם,0
והם,1
יסתפתון,0
אעלם,0
אהל,0
ג'ילהם,0
ואדינהם,0
ויעמלון,0
בד'לך,0
פדינהם,0
תאם,0
כקולה,0
שפתי,1
צדיק,1
ירעו,1
"רבים,",1
פאן,0
לם,0
יפעלוא,0
ד'לך,0
פגיר,0
מעד'ורין,0
ופיהם,0
יקול,0
לא,1
יאהב,1
לץ,1
הוכח,1
לו,1
אל,1
חכמים,1
לא,1
ילך.,1
ואקול,0
פי,0
אלמסאכין,0
אלד'ין,0
ילחקהם,0
אלתקציר,0
פי,0
צלואתהם,0
"וטאעאתהם,",0
כל,0
מא,0
כאן,0
מקצרא,0
ען,0
אלקות,0
פמעד'ורון,0
"עליה,",0
ומא,0
כאן,0
פוק,0
ד'לך,0
פמטאלבון,0
בה,0
כקולה,0
יחלץ,1
עני,1
בעניו.,1
ואקול,0
פי,0
אלמולמין,0
אנהם,0
גיר,0
מעד'ורין,0
פי,0
מא,0
יג'אורון,0
בה,0
אלקצ'א,0
פי,0
מרצ'הם,0
כקולה,0
ולא,1
זעקו,1
אלי,1
בלבם,1
כי,1
יילילו,1
על,1
משכבותם.,1
ואקול,0
פי,0
אלסכארי,0
אנה,0
לא,0
עד'ר,0
להם,0
אד'א,0
ג'נוא,0
ג'נאיה,0
פי,0
"סכרהם,",0
אד',0
אלחכם,0
יקול,0
שכור,1
מקחו,1
מקח,1
וממכרו,1
ממכר,1
עבר,1
עברה,1
שיש,1
בה,1
מיתה,1
ממיתין,1
אותו,1
מלקות,1
מלקין,1
אותו.,1
ואקול,0
פי,0
אלמסתצ'אמין,0
מן,0
בני,0
ישראל,1
ביד,0
אלגוים,0
אנהם,0
גיר,0
מעד'ורין,0
עלי,0
"צ'ג'רהם,",0
בל,0
"יצברוא,",0
כקולה,0
יתן,1
למכהו,1
לחי,1
ישבע,1
בחרפה.,1
ואקול,0
פי,0
אלמרדדין,0
פי,0
אלמעאצי,0
אן,0
תובתהם,0
"אצעב,",0
כקולה,0
ככלב,1
שב,1
על,1
קיאו,1
כסיל,1
שונה,1
"באולתו,",1
וקאל,0
אלאולון,0
האומר,1
אחטא,1
ואשוב,1
אחטא,1
ואשוב,1
אין,1
מספיקין,1
בידו,1
לעשות,1
תשובה.,1
ואקול,0
ען,0
אלמתכלין,0
עלי,0
גפראן,0
יום,1
הכפורים,1
אנה,0
לא,0
ינפעהם,0
בלא,0
"תובה,",0
כקול,0
אלקדמא,0
יכול,1
יכפר,1
על,1
השבין,1
ועל,1
שאינן,1
שבין,1
תלמוד,1
לומר,1
אך,1
"בעשור,",1
הא,1
אינו,1
מכפר,1
אלא,1
על,1
השבין.,1
ואקול,0
פי,0
מסתפסדי,0
אלנאס,0
אן,0
תובתהם,0
לא,0
תתם,0
אלא,0
"באלאעאדה,",0
ועלי,0
מא,0
קאל,0
מה,1
תיטבי,1
דרכך,1
לבקש,1
אהבה,1
לכן,1
גם,1
את,1
הרעות,1
למדתי,1
את,1
דרכיך.,1
ואקול,0
פי,0
מסתצלחי,0
אלנאס,0
אן,0
כ'טאהם,0
לא,0
יתם,0
באלעאדה,0
כקולה,0
באשרו,1
אחזה,1
רגלי,1
דרכו,1
שמרתי,1
ולא,1
אט,1
מצות,1
שפתיו,1
ולא,1
אמיש,1
מחקי,1
צפנתי,1
אמרי,1
פיו.,1
ואנא,0
אעלם,0
אן,0
לו,0
ג'מעת,0
אלפנון,0
אלכת'ירה,0
לם,0
אסתוף,0
מא,0
אחתאג',0
אליה,0
מן,0
תנביה,0
אלנאס,0
עלי,0
"דינהם,",0
ולכן,0
הד'ה,0
ג'מל,0
קריבה,0
ינתפע,0
בהא,0
אלנאס,0
בעון,0
אלרחמאן.,0
כמלת,0
אלמקאלה,0
אלכ'אמסה,0
