word,is_he
ת'ם,0
אתכלם,0
בעד,0
הד'ה,0
אלשרוח,0
פימא,0
אתצל,0
בי,0
אן,0
קומא,0
ממן,0
יתסמון,0
באליהודיה,0
יזעמון,0
אן,0
הד'ה,0
אלמואעיד,0
ואלנחמות,0
כאנת,0
כלהא,0
פי,0
בית,0
שני,0
ואנקצ'ת,0
ולם,0
יבק,0
מנהא,0
"שי,",0
וד'לך,0
אנהם,0
יצ'עון,0
אצלא,0
פאסדא,0
יבנון,0
עליה,0
"כלאמהם,",0
אן,0
הד'א,0
אלתאכיד,0
אלד'י,0
נראה,0
ללישועה,0
מת'ל,0
קולה,0
לא,1
יבוא,1
עוד,1
"שמשך,",1
וקולה,0
לא,1
ינתש,1
ולא,1
יהרס,1
עוד,1
"לעולם,",1
כל,0
ד'לך,0
באסתת'נא,0
אן,0
תמת,0
טאעהֿ,0
"אלקום,",0
קאלוא,0
והד'א,0
נט'יר,0
מא,0
קאל,0
משה,1
רבינו,1
לישראל,1
למען,1
ירבו,1
ימיכם,1
וימי,1
"בניכם,",1
פלמא,0
אכ'טוא,0
אנקצ'ת,0
דולתהם,0
וזאל,0
"מלכהם,",0
כד'לך,0
פי,0
בית,0
שני,0
בעץ',0
הד'ה,0
אלמואעיד,0
כאן,0
"וזאל,",0
ובעצ'הא,0
לם,0
יכן,0
לאן,0
אלקום,0
אכ'טוא.,0
פאכ'ד'ת,0
ארשדך,0
אללה,0
קאעדת,0
כלאם,0
האולא,0
אלקום,0
אלתי,0
הי,0
"אלאסתת'נא,",0
פאדכ'לתהא,0
צנאעהֿ,0
"אלתחריר,",0
פוג'דתהא,0
באטלה,0
לוג'וה,0
"שתי,",0
אחדהא,0
אן,0
מואעיד,0
משה,1
רבינו,1
עליה,0
אלסלאם,0
פצח,0
פיהא,0
אנהא,0
באסתת'נא,0
אד',0
יקול,0
כי,1
אם,1
שמר,1
תשמרון,1
את,1
כל,1
המצוה,1
הזאת,1
אשר,1
אנכי,1
מצוה,1
"וגו',",1
ואיצ'א,0
כי,1
אם,1
שמוע,1
תשמע,1
בקלו,1
ועשית,1
כל,1
אשר,1
אדבר,1
ואיבתי,1
את,1
"איביך,",1
ויקול,0
והיה,1
עקב,1
תשמעון,1
ומא,0
מאת'ל,0
ד'לך.,0
ואמא,0
הד'ה,0
אלנחמות,0
פליס,0
פיהא,0
מן,0
הד'ה,0
אלאסתת'נאאת,0
שי,0
"בתה,",0
ואנמא,0
הי,0
מואעיד,0
"מג'רדה,",0
ואיצ'א,0
אן,0
משה,1
רבינו,1
"ע""ה",1
מא,0
כפאה,0
אן,0
יסתת'ני,0
עלי,0
אצחאבה,0
בקול,0
אם,1
שמר,1
ואם,1
שמוע,1
ויחילהם,0
פי,0
אלעכס,0
עלי,0
עקולהם,0
פתדלהם,0
אנהם,0
אן,0
לם,0
יפוא,0
לם,0
יוף,0
"להם,",0
חתי,0
עכסה,0
הו,0
ובין,0
להם,0
אנהם,0
אן,0
לם,0
יפוא,0
אנעכס,0
אלאמר,0
עליהם,0
כקולה,0
והיה,1
אם,1
שכח,1
תשכח,1
את,1
ה',1
אלהיך,1
וגו',1
כגוים,1
אשר,1
ה',1
מאביד,1
מפניכם,1
כן,1
"תאבדון,",1
וקאל,0
איצ'א,0
כי,1
תוליד,1
בנים,1
ובני,1
בנים,1
וגו',1
העידותי,1
בכם,1
היום,1
"וגו',",1
וקאל,0
איצ'א,0
ואם,1
יפנה,1
לבבך,1
ולא,1
תשמע,1
ומא,0
מאת'ל,0
ד'לך.,0
ופי,0
הד'ה,0
אלנחמות,0
לם,0
יסתת'ן,0
"בשי,",0
פצ'לא,0
אן,0
יעכסה.,0
ומנהא,0
אנה,0
ג'על,0
סביל,0
הד'ה,0
אלמואעיד,0
סביל,0
אלטופאן,0
פי,0
איאם,0
נח,1
"ע""ה,",1
אנה,0
כמא,0
אן,0
אלעבאד,0
לו,0
אכ'טוא,0
גאיהֿ,0
אלכ'טא,0
לם,0
אתהם,0
בטופאן,0
למא,0
קד,0
חלפת,0
עליה,0
אנה,0
לא,0
יכון,0
בל,0
כנת,0
אעאקבהם,0
"בגירה,",0
כד'אך,0
אנתם,0
חלפת,0
אני,0
לא,0
אזיל,0
"מלככם,",0
וד'אך,0
קולה,0
כי,1
מי,1
נח,1
זאת,1
לי,1
אשר,1
נשבעתי,1
מעבר,1
מי,1
נח,1
עוד,1
על,1
הארץ,1
כן,1
נשבעתי,1
מקצף,1
עליך,1
ומגער,1
"בך,",1
פלו,0
חתי,0
יכ'טי,0
אלקום,0
לעאקבהם,0
במא,0
שא,0
לא,0
בזואל,0
אלמלך.,0
ומנהא,0
אנה,0
אכ'בר,0
באן,0
אלקום,0
יכ'תארון,0
טאעתה,0
לא,0
מעציתה,0
עלי,0
מא,0
"שרחנא,",0
והו,0
עאלם,0
בכל,0
מא,0
יכון,0
כמא,0
"קדמנא,",0
פבטל,0
אן,0
יכון,0
הנאך,0
ד'נב,0
או,0
כט'א,0
לם,0
יעלם,0
בה.,0
פאד'א,0
לם,0
יכן,0
כ'טא,0
פאלאם,0
אסתת'ני.,0
ואיצ'א,0
לו,0
כאן,0
אסתת'ני,0
לם,0
יצ'רהם,0
פכיף,0
אד',0
ליס,0
"אסתת'ני,",0
ואיצ'א,0
אן,0
פי,0
אלתוריה,0
קד,0
ג'על,0
מת'ל,0
אלד'י,0
יחתם,0
עליהא,0
פלא,0
בד,0
מן,0
כונהא,0
עלי,0
מא,0
"בינא,",0
וחתם,0
וקאל,0
כי,1
אשא,1
אל,1
שמים,1
ידי,1
ואמרתי,1
חי,1
אנכי,1
"לעולם,",1
אם,1
שנותי,1
ברק,1
"חרבי,",1
אשכיר,1
חצי,1
"מדם,",1
הרנינו,1
גוים,1
"עמו,",1
פענד,0
הד'א,0
אלביאן,0
יבטל,0
מא,0
תשבה,0
להם,0
או,0
מא,0
מוהוא,0
בה,0
מן,0
באב,0
אלשרט,0
ואלאסתת'נא.,0
