word,is_he
,0
מסאלה,0
לם,0
לם,0
יקול,0
פי,0
אלאצל,0
אלו',0
ואלג',0
עשר,0
ואלד',0
עשר,0
אנה,0
לא,0
ינבג'י,0
מת'ל,0
סאיר,0
אלאצול:,0
אלגואב,0
אמא,0
אלאצל,0
אלסאדס,0
פלכונה,0
לא,0
יכ'ל,0
פי,0
אלעדד,0
ולו,0
כאן,0
עלי',0
כ'לאף,0
מא,0
ד'כר,0
פיה,0
אלאצלח,0
אן,0
יך',0
עלא,0
מא,0
ד'כר,0
ואלא,0
פלא,0
צ'יר,0
פי,0
ד'אלך,0
אן,0
כ'לף,0
פד'אלך,0
לם,0
יד'כר,0
פיה,0
חרף,0
אלסלב,0
ואמא,0
אלאצל,0
אלג',0
עשר,0
פלכונה,0
לם,0
יג'לט,0
פיה,0
בנפסה,0
ואמא,0
אלאצל,0
אלג',0
עשר,0
פלכונה,0
לם,0
יג'לט,0
פיה,0
בנפסה,0
ואמא,0
אלאצל,0
אלי'ד',0
פלכונה,0
לם,0
יג'לט,0
פי,0
עדה,0
איצ'א,0
ואנמא,0
יג'לט,0
פי,0
כיפייה,0
עדדה,0
פקט,0
פאסתחסן,0
רב',1
אן,0
לא,0
יד'כר,0
פי,0
האולי,0
חרף,0
אלסלב:,0
