word,is_he
פצל,0
אעלם,0
אנך,0
אן,0
ארדת,0
תפהם,0
אלאלגאז,0
אלתי,0
פי,0
הד'ה,0
אלמקאלה,0
פרד,0
באלך,0
אלי,0
אלאמת'לה,0
אלתי,0
פיהא,0
ואעזל,0
פי,0
ד'הנך,0
אן,0
כל,0
מנפד',0
אמר,0
יסמי,0
מלאך,1
אנזל,0
אן,0
בעץ',0
אלנאס,0
ענדה,0
חוץ',0
קדים,0
מזמן,0
אראד,0
תנצ'יפה,0
מן,0
וסכ'ה,0
ואכדארה,0
ופי,0
ארשאדה,0
וד'לך,0
נעמה,0
מנה,0
תע',0
עליה,0
פיג'ב,0
אן,0
יחרץ,0
אן,0
לא,0
יזיד,0
ד'לך,0
אלחוץ',0
וסך',0
בל,0
יעתני,0
בתנצ'יפה,0
קליל,0
קליל,0
אלי,0
אן,0
ינצ'ף,0
פאד'א,0
עלם,0
ויתיקן,0
אן,0
לם,0
יבק,0
פיה,0
שי,0
מן,0
אלוסך',0
חיניד',0
ירד,0
אליה,0
ד'לך,0
אלמיים,0
אלחיים,0
היוצאים,1
מבית,1
יי,1
אלמקול,0
פיה,0
ומעין,1
מבית,1
יי,1
ופי,0
הד'א,0
אשארה,0
אלי,0
תטהיר,0
אלקלב,0
ותנצ'יפה,0
ונקאיתה,0
ותעדילה,0
מן,0
שואיבה,0
וחצ'וצ'ה,0
ונקאיצה,0
ואכ'לאה,0
ממא,0
סואה,0
תעאלי,0
פאנה,0
יטלע,0
עלי,0
אמור,0
מפידה,0
ג'דא,0
כאנת,0
כ'פייה,0
ענה,0
ויחצל,0
לה,0
מן,0
ד'לך,0
מא,0
לא,0
יחצל,0
לגירה,0
פי,0
אלזמאן,0
אלטויל,0
באלעלם,0
אלגזיר,0
קאל,0
שלמה,1
עאס',0
מכל,1
משמר,1
נצור,1
לבך,1
כי,1
ממנו,1
תוצאות,1
חיים,1
ואנת,0
תריד,0
תת'בת,0
ותקלל,0
אחתפאלך,0
באלאמור,0
אלגיר,0
צ'רוריה,0
זמאן,0
טויל,0
אלי,0
אן,0
תרג'ע,0
לא,0
תתכלף,0
ד'לך,0
בל,0
יציר,0
לך,0
טבאע,0
פאד'א,0
דמת,0
עלי,0
ד'לך,0
אלאג'תהאד,0
תצפי,0
חיניד',0
אלקוה,0
אלמתכ'ילה,0
ויט'הר,0
לך,0
כל,0
מא,0
פי,0
אללוח,0
אלמחפוט',0
תרג'ע,0
תנטק,0
באלמגיבאת,0
לאשתגאל,0
ד'הנך,0
בד'לך,0
אלמעני,0
אלמקצוד,0
ואחתרז,0
בכל,0
ג'הדך,0
מן,0
פצ'לה,0
תבקי,0
פי,0
אלחוץ',0
ואיאך,0
אן,0
ינסרק,0
שי,0
מן,0
אלוסך',0
מע,0
אלמא,0
אלוארד,0
פיה,0
פאנה,0
אן,0
תבקי,0
פיה,0
שי,0
פתרדה,0
אלקוה,0
אלמתכ'ילה,0
עליך,0
פי,0
חאל,0
אלנום,0
או,0
אליקט'ה,0
וקת,0
אלכ'לוה,0
פתט'ן,0
אנה,0
אמר,0
אתי,0
מן,0
כ'ארג',0
והו,0
מן,0
ג'מלהֿ,0
מא,0
יבקי,0
פי,0
אלחוץ',0
והו,0
אלד'י,0
חד'רוא,0
מנה,0
אלחכמים,0
עאס',0
פי,0
קולהם,0
ארבעה,1
נכנסו,1
לפרדס,1
אמ',1
להם,1
ר',1
עקיבא,1
כשאתם,1
מגיעים,1
אצל,1
אבני,1
שיש,1
טהור,1
אל,1
תאמרו,1
מים,1
מים,1
שכן,1
כתוב,1
דובר,1
שקרים,1
לא,1
יכון,1
לנגד,1
עיני,1
פאסעא,0
אבדא,0
אלי,0
אלאמיא,0
אלגזירה,0
אלג'יידה,0
אלתי,0
תרוי,0
אלאנסאן,0
ואנתהי,0
ען,0
גירהא,0
אלתי,0
תזיד,0
אלאנסאן,0
עטש,0
לילא,0
ישתו,1
התלמידים,1
הבאים,1
אחריכם,1
וימותו,1
ונמצא,1
שם,1
שמים,1
מתחלל,1
ותציר,0
ממן,0
קיל,0
פיהם,0
אותי,1
עזבו,1
מקור,1
מיים,1
חיים,1
לחצוב,1
להם,1
בארות,1
בארות,1
נשברים,1
אשר,1
לא,1
יכילו,1
המים,1
פאעלם,0
ד'לך.,0
