word,is_he
פצל,0
אעלם,0
אן,0
פי,0
אלזמאן,0
אלמתקדם,0
כאנו,0
אלפצ'לא,0
יג'תהדון,0
פי,0
בניאן,0
אלמדרשות,0
ללטלבא,0
ויטלקוא,0
להם,0
מאדה,0
תקום,0
בהם,0
ותעינהם,0
עלי,0
אלאשתגאל,0
באלתורה,0
ועלם,0
חצולהא,0
וג'זאיאתהא,0
וגאיאתהא,0
ומקאצדהא,0
אלרפיעה,0
אלתי,0
הי,0
אעלא,0
מן,0
אפהאם,0
אלג'מהור,0
פאן,0
ארי,0
מן,0
תלך,0
אלחלבה,0
קד,0
צלח,0
לד'לך,0
אלמעני,0
אעטי,0
טרף,0
מנה,0
בחסב,0
תן,1
לחכם,1
ויחכם,1
עוד,1
ואולאיך,0
כאנו,0
יתסמון,0
בני,1
הנביאים,1
פלמא,0
תלפת,0
עלומנא,0
ואנקטעת,0
טרק,0
אנביאנא,0
מן,0
ביננא,0
ואסתולת,0
אלג'אהליה,0
עלינא,0
בטול,0
הד'ה,0
אלגלות,0
אלתי,0
נחן,0
פיהא,0
עד,1
כי,1
יבא,1
שילה,1
וצרנא,0
נתכל,0
עלי,0
מן,0
יצלי,0
בנא,0
ויסמענא,0
ראשי,1
דברים,1
פאן,0
אתפק,0
פהמנא,0
מנה,0
שי,0
ואלא,0
תרכנאה,0
והד'א,0
צ'ד,0
מא,0
קצד,0
בנא,0
וצארת,0
אעמאלנא,0
אלמצות,0
אלשרעיה,0
עאדהֿ,0
ג'רת,0
וסנהֿ,0
תקדמת,0
כמא,0
קרענא,0
תעאלי,0
עלי,0
יד,0
אלנבי,0
וק',0
ותהי,1
יראתם,1
אותי,1
מצות,1
אנשים,1
וקד,0
עלמת,0
אן,0
אעמאל,0
אלמצות,0
תוטיה,0
ללאנסאן,0
וריאצ'ה,0
לאכ'לאקה,0
חתי,0
יקבל,0
אלתורה,0
אלחקיקיה,0
אלמקצודה,0
בנא,0
פאעמל,0
עלי,0
תחציל,0
אלתוטיאת,0
ונפי,0
אלאכ'לאק,0
אלמד'מומה,0
מנך,0
לא,1
ישבו,1
בארצך,1
פן,1
יחטיאו,1
אותך,1
לי,1
כי,1
יהיה,1
לך,1
למוקש,1
ואנט'ר,0
אלי,0
מא,0
קאל,0
בעדה,0
ואל,1
משה,1
אמר,1
עלה,1
אל,1
יי,1
פאפהם,0
הד'א,0
אלתנביה,0
אלד'י,0
אנבנא,0
עליה,0
גרץ',0
הד'ה,0
אלמקאלה.,0
תנביה,0
אריד,0
אנבהך,0
עלי,0
תחציל,0
אלמקרא,0
וקראתהא,0
קראת,0
משתאק,0
טאלב,0
ליס,0
כמא,0
יקרוהא,0
האולאי,0
אלנאס,0
אליום,0
אלד'י,0
לא,0
יעתברו,0
מא,0
יקרוה,0
בל,0
יתלו,0
פקט,0
כאן,0
אלגרץ',0
מנה,0
הו,0
אלתלאוה,0
ולא,0
איצ'א,0
אלקצד,0
הו,0
מערפהֿ,0
כלמה,0
כ'לף,0
או,0
כלמה,0
ת'קילה,0
או,0
כ'פיפה,0
או,0
שרח,0
לפט'ה,0
ישרחהא,0
שכ'ץ,0
עלי,0
מעני,0
ואכ'ד',0
עלי,0
מעני,0
אכ'ר,0
גיר,0
ד'לך,0
ליס,0
הד'א,0
הו,0
(אל)קצד,0
בל,0
אלקצד,0
חפט'הא,0
חתי,0
אד'א,0
כ'טר,0
בבאלך,0
מעני,0
מא,0
מן,0
אלד'י,0
נבהתך,0
עליה,0
ווג'דת,0
פסוק,1
מטאבק,0
ללמעני,0
פאנד,0
תאכ'ד',0
מנה,0
מעני,0
מא,0
ותתסלק,0
מן,0
מעני,0
אלי,0
אכ'ר,0
חתי,0
תתצל,0
אלי,0
מטלובך,0
ואל,0
חכמים,0
עאס',0
נבהו,0
עלי,0
ד'לך,0
וקאלו,0
פי,0
אלמדרש,0
למה,1
היו,1
דברי,1
תורה,1
דומין,1
עד,1
שלא,1
עמד,1
שלמה,1
לבאר,1
שהיו,1
מימיה,1
עמוקים,1
וצונים,1
ולא,1
היה,1
אדם,1
יכול,1
לשתות,1
מהם,1
מה,1
עשה,1
פקח,1
אחד,1
ספק,1
חבל,1
לחבל,1
ומשיחה,1
למשיחה,1
ודלה,1
ושתה,1
כך,1
היה,1
שלמה,1
ממשל,1
למשל,1
ומדבר,1
לדבר,1
עד,1
שעמד,1
על,1
סודיה,1
של,1
תורה,1
וקאל,0
שלמה,1
מת'ל,0
ד'לך,0
מים,1
עמוקים,1
עצה,1
בלב,1
איש,1
ואיש,1
תבונות,1
ידלנה,1
וק',0
ישמע,1
חכם,1
ויוסף,1
לקח,1
להבין,1
משל,1
ומליצה,1
דברי,1
חכמים,1
וחידותם,1
והכד'א,0
יטלב,0
כל,0
מן,0
יתקדם,0
אלי,0
עלם,0
מא,0
אול,0
מא,0
יחפט',0
הו,0
אצולה,0
ת'ם,0
ירג'ע,0
יעלם,0
מא,0
אלקצד,0
בה,0
פאד'א,0
צח,0
לה,0
ד'לך,0
תקדם,0
לבחת',0
ען,0
גאיתה,0
כד'לך,0
ינבגי,0
אן,0
תפעל,0
פי,0
כלאם,0
אלחכמים,0
אד'א,0
ארדת,0
אן,0
תפהם,0
אלגאזהם,0
פתאמל,0
כלאמהם,0
תאמלאן,0
שאפי(אן),0
פאן,0
לם,0
תפהמה,0
פכררה,0
עלי,0
שכ'ץ,0
חאד'ק,0
מאהר,0
פי,0
כלאמהם,0
מעתקד,0
פיה,0
ובאלג'מלה,0
אסמע,0
אלחק,0
ממן,0
קאלה,0
לתסתעין,0
בה,0
עלי,0
מא,0
אנת,0
מחתאג',0
אליה,0
פי,0
טריקך,0
ק',0
ע'ה,1
איזהו,1
חכם,1
הלמד,1
