word,is_he
בסם,0
אללה,0
אלרחמאן,0
אלרחים,0
רב,0
יסר,0
בשם,1
יי,1
אל,1
עולם,1
הדא,0
כתאב,0
אלמרשד,0
אלי,0
תחקיק,0
דרך,1
החסידות,1
אפתתח,0
מצנפה,0
דרכיך,1
יי,1
הודיעני,1
אורחותיך,1
למדני,1
תם,0
קאל,0
אלחמד,0
ללה,0
אלמתעאלי,0
בג'לאל,0
אחדיתה,0
ען,0
משאבההֿ,0
אלאעראץ',0
ואלג'ואהר,0
אלמתקדס,0
בעלו,0
צמדיתה,0
ען,0
מנאסבהֿ,0
אלאוהאם,0
ואלכואטר,0
אלמנזה,0
בסמו,0
סרמדיתה,0
ען,0
מקאבלהֿ,0
אלאחדאק,0
ואלנואצ'ר,0
אלמסתגני,0
בכמאל,0
קדרתה,0
ען,0
מעארצ'הֿ,0
אלאשבאה,0
ואלנט'איר,0
אלעלים,0
אלדי,0
לא,0
יעזב,0
ען,0
עלמה,0
שי,0
מן,0
מסתודעאת,0
אלסראיר,0
ומסתוראת,0
אלצ'מאיר.,0
אלעט'ים,0
אלד'י,0
גרקת,0
פי,0
מטאלב,0
אנואר,0
כבריאה,0
אנט'אר,0
אלאואיל,0
ואלאואכר,0
ואלסלאם,0
עלי,0
עבידה,0
אלאנואר,0
אלבואהר,0
ואלאצ'וא,0
אלזואהר,0
ואלעקול,0
אלקואהר,0
ורסלה,0
ואנביאה,0
אלבואטן,0
ואלצ'ואהר:,0
אמא,0
בעד,0
פאנך,0
איהא,0
אלתלמיד,0
אלנג'יב,0
בל,0
אלאך,0
אלקריב,0
אלפאטן,0
אללביב,0
למא,0
אלתסמת,0
מני,0
תאליף,0
מכתצר,0
מרשד,0
תחקיק,0
דרך,1
החסידות,1
אי,0
טריק,0
אלעארפין,0
אלסאלכין,0
אלמסתשרקין,0
אלמתאלהין,0
פאג'בתך,0
אלי,0
מלתמסך,0
ווצ'עת,0
הד'א,0
אלכתאב,0
מבובא,0
תבויבא,0
ומפצלא,0
תפצילא.,0
וסמיתה,0
אלמרשד,0
אלי,0
אלתפרד,0
ואלמרפד,0
אלי,0
אלתג'רד.,0
בעד,0
תוכלי,0
עלי,0
רב,0
אלארבאב,0
ומסבב,0
אלאסבאב:,0
יתברך,1
לעדי,1
עד.,1
