word,is_he
,0
אעלם,0
אנה,0
קד',0
תביין,0
פי,0
עלם,0
אלנפס,0
וקואהא,0
אן,0
אלנפס,0
אלנאטקה,0
אי,0
אלג'והר,0
אלרוחאני,0
אלנוראני,0
אלרבאני,0
אלמתעלק,0
באלהיכל,0
אלאנסאני,0
אלמדבר,0
לה,0
אלמתצרף,0
פיה,0
לה,0
קותאן,0
אחדהמא,0
עלאמה,0
והי,0
אלתי,0
לאג'להא,0
יצח,0
מן,0
אלנפס,0
אדראך,0
אלאשיא,0
עלי,0
וג'ה,0
אלצואב,0
אלכאמל.,0
ותאניהמא,0
עמאלה,0
והי,0
אלתי,0
לאג'להא,0
יצח,0
מן,0
אלנפס,0
אדראך,0
אלאשיא,0
עלי,0
תדביר,0
אלבדן,0
עלי,0
אלוג'ה,0
אלאכמל,0
ואלאצוב.,0
אדא,0
ערפת,0
דלך,0
פאערף,0
אן,0
אלמצות,0
וגאיתהא,0
מנקסמה,0
באעתבאר,0
האתין,0
אלקותין,0
אלי,0
קסמין,0
אחדהמא,0
נט'רי,0
ואלתאני,0
עמלי.,0
אמא,0
אלנט'רי,0
והו,0
אלדי,0
יטלב,0
בה,0
אסתכמאל,0
אלקוהֿ,0
אלנט'ריה,0
מן,0
אלנפס,0
לחצול,0
אלעקל,0
באלפעל.,0
אד,0
אלנפס,0
פי,0
אול,0
אלפטרה,0
תכון,0
כאליה,0
ען,0
ג'מיע,0
אלעלום.,0
כקול,0
אלולי,0
אלאפצ'ל,0
ואלסיד,0
אלאכמל,0
ועיר,1
פרא,1
אדם,1
יולד,1
תם,0
תחצל,0
להא,0
אלעלום,0
אלצ'רוריה,0
בסבב,0
אחסאס,0
אלחואס,0
באלגזאיאת,0
ואלעלום,0
אלצ'רוריה,0
נחו,0
אן,0
אלכל,0
אעט'ם,0
מן,0
אלג'ז,0
ואן,0
אלאשיא,0
אלמסאויה,0
לשי,0
ואחד,0
מתסאויה,0
ואן,0
אלג'סם,0
אלואחד,0
לא,0
יחל,0
פי,0
מחלין,0
פי,0
אן,0
ואחד,0
ואן,0
אלצ'דין,0
לא,0
יגתמעאן,0
פי,0
אן,0
ואחד,0
פי,0
מחל,0
ואחד.,0
תם,0
אן,0
בתלך,0
אלעלום,0
אלצ'רוריה,0
תכתסב,0
אלנפס,0
סאיר,0
אלעלום,0
אלנט'ריה.,0
כמא,0
אשאר,0
אלנבי,0
סיד,0
אלפצחא,0
וגצ'ריף,0
אלבלגא,0
בקו',0
שאו,1
מרום,1
עיניכם,1
וראו,1
וג',1
וקאל,0
אלולי,0
אלאכר,0
"ע""ס",0
ומבשרי,1
אחזה,1
אלוה.,1
ואלגאיה,0
פי,0
הדא,0
אלקסם,0
הו,0
חצול,0
ראי,0
ואעתקאד,0
ליס,0
ראיא,0
ואעתקאדא,0
פי,0
כיפיהֿ,0
עמל,0
או,0
פי,0
כיפיה,0
מבדא,0
עמל,0
מן,0
חית,0
הו,0
מבדא,0
עמל,0
והו,0
ארתסאם,0
אלחקאיק,0
פי,0
אלנפס,0
במקדאר,0
מא,0
תרתקי,0
אליה,0
אלטאקה,0
אלבשריה,0
מן,0
ד'את,0
ואגב,0
אלוגוד,0
ומא,0
יליק,0
בצפאתה,0
ונעותה,0
ואפעאלה,0
ונט'אם,0
צנעה,0
מן,0
עאלם,0
אלג'ברות,0
ועאלם,0
אלמלכות,0
ועאלם,0
אלמלך,0
וד'לך,0
נחו,0
קולה,0
אנכי,1
ייי,1
אלהיך,1
לא,1
יהיה,1
