word,is_he
פצל,0
פי,0
מקאם,0
אלאול,0
אלדי,0
הו,0
אלזהירות,0
ויחתמל,0
הדא,0
אלאסם,0
תפסירין,0
אחדהמא,0
אן,0
יכון,0
מענאה,0
אלמגאהדה,0
וקיל,0
אן,0
אלמג'אהדה,0
בד'ל,0
אלג'ד,0
פי,0
אלקצד,0
וצדק,0
אלג'הד,0
פי],0
(ו)אלעהד,0
וקיל,0
אלמג'אהדה,0
כלע,0
אלראחה,0
ותרך,0
איאם,0
"אלמלאחה,",0
ואמא,0
אלתפסיר,0
אלתאני,0
פהו,0
אן,0
תכון,0
אללפצ'ה,0
משתקה,0
מן,0
והמשכילים,1
יזהירו,1
כזוהר,1
הרקיע,1
כמראה,1
זוהר,1
כעין,1
החשמל,1
אלתי,0
מענאהא,0
אלאסתשראק,0
ואלתנויר,0
פיכון,0
מעני,0
זהירות,1
אלאסתשראק,0
וצאחב,0
אלמקאם,0
יסמי,0
זהיר.,1
מענאה,0
מסתשרק,0
אי,0
טאלב,0
תנויר,0
נפסה,0
ואשראק,0
אלסואנח,0
אלנוראניה,0
ואללואמע,0
אלרבאניה,0
ואלבוארק,0
אלעקליה,0
עלי,0
רוחה,0
ענד,0
אדאמהֿ,0
פכרתה,0
פי,0
אלמלכות,0
ודכר,0
אללה,0
ד'כרא,0
צאדקא,0
ען,0
כצ'וע,0
ותפכרה,0
תפכרא,0
לטיפא,0
פי,0
אלעאלם,0
אלקדסי,0
ותקליל,0
אלטעאם,0
וסהר,0
אלליאלי,0
פתלוח,0
לסרה,0
אלטאהר,0
לזיאדהֿ,0
אלסמו,0
ואלאנתקאל,0
מן,0
חאל,0
אלי,0
חאל,0
אעלי,0
מן,0
ד'לך,0
ומן,0
מקאם,0
אלי,0
מקאם,0
ארפע,0
מנה,0
ואשרף,0
ואכמל,0
ואט'רף,0
פאלאגתהאד,0
ואלמג'אהדה,0
ואלאסתשראק,0
אוג'ב,0
לה,0
תנוירא,0
ושרוקא,0
וג'עלה,0
מתשוקא,0
אלי,0
קבול,0
דלך,0
אלאשראק,0
אלקדסי,0
ואלסאנח,0
אלאלהותי,0
ואלשעאע,0
אלמלכותי,0
מתחרכא,0
מסתעדא,0
לאלתקאה,0
ואלתחריך,0
יעד,0
ללאשראק,0
ואלאשראק,0
מוגב,0
ללחרכה,0
לא,0
גרם,0
לד'לך,0
קאלו,0
ז'ל,1
זהירות,1
מביאה,1
לידי,1
זריזות,1
אי,0
הדא,0
אלמקאם,0
מוגב,0
ללמקאם,0
אלתאני,0
