word,is_he
פצל,0
באב,0
פי,0
אלמקאם,0
אלתאלת,0
והו,0
אלפרישות,0
ומענאה,0
אלעזלה,0
ואלאעתזאל,0
ואלפצל,0
ואלאנפצאל,0
משתקא,0
מן,0
לפרוש,1
להם,1
על,1
פי,1
ייי,1
מענאה,0
ליפצל,0
פיה,0
אלחכם,0
ען,0
אמר,0
אללה.,0
ואיצא,0
מן,0
בתוך,1
צאנו,1
נפרשות,1
מנעזלאת,0
ומן,0
וכצפעוני,1
יפריש,1
אי,0
יפרק,0
אלאתצאל,0
בסמה,0
ויפצל,0
בין,0
אלאג'זא,0
אלמתג'אורה,0
ופי,0
אסתעמאל,0
אלחכמים,0
ז'ל,1
מה,1
הפרש,1
בין,1
זה,1
לזה.,1
וצאחב,0
הדא,0
אלמקאם,0
יסמוה,0
פרוש,1
כקולה,0
לא,1
יאכל,1
זב,1
יפרוש,1
וג',1
ויקולון,0
פרוש,1
אהבה,1
פרוש,1
יראה.,1
אד'א,0
ערפת,0
ד'לך,0
פאערף,0
קד',0
אתפקת,0
כלמהֿ,0
אלסאלך,0
עלי,0
אן,0
מקאמאת,0
אלסאלכין,0
אלי,0
אללה,0
ת'ע,0
לא,0
תכלו,0
ען,0
אלפרק,0
ואלג'מע.,0
אמא,0
אלפרק,0
פעמא,0
סוי,0
אללה,0
עז,0
וגל,0
והו,0
מקאם,0
אלפרישות,0
ואמא,0
אלגמע,0
פפי,0
אללה,0
עז,0
ועלא,0
פהו,0
מקאם,0
אלחסידות,0
ומהמא,0
אלנפס,0
משגולה,0
בתחציל,0
צפאת,0
אלגלאל,0
ונעות,0
אלכמאל,0
ופצ'איל,0
אלג'מאל,0
לם,0
תצל,0
אלי,0
אלג'מע,0
פכאנהא,0
פי,0
אלפרק,0
בוג'ה,0
מא.,0
לאן,0
אלנט'ר,0
מתעלק,0
באלנפס,0
ובתלך,0
אלצפאת,0
וכיפיהֿ,0
אכתסאבהא,0
ודלך,0
מאנע,0
ען,0
אלאסתגראק,0
אלתאם.,0
וכאן,0
ד'לך,0
אנקץ,0
דרגאת,0
אלג'מע,0
ומראקיה,0
אד',0
אלמקאמאת,0
אלמתקדמה,0
עלי,0
אלפרישות,0
מראקי,0
וערוג',0
ומעארג',0
אליה,0
ומא,0
פוק,0
אלפרישות,0
אלי,0
אלחסידות,0
מראקי,0
אליהא,0
ואמא,0
כמאל,0
אלחסידות,0
ואתם,0
טבקאתהא,0
פלא,0
יכון,0
אלא,0
באלוקוף,0
ענד,0
באב,0
אלאחד,0
אלצמד,0
מן,0
גיר,0
אלתפאת,0
אלי,0
שי,0
סואה.,0
פיכון,0
הנא,0
לך,0
אלכמאל,0
אלתאם,0
פי,0
