word,is_he
בשם,1
ה',1
אל,1
עולם,1
אלג'ז,0
אלת'אני,0
מן,0
אלמרשד,0
פי,0
שרח,0
עויץ,0
אלפאט',0
אלמשנה,0
וספר,1
משנה,1
תורה,1
חבור,1
כ'ג'ק',1
מר',1
ורבנו,1
משה,1
הגאון,1
הגדול.,1
המעוז,1
המגדול,1
ז'צ'ל',1
ממא,0
עני,0
בתאליפה,0
כ'ג'ק',1
מרנו,1
ורבנו,1
תנחום,1
הרב,1
המובהק,1
בר,1
כ'ג'ק',1
מרנו,1
ורבנו,1
יוסף,1
הרב,1
הגדול,1
בישראל,1
ת',1
נ',1
צ',1
ב',1
ה',1
יתצ'מן,0
מן,0
חרף,0
אלכאף,0
אלי,0
אכ'ר,0
חרף,0
אלעין,0
אלפצל,0
אלחאדי,0
עשר,0
פי,0
חרף,0
אלכאף,0
ככב,1
כוכב,1
וכוכבים,1
אסם,0
עאם,0
ללכואכב,0
ויסמי,0
עטארד,0
כ'אצה,0
כוכב,1
ואלמשתרי,0
יסמי,0
כוכב,1
צדק,1
עלי,0
חכם,0
זיאדה,0
תעריף,0
ואנמא,0
אסמה,0
צדק,1
כקו',0
צדק,1
יקראהו,1
לרגלו.,1
כבד,1
מכבדין,1
את,1
הבית,1
אצל,0
אללפט',0
אכראם,0
ואלמעני,0
הנא,0
כנס,0
אלבית,0
לאן,0
אלבית,0
אלנצ'יף,0
מכרום,0
לה,0
פי,0
אלנפס,0
את'ר,0
ואסם,0
אלמכנסה,0
מכבדת.,1
מותר,1
לטלטל,1
את,1
המכבדת,1
בשבת,1
ויסמו,0
אלערג'ון,0
אלד'י,0
ללתמר,0
ואלרטב,0
מכבדות,1
תמרים,1
ואחדהא,0
מכבדת,1
לאנהא,0
תצלח,0
ללכנס.,0
כובד,1
ראש,1
רזאנה,0
ות'קל,0
ראס,0
והדו,0
ות'באת,0
וצ'דה,0
קלות,1
ראש,1
כ'פה,0
ורעאנה,0
וחמק.,0
כבד,1
העליון,1
וכבד,1
התחתון,1
אלאג'לה,0
אלתי,0
ללמנסג',0
אלקאים,0
ג'ליל,0
פוקאני,0
וג'ליל,0
תחתאני.,0
ומעני,0
כבד,1
פי,0
אלעבראני,0
הו,0
מעני,0
ג'ליל,0
פי,0
אלערבי,0
יקאל,0
אדם,1
מכובד,1
מכרום,0
עט'ים,0
אלשאן,0
ופי,0
אלערבי,0
אנסאן,0
ג'ליל,0
אלקדר.,0
כבכב,1
יקולו,0
כבכב,1
שעשאו,1
לסל,1
גטא,0
יכב,0
עלי,0
אלסלה,0
והו,0
אסם,0
רבאעי,0
מתצ'אעף,0
מת'ל,0
גלגל.,1
ויקאל,0
אנה,0
יכתב,0
פי,0
בעץ',0
אלנסך',0
באלפא,0
כפכף,1
וכת'יר,0
מא,0
תבדל,0
אלפא,0
ואלבא,0
בעץ',0
בבעץ',0
והו,0
משתק,0
מן,0
קו',0
כפה,1
עליו,1
כלי.,1
כופין,1
את,1
המטות,1
וכף,1
מעלום,0
אנה,0
אנא,0
מנחני,0
ישבה,0
אלכף,0
כמא,0
הו,0
מעלום,0
מן,0
אלמשאבהה,0
לכן,0
כפה,1
מעתל,0
אללאם,0
ולמא,0
תצ'אעף,0
סקט,0
לאמה,0
מת'ל,0
מתעתע,1
מן,0
תעה,1
ויג'וז,0
אן,0
יכון,0
מן,0
כפף.,1
זוקף,1
כפופים,1
פתצ'אעף,0
פאוה,0
מת'ל,0
גלגל,1
כמא,0
קלנא,0
פיכון,0
מן,0
כף,1
חקיקה,0
והו,0
אסם,0
אלמכבה,0
ואלגטא,0
עלי,0
אי,0
וג'ה,0
כאן.,0
כבל,1
יוצאות,1
כבולות,1
ושחוזות.,1
תרבט,0
אד'נאב,0
אלנעאג',0
תחתהן,0
כי,0
לא,0
תתמכן,0
מנהם,0
אלד'כור,0
משתק,0
מן,0
אסם,0
אלארץ',0
אלתי,0
לא,0
תנבת,0
שיא,0
ארץ,1
כבול,1
ושחוזות,1
צ'דה,0
ויד'כר,0
פי,0
מכאנה.,0
ומעני,0
אכ'ר,0
ולא,1
בכבול,1
ברשות,1
הרבים,1
קיל,0
חלקה,0
תכון,0
פי,0
רקבה,0
אלעבד.,0
ושרח,0
אלמ',0
כבול,1
טרה,0
מן,0
ת'וב,0
תרבט,0
עלי,0
אלג'בין,0
ותעמל,0
אלעצאבה,0
פוקהא,0
ובעץ',0
אלאוקאת,0
תתזין,0
בהא,0
אלמראה,0
מן,0
גיר,0
עצאבה,0
הבנות,1
יוצאות,1
בכבלים,1
שברגליהם.,1
כבלים,1
הו,0
אסם,0
אלכבול,0
ואלקיוד,0
פשבהו,0
בהא,0
אלכ'לאכ'ל,0
אלתי,0
פי,0
ארג'ל,0
אלבנאת,0
אד'א,0
כאן,0
בין,0
אלכ'לכ'אלין,0
סלסלה,0
לאנהא,0
תשבה,0
אלקיד,0
וד'לך,0
תלבסה,0
אלבנאת,0
כי,0
לא,0
תמד,0
כ'טותהא,0
כת'יר,0
חין,0
אלמשי,0
ואן,0
כאן,0
כל,0
כ'לכ'אל,0
מפרד,0
בגיר,0
סלסלה,0
תוצל,0
בינהמא,0
יסמו,0
בירית,1
וקד,0
תקדם,0
פי,0
חרף,0
אלבא.,0
כבן,1
יוצאות,1
כבונות.,1
מגטיה,0
מלפופה,0
ברדא,0
מצאנה,0
אי,0
אן,0
תגטא,0
אלנעאג',0
בכ'רקה,0
ותלף,0
בהא,0
כי,0
לא,0
יתגבר,0
אלצוף,0
באלתראב,0
ואלגבאר,0
כי,0
יבקי,0
נאעם,0
אביץ',0
נקי,0
והו,0
אלד'י,0
יסמוה,0
מילת,1
תרג',1
צמר,1
צחר,1
מילת,1
כבינה.,1
ויסמו,0
אלרדא,0
אלד'י,0
ילתחף,0
בה,0
מן,0
פוק,0
או,0
אלשמלה,0
אלתי,0
ישתמל,0
בהא,0
כבונה,1
קאלו,0
מעשה,1
באימן,1
שלבני,1
רוכל,1
שהיתה,1
חולה,1
ואמרה,1
תנתן,1
כבונתי,1
לבתי,1
תעני,0
רדאהא,0
אלד'י,0
כאנת,0
תתגטא,0
בה.,0
ותרג',1
הצניפות,1
והרדידים.,1
