word,is_he
אלפצל,0
אלראבע,0
עשר,0
פי,0
חרף,0
אלנון,0
נאה,1
ממדור,1
הנאה,1
למדור,1
הרע,1
או,1
מן,1
הרע,1
לנאה.,1
אלמסכן,0
אלחסן,0
מת'ל,0
טוב.,1
וכד'לך,0
אשה,1
נאה,1
ובהמה,1
נאה.,1
ואיצ'א,0
נואי,1
הטלית.,1
חסנה,0
וג'מאלה.,0
לכן,0
אצל,0
הד'ה,0
אלצפה,0
מן,0
אוה,1
ואלנון,0
ללאנפעאל,0
מת'ל,0
שחורה,1
אני,1
ונאוה,1
לכנהם,0
למא,0
כת'ר,0
אסתעמאל,0
נאה,1
ונאוה,1
צארת,0
אלנון,0
כאנהא,0
אצל,0
פקאלו,0
מנה,0
נואי,1
מת'ל,0
רואי,1
חולי,1
יופי,1
וקאלו,0
התנאה,1
לפנוי,1
במצות.,1
כדי,1
להתנאות.,1
ואלנונאת,0
פי,0
הד'ה,0
אצל,0
פא,0
אלפעל,0
פצאר,0
אצל,0
אכ'ר,0
גיר,0
אצל,0
אוה,1
אלד'י,0
קיל,0
מנה,0
נאוה,1
ובלא,0
נון,1
בזיאדה,0
תא,0
תאות,1
אדם,1
חסדו,1
פכ'רה,0
וחסנה,0
פצ'לה.,0
וקד,0
צ'הרת,0
אלאלף,0
מע,0
אלנון,0
כמא,0
צ'הרת,0
מע,0
אלתא,0
פי,0
נאוה,1
קדש,1
והי,0
לינה,0
פי,0
שחורה,1
אני,1
ונאוה.,1
וחק,0
תאות,1
אדם,1
תאוית,1
וכד'לך,0
נאוה,1
נאויה.,1
ואמא,0
אשה,1
נאה,1
פאן,0
הד'ה,0
אלאלף,0
מוצ'ע,0
אלואו,0
אלתי,0
הי,0
עינהא,0
ואלאלף,0
אלתי,0
הי,0
פאוהא,0
לינה,0
בין,0
אלנון,0
ואלאלף,0
והי,0
סאקטה,0
מן,0
אלכ'ט.,0
ואמא,0
אין,1
נאותין,1
ממנו,1
פהו,0
מן,0
אצל,0
יאת,1
וקד,0
ד'כר,0
פי,0
מכאנה.,0
וליס,0
הו,0
מת'ל,0
התנאה,1
לפניו,1
במצות,1
כדי,1
להתנאות,1
בו.,1
אם,1
היה,1
מתנאה,1
בלימודו,1
לאן,0
מתנאה,1
מן,0
מעני,0
נאה,1
אי,0
יתג'מל,0
ויתחסן,0
לכנהם,0
אג'רו,0
אלנון,0
אלתי,0
הי,0
מזידה,0
כמא,0
קלנא,0
מג'רי,0
אלאצל,0
לכת'רה,0
שהרה,0
אללפט',0
וצארת,0
פא,0
אלפעל,0
וצרפו,0
מנה,0
אפתעאל,0
פצאר,0
התנאה,1
מת'ל,0
מתגאה,1
אלד'י,0
הו,0
מן,0
גאה,1
כמה,0
פעלו,0
פי,0
תא,0
תרומה,1
אלתי,0
אג'רוהא,0
כאלאצליה,0
פי,0
תורמין,1
ותרמו,1
ויתרומו,1
ופי,0
תא,0
תחלה,1
איצ'א,0
קאלו,0
מתחילין,1
והתחילו,1
ויתחילו.,1
והד'א,0
כלה,0
לאג'ל,0
כת'רה,0
אלאסתעמאל,0
ושהרה,0
אללפט',0
בין,0
אלג'מהור,0
פתציר,0
אלחרוף,0
אלמזידה,0
שביה,0
באלאצליה,0
וקד,0
קדמנא,0
מן,0
ד'לך,0
טרף,0
פי,0
צדר,0
הד'א,0
אלכתאב,0
ודלאילה,0
ומת'אלאתה,0
מן,0
אלנצוץ,0
ולאג'ל,0
התנאה,1
ונואי,1
ומתנאים,1
וצ'ענא,0
נאה,1
פי,0
הד'א,0
אלמכאן,0
וצ'ע,0
אלאצל,0
פאעלם,0
ד'לך.,0
ואמא,0
הנאה,1
ונהנין,1
ומודר,1
הניה,1
ומצוות,1
לא,1
ליהנות,1
ניתנו.,1
פליס,0
מן,0
הד'א,0
אלאצל,0
וקד,0
וצ'ענאה,0
פי,0
חרף,0
אלהא,0
פי,0
באב,0
הנה.,1
נאץ,1
מנאץ,1
ינאץ,1
מענאה,0
אלכרה,0
ואלבגץ',0
נאץ,1
נאצת,1
את,1
אויבי,1
ה',1
והו,0
ת'קיל,0
וכ'פיפה,0
וינאץ,1
בזעם,1
אפו.,1
נבה,1
שיפוי,1
ונביה,1
ויקרא,0
איצ'א,0
נמיה,1
ויד'כר,0
פי,0
מוצ'עה.,0
נברכת,1
פי,0
באב,0
ברך.,1
נבל,1
כנבול,1
עלה,1
מגפן.,1
ולא,1
