word,is_he
וכד'לך,0
יצ'בט,0
אלאנסאן,0
רגליה,0
ען,0
אלמשי,0
אלי,0
אלמוצ'ע,0
אלד'י,0
לא,0
יגב,0
"לה,",0
וען,0
מסאירהֿ,0
"אלאשראר,",0
ועלי,0
אן,0
קד,0
נהאנא,0
אלנבי,0
ען,0
מסאירתהם,0
ומשאורתהם,0
ומגאלסתהם,0
כקו',0
אשרי,1
האיש,1
אשר,1
לא,1
הלך,1
בעצת,1
רשעים.,1
וקאל,0
שלמה,1
"ע""ה",1
בני,1
אל,1
תלך,1
בדרך,1
אתם,1
וגו',1
כי,1
רגליהם,1
לרע,1
וגו'.,1
וכד'לך,0
ציאנה,0
פרגה,0
ותזכיתה,0
ען,0
אלחראם,0
אלד'י,0
חרם,0
"עליה,",0
וכ'אצה,0
פי,0
הד'א,0
עצ'ו,0
אלכ'תאנה,0
והי,0
אלברית,0
אלתי,0
עהדהא,0
אללה,0
סב',0
מע,0
אבינו,1
אברהם,1
"ע""ה",1
בקו',0
והיתה,1
בבשרכם,1
לברית,1
עולם.,1
פואצל,0
פי,0
פצ'ילתהא,0
דכ'ר,0
אלברית,0
"י""ג",1
מרה.,0
וכד'לך,0
גוארחה,0
אלבאטנה,0
יגב,0
עליה,0
אן,0
יצ'מהא,0
מן,0
אלמעאצי,0
פלא,0
יתפכר,0
פי,0
עמל,0
מעציה,0
ולא,0
אד'ייהֿ,0
מן,0
לא,0
תגב,0
אד'ייתה,0
כקו',0
פי,0
מן,0
יתפכר,0
פי,0
ד'לך,0
[און],1
יחשב,1
על,1
משכבו.,1
פאד'א,0
יצח,0
ללאנסאן,0
גמיע,0
ד'לך,0
או,0
כת'רתה,0
או,0
"בעצ'ה,",0
ואמסך,0
מע,0
ד'לך,0
גארחהֿ,0
"אלטעאם,",0
פהד'א,0
הו,0
אלצום,0
אלצחיח,0
אלד'י,0
ירצ'א,0
בה,0
אללה,0
"סב',",0
ותציר,0
גמיע,0
אעצ'איה,0
מטיעה,0
ללה,0
שאכרה,0
לה,0
כקו',0
כל,1
עצמותי,1
תאמרנה,1
ה',1
מי,1
כמכה.,1
פסב',0
מן,0
אפתרץ',0
עלינא,0
הד'ה,0
אלפראיץ',0
אלגליה,0
לינפענא,0
פי,0
דאר,0
כראמתה,0
כקו',0
ויצוינו,1
ה',1
לעשות,1
את,1
כל,1
החקים,1
האלה.,1
כמל,0
אלפצל,0
אלראבע.,0
יתלוה.,0
