word,is_he
פצל,0
יב,1
קימה,1
אסם,0
משתרך,0
ואחד,0
מעאניה,0
אלקיאם,0
אלד'י,0
הו,0
מקאבל,0
ישיבה,1
ולא,1
קם,1
ולא,1
זע,1
ממנו.,1
ופיה,0
איצ'א,0
מעני,0
ת'באת,0
אלאמר,0
וצחתה,0
יקם,1
"י""י",1
את,1
דברו,1
ויקם,1
שדה,1
עפרון,1
וקם,1
הבית,1
אשר,1
בעיר,1
וקמה,1
בידך,1
ממלכת,1
ישראל.,1
ובהד'א,0
אלמעני,0
קיל,0
כל,0
לשון,1
קימה,1
פי,0
אללה,0
תעאלי,0
עתה,1
אקום,1
יאמר,1
"י""י",1
יריד,0
בה,0
אלאן,0
את'בת,0
אמרי,0
וועדי,0
וועידי,0
אתה,1
תקום,1
תרחם,1
ציון,1
תת'בת,0
מא,0
ועדת,0
בה,0
מן,0
רחמתהא.,0
ולמא,0
כאן,0
אלמג'מע,0
עלי,0
פעל,0
אמר,0
מא,0
ינזע,0
אלי,0
פעלה,0
באלקיאם,0
קיל,0
לכל,0
מן,0
ת'אר,0
לאמר,0
מא,0
אנה,0
קאם,0
כי,1
הקים,1
בני,1
את,1
עבדי,1
עלי.,1
ואסתעיר,0
הד'א,0
אלמעני,0
לנפוד',0
אמר,0
אללה,0
עלי,0
קום,0
אסתחקוא,0
אלעקאב,0
לדת'ארהם,0
וקמתי,1
על,1
בית,1
ירבעם,1
וקם,1
על,1
בית,1
מרעים.,1
וקד,0
יכון,0
קולה,0
עתה,1
אקום,1
מן,0
הד'א,0
אלמעני,0
וכד'לך,0
תקום,1
תרחם,1
ציון,1
יעני,0
תקום,1
על,1
אויביה.,1
ומן,0
הד'א,0
אלמעני,0
ג'את,0
נצוץ,0
כת'ירה,0
לא,0
אן,0
ת'ם,0
קיאם,0
או,0
קעוד,0
תעאלי,0
קאלוא,0
"ע""אס",0
אין,1
למעלה,1
לא,1
ישיבה,1
ולא,1
עמידה,1
לאן,0
עמד,1
קד,0
יג'י,0
במעני,0
קם:,1
