word,is_he
פצל,0
כו,1
קד,0
עלמת,0
קולתהם,0
אלג'אמעה,0
לאנואע,0
אלתאוילאת,0
כלהא,0
אלמתעלקה,0
בהד'א,0
אלפן,0
והו,0
קולהם,0
דברה,1
תורה,1
כלשון,1
בני,1
אדם,1
מעני,0
ד'לך,0
אן,0
כל,0
מא,0
ימכן,0
אלנאס,0
אג'מע,0
פהמה,0
ותצורה,0
באול,0
פכרה,0
הו,0
אלד'י,0
אוג'ב,0
ללה,0
תעאלי,0
פלד'לך,0
וצף,0
באוצאף,0
תדל,0
עלי,0
אלג'סמאניה,0
לידל,0
עליה,0
אנה,0
תעאלי,0
מוג'וד,0
אד',0
לא,0
ידרך,0
אלג'מהור,0
באול,0
והלה,0
וג'ודא,0
אלא,0
ללג'סם,0
כ'אצה,0
ומא,0
ליס,0
בג'סם,0
או,0
מוג'וד,0
פי,0
ג'סם,0
פליס,0
הו,0
מוג'ודא,0
ענדהם.,0
וכד'לך,0
כל,0
מא,0
הו,0
כמאל,0
ענדנא,0
נסב,0
לה,0
תעאלי,0
לידל,0
עליה,0
אנה,0
כאמל,0
באנחא,0
אלכמאלאת,0
כלהא,0
ולא,0
ישובה,0
נקץ,0
אצלא.,0
פכל,0
מא,0
ידרך,0
אלג'מהור,0
באנה,0
נקץ,0
או,0
עדם,0
פלא,0
יוצף,0
בה,0
ולד'לך,0
לא,0
יוצף,0
באכל,0
ולא,0
בשרב,0
ולא,0
בנום,0
ולא,0
במרץ',0
ולא,0
בט'לם,0
ולא,0
במא,0
ישבה,0
ד'לך,0
וכל,0
מא,0
יט'ן,0
אלג'מהור,0
אנה,0
כמאל,0
וצף,0
בה,0
ואן,0
כאן,0
ד'לך,0
אנמא,0
הו,0
כמאל,0
באלאצ'אפה,0
אלינא,0
אמא,0
אליה,0
תעאלי,0
פתלך,0
אלתי,0
נט'נהא,0
כלהא,0
כמאלאת,0
הי,0
גאיהֿ,0
אלנקץ,0
לכן,0
לו,0
תכ'ילוא,0
עדם,0
ד'לך,0
אלכמאל,0
אלאנסאני,0
מנה,0
תעאלי,0
לכאן,0
ד'לך,0
ענדהם,0
נקצא,0
פי,0
חקה.,0
ואנת,0
תעלם,0
אן,0
אלחרכה,0
הי,0
מן,0
כמאל,0
אלחיואן,0
וצ'רוריה,0
לה,0
פי,0
כמאלה,0
פכמא,0
הו,0
מפתקר,0
ללאכל,0
ואלשרב,0
לתעויץ',0
מא,0
תחלל,0
כד'לך,0
הו,0
מפתקר,0
ללחרכה,0
ליקצד,0
אלמואלף,0
לה,0
ויהרב,0
מן,0
אלמכ'אלף,0
ולא,0
פרק,0
בין,0
אן,0
יוצף,0
תעאלי,0
באלאכל,0
ואלשרב,0
או,0
יוצף,0
בחרכה,0
לכן,0
בחסב,0
לשון,1
בני,1
אדם,1
אעני,0
אלכ'יאל,0
אלג'מהורי,0
כאן,0
אלאכל,0
ואלשרב,0
ענדהם,0
נקצא,0
פי,0
חק,0
אללה,0
ואלחרכה,0
ליסת,0
בנקץ,0
פי,0
חקה,0
ואן,0
כאנת,0
אלחרכה,0
אנמא,0
אלג'א,0
אליהא,0
אלאפתקאר.,0
וקד,0
תברהן,0
אן,0
כל,0
מתחרך,0
פד'ו,0
עט'ם,0
מנקסם,0
בלא,0
שך,0
וסיתברהן,0
כונה,0
תעאלי,0
ליס,0
בד'י,0
עט'ם,0
פלא,0
תוג'ד,0
לה,0
חרכה,0
ולא,0
יוצף,0
איצ'א,0
בסכון,0
אד',0
לא,0
יוצף,0
בסכון,0
אלא,0
מן,0
שאנה,0
אן,0
יתחרך.,0
פכל,0
הד'ה,0
אלאסמא,0
אלדאלה,0
עלי,0
אנואע,0
אלחרכאת,0
אלחיואניה,0
כלהא,0
וצף,0
בהא,0
תעאלי,0
עלי,0
אלג'הה,0
אלתי,0
קלנא,0
כמא,0
יוצף,0
באלחיאה,0
אד',0
אלחרכה,0
ערץ',0
לאזם,0
ללחיואן,0
ולא,0
ריב,0
אן,0
מע,0
ארתפאע,0
אלג'סמאניה,0
ירתפע,0
ג'מיע,0
ד'לך,0
אעני,0
ירד,1
ועלה,1
והלך,1
ונצב,1
ועמד,1
וסבב,1
וישב,1
ושכן,1
ויצא,1
ובא,1
ועבר,1
וכל,0
מא,0
שאבה,0
ד'לך.,0
והד'א,0
אלאמר,0
אלתטויל,0
פיה,0
פצ'ל,0
אלא,0
מן,0
אג'ל,0
מא,0
אלפתה,0
אד'האן,0
אלג'מהור,0
פלד'לך,0
ינבגי,0
תביינה,0
ללד'ין,0
אכ'ד'וא,0
אנפסהם,0
באלכמאל,0
אלאנסאני,0
ואזאלהֿ,0
הד'ה,0
אלאוהאם,0
אלסאבקה,0
מן,0
סן,0
אלטפוליה,0
אליהם,0
מנהם,0
ביסיר,0
בסט,0
כמא,0
פעלנא:,0
