word,is_he
בשם,1
"י""י",1
אל,1
עולם,1
אלמקדמאת,0
אלמחתאג',0
אליהא,0
פי,0
את'באת,0
וג'וד,0
אלאלאה,0
תעאלי,0
ופי,0
אלברהאן,0
עלי,0
כונה,0
לא,0
ג'סמא,0
ולא,0
קוה,0
פי,0
ג'סם,0
ואנה,0
ג'ל,0
אסמה,0
ואחד,0
כ'מס,0
ועשרון,0
מקדמה,0
כלהא,0
מברהנה,0
לא,0
שך,0
פי,0
שי,0
מנהא,0
קד,0
אתי,0
ארסטו,0
ומן,0
בעדה,0
מן,0
אלמשאיין,0
עלי,0
ברהאן,0
כל,0
ואחדה,0
מנהא,0
ומקדמה,0
ואחדה,0
נסלמהא,0
להם,0
תסלימא,0
לאן,0
בד'לכ,0
תתברהן,0
מטאלבנא,0
מא,0
סאבין,0
ותלך,0
אלמקדמה,0
הי,0
קדם,0
אלעאלם.,0
א,0
אלמקדמה,0
אלאולי,0
אן,0
