word,is_he
פצל,0
יט,1
קד,0
באן,0
לך,0
מן,0
מד'הב,0
ארסטו,0
ומן,0
מד'הב,0
כל,0
מן,0
יקול,0
בקדם,0
אלעאלם,0
אנה,0
ירי,0
אן,0
הד'א,0
אלוג'וד,0
צדר,0
ען,0
אלבארי,0
עלי,0
ג'ההֿ,0
אללזום,0
ואנה,0
תעאלי,0
עלה,0
והד'א,0
מעלול,0
והכד'א,0
לזם,0
וכמא,0
לא,0
יקאל,0
פיה,0
תעאלי,0
לם,0
וג'ד,0
או,0
כיף,0
וג'ד,0
הכד'א,0
אעני,0
ואחדא,0
וגיר,0
ג'סם,0
כד'לך,0
לא,0
יקאל,0
פי,0
אלעאלם,0
בג'מלתה,0
לם,0
וג'ד,0
או,0
כיף,0
וג'ד,0
הכד'א,0
אד',0
הד'א,0
כלה,0
לאזם,0
אן,0
יוג'ד,0
כד'א,0
אלעלה,0
ומעלולהא,0
ולא,0
ימכן,0
פיהמא,0
עדם,0
בוג'ה,0
ולא,0
תגיר,0
עמא,0
המא,0
עליה.,0
פלד'לך,0
ילזם,0
ען,0
הד'א,0
אלראי,0
לזום,0
דואם,0
כל,0
שי,0
עלי,0
טביעתה,0
ואן,0
לא,0
יתגיר,0
בוג'ה,0
שי,0
מן,0
אלאשיא,0
ען,0
טביעתה.,0
ובחסב,0
הד'א,0
אלראי,0
יכון,0
תגיר,0
שי,0
מן,0
אלמוג'ודאת,0
ען,0
טביעתה,0
ממתנעא,0
פלא,0
תכון,0
אד'א,0
הד'ה,0
אלאשיא,0
כלהא,0
בקצד,0
קאצד,0
אכ'תאר,0
ואראד,0
אן,0
תכון,0
הכד'א,0
לאנה,0
אן,0
כאנת,0
בקצד,0
קאצד,0
פקד,0
כאנת,0
גיר,0
מוג'ודה,0
הכד'א,0
קבל,0
אן,0
תקצד.,0
ואמא,0
בחסב,0
ראינא,0
נחן,0
פאלאמר,0
בין,0
אנהא,0
בקצד,0
לא,0
עלי,0
ג'ההֿ,0
אללזום,0
ויג'וז,0
אן,0
יגירהא,0
ד'לך,0
אלקאצד,0
ויקצד,0
קצדא,0
אכ'ר,0
לכן,0
ליס,0
אי,0
קצד,0
באטלאק,0
לאן,0
ת'ם,0
טביעהֿ,0
אמתנאע,0
ת'אבתה,0
לא,0
ימכן,0
בטלאנהא,0
כמא,0
נבין.,0
וגרצ'י,0
פי,0
הד'א,0
אלפצל,0
אן,0
אבין,0
לך,0
בדלאיל,0
תקארב,0
אלברהאן,0
אן,0
וג'ודנא,0
הד'א,0
ידלנא,0
עלי,0
אנה,0
בקצד,0
קאצד,0
צ'רורה,0
מן,0
גיר,0
אן,0
אתכלף,0
מא,0
ארתכבתה,0
אלמתכלמון,0
מן,0
אבטאל,0
טביעהֿ,0
אלוג'וד,0
ואלקול,0
באלג'ז,0
וכ'לק,0
אלאעראץ',0
מסתמרא,0
וג'מיע,0
מא,0
בינת,0
לך,0
מן,0
אצולהם,0
אלתי,0
אנמא,0
ראמוא,0
תמהידהא,0
לאיג'אד,0
אלתכ'ציץ,0
ולא,0
תט'ן,0
אנהם,0
איצ'א,0
קאלוא,0
הד'א,0
אלד'י,0
אקולה,0
אמא,0
אנהם,0
ראמוא,0
מא,0
ארומה,0
פלא,0
שך,0
וכד'לך,0
ד'כרוא,0
אלאמור,0
אלתי,0
אד'כרהא,0
ולחט'וא,0
פיהא,0
אלתכ'ציץ,0
גיר,0
אנהם,0
לא,0
פרק,0
ענדהם,0
בין,0
אכ'תצאץ,0
הד'א,0
אלנבאת,0
באלחמרה,0
דון,0
אלביאץ',0
או,0
באלחלאוה,0
דון,0
אלמרארה,0
או,0
אכ'תצאץ,0
אלסמא,0
במא,0
הי,0
עליה,0
מן,0
אלשכל,0
דון,0
אלתרביע,0
ואלתת'לית',0
ואת'בתוא,0
אלתכ'ציץ,0
במקדמאתהם,0
תלך,0
אלתי,0
קד,0
עלמתהא,0
ואנא,0
את'בת,0
אלתכ'ציץ,0
פי,0
מא,0
ינבגי,0
אן,0
ית'בת,0
פיה,0
במקדמאת,0
פלספיה,0
מאכ'וד'ה,0
מן,0
טביעהֿ,0
אלוג'וד.,0
והד'ה,0
אלטריק,0
אבינהא,0
בעד,0
תקדים,0
הד'ה,0
אלמקדמה,0
והי,0
אן,0
כל,0
מאדה,0
משתרכה,0
בין,0
אשיא,0
מתגאירה,0
בוג'ה,0
מן,0
וג'וה,0
אלתגאיר,0
פלא,0
בד,0
צ'רורה,0
מן,0
סבב,0
אכ'ר,0
כ'ארג'א,0
ען,0
תלך,0
אלמאדה,0
אלמשתרכה,0
הו,0
אלד'י,0
אוג'ב,0
כון,0
בעצ'הא,0
בצפהֿ,0
מא,0
ובעצ'הא,0
בצפה,0
אכ'רי,0
או,0
אסבאב,0
עלי,0
עדד,0
אלמתגאיראת.,0
והד'ה,0
מקדמה,0
מג'מע,0
עליהא,0
ממן,0
יעתקד,0
אלקדם,0
וממן,0
יעתקד,0
אלחדות'.,0
ובעד,0
הד'ה,0
אלמקדמה,0
אכ'ד',0
פי,0
תביין,0
מא,0
קצדת,0
לתביינה,0
עלי,0
ג'ההֿ,0
אלמסאלה,0
ואלג'ואב,0
עלי,0
ראי,0
ארסטו.,0
סאלנא,0
ארסטו,0
וקלנא,0
לה,0
קד,0
ברהנת,0
לנא,0
עלי,0
כון,0
מאדהֿ,0
כל,0
מא,0
תחת,0
פלך,0
אלקמר,0
מאדה,0
ואחדה,0
משתרכה,0
ללכל,0
פמא,0
עלהֿ,0
אכ'תלאף,0
הד'ה,0
אלאנואע,0
אלמוג'ודה,0
הנא,0
ומא,0
עלהֿ,0
אכ'תלאף,0
אשכ'אץ,0
כל,0
נוע,0
מנהא.,0
פג'אובנא,0
ען,0
ד'לך,0
באן,0
קאל,0
עלהֿ,0
אלאכ'תלאף,0
תגיר,0
אמתזאג',0
אלמרכבאת,0
מן,0
תלך,0
אלמאדה,0
וד'לך,0
אן,0
תלך,0
אלמאדה,0
אלמשתרכה,0
קבלת,0
אולא,0
ארבע,0
צור,0
וכל,0
צורה,0
מנהא,0
תבעתהא,0
כיפיתאן,0
ובתלך,0
אלכיפיאת,0
אלארבע,0
צארת,0
אסטקצאת,0
למא,0
תרכב,0
מנהא,0
וד'לך,0
אנהא,0
תכ'תלט,0
אולא,0
בחרכהֿ,0
אלפלך,0
ת'ם,0
תמתזג',0
פיחדת',0
אלאכ'תלאף,0
פי,0
אלמכ'תלטאת,0
אלמתרכבה,0
מנהא,0
במקאדיר,0
מכ'תלפה,0
מן,0
אלחאר,0
ואלבארד,0
ואלרטב,0
ואליאבס,0
פתציר,0
פיהא,0
בהד'ה,0
אלאמזג'ה,0
אלמכ'תלפה,0
תהיואת,0
מכ'תלפה,0
לקבול,0
צור,0
מכ'תלפה,0
ובתלך,0
אלצור,0
איצ'א,0
תציר,0
מתהייה,0
לקבול,0
צור,0
אכ'רי,0
והכד'א,0
דאימא.,0
ואלצורה,0
אלנועיה,0
אלואחדה,0
יוג'ד,0
למאדתהא,0
ערץ',0
כביר,0
פי,0
כמהא,0
וכיפהא,0
ובחסב,0
ד'לך,0
אלערץ',0
תכ'תלף,0
אשכ'אץ,0
אלנוע,0
כמא,0
תבין,0
פי,0
אלעלם,0
אלטביעי.,0
והד'א,0
כלה,0
צחיח,0
בין,0
למן,0
ינצף,0
נפסה,0
ולא,0
יכ'דעהא.,0
ת'ם,0
סאלנא,0
ארסטו,0
איצ'א,0
וקלנא,0
לה,0
אד'א,0
כאן,0
אמתזאג',0
אלאסטקסאת,0
הו,0
אלסבב,0
פי,0
תהיו,0
אלמואד,0
לקבול,0
אלצור,0
אלמכ'תלפה,0
אי,0
שי,0
היי,0
תלך,0
אלמאדה,0
אלאולי,0
חתי,0
קבל,0
בעצ'הא,0
צורהֿ,0
אלנאר,0
ובעצ'הא,0
צורהֿ,0
אלארץ',0
ומא,0
בינהמא,0
לקבול,0
צורהֿ,0
אלמא,0
ואלהוא,0
ומאדהֿ,0
אלכל,0
ואחדה,0
משתרכה,0
ובמא,0
ד'א,0
כאנת,0
מאדהֿ,0
אלארץ',0
אחק,0
בצורהֿ,0
אלארץ',0
ומאדהֿ,0
אלנאר,0
אחק,0
בצורהֿ,0
אלנאר.,0
פג'אוב,0
ארסטו,0
ען,0
ד'לך,0
באן,0
קאל,0
אוג'ב,0
ד'לך,0
אכ'תלאף,0
אלמואצ'ע,0
אד',0
הי,0
אוג'בת,0
להד'ה,0
אלמאדה,0
אלואחדה,0
תהיואת,0
מכ'תלפה,0
וד'לך,0
אן,0
אלד'י,0
ילי,0
מנהא,0
אלמחיט,0
את'ר,0
פיה,0
לטאפה,0
וסרעהֿ,0
חרכה,0
וקרב,0
מן,0
טביעתה,0
פקבל,0
בד'לך,0
אלתהיו,0
צורהֿ,0
אלנאר,0
וכלמא,0
בעדת,0
אלמאדה,0
ען,0
אלמחיט,0
נחו,0
אלמרכז,0
צארת,0
אכת'ף,0
ואצלב,0
ואקל,0
צ'וא,0
פצארת,0
ארצ'א.,0
והי,0
אלעלה,0
פי,0
אלמא,0
ואלהוא.,0
פכאן,0
ד'לך,0
צ'רוריא,0
אד',0
מן,0
אלמחאל,0
אן,0
תכון,0
הד'ה,0
אלמאדה,0
פי,0
לא,0
מכאן,0
או,0
יכון,0
אלמחיט,0
הו,0
אלמרכז,0
