word,is_he
פצל,0
ג,1
אעלם,0
אן,0
הד'ה,0
אלארא,0
אלתי,0
יראהא,0
ארסטו,0
פי,0
אסבאב,0
חרכהֿ,0
אלאפלאך,0
אלתי,0
מנהא,0
אסתכ'רג',0
וג'וד,0
עקול,0
מפארקה,0
ואן,0
כאנת,0
דעאוי,0
לא,0
לקום,0
עליהא,0
ברהאן,0
לכנהא,0
הי,0
אקל,0
אלארא,0
אלתי,0
תקאל,0
שכוכא,0
ואג'ראהא,0
עלי,0
נט'אם,0
כמא,0
יקול,0
אלאסכנדר,0
פי,0
מבאדי,0
אלכל.,0
והי,0
איצ'א,0
אקאויל,0
תטאבק,0
אקאויל,0
כת'ירה,0
מן,0
אקאויל,0
אלשריעה,0
ובכ'אצה,0
בחסב,0
מא,0
יבין,0
פי,0
אלמדרשות,0
אלמשהורה,0
אלתי,0
לא,0
שך,0
אנהא,0
ללחכמים,0
כמא,0
סאבין.,0
פלד'לך,0
אתי,0
באראיה,0
ובדלאילה,0
חתי,0
אלתקט,0
מנהא,0
מא,0
הו,0
מואפק,0
ללשריעה,0
מטאבק,0
לאקאויל,0
אלחכמים,0
זכרם,1
לברכה:,1
