word,is_he
פצל,0
יח,1
ובעד,0
מא,0
קדמתה,0
מן,0
תכ'ציץ,0
אלענאיה,0
בנוע,0
אלאנסאן,0
וחדה,0
מן,0
סאיר,0
אנואע,0
אלחיואן,0
אקול,0
אנה,0
קד,0
עלם,0
אן,0
ליס,0
פי,0
כ'ארג',0
אלד'הן,0
נוע,0
מוג'וד,0
בל,0
אלנוע,0
וסאיר,0
אלכליאת,0
מעאני,0
ד'הניה,0
כמא,0
עלמת,0
וכל,0
מוג'וד,0
כ'ארג',0
אלד'הן,0
אנמא,0
הו,0
שכ'ץ,0
או,0
אשכ'אץ.,0
פאד'א,0
עלם,0
הד'א,0
פקד,0
עלם,0
אן,0
אלפיץ',0
אלאלאהי,0
אלמוג'וד,0
מתצלא,0
בנוע,0
אלאנסאן,0
אעני,0
אלעקל,0
אלאנסאני,0
אנמא,0
הו,0
מא,0
וג'ד,0
מן,0
אלעקול,0
אלשכ'ציה,0
והו,0
מא,0
פאץ',0
עלי,0
זיד,0
ועמר,0
וכ'אלד,0
ובכר.,0
ואד'א,0
כאן,0
ד'לך,0
כד'לך,0
פילזם,0
עלי,0
מא,0
ד'כרתה,0
פי,0
אלפצל,0
אלמתקדם,0
אן,0
אי,0
שכ'ץ,0
מן,0
אשכ'אץ,0
אלנאס,0
נאל,0
פי,0
ד'לך,0
אלפיץ',0
חט'א,0
אופר,0
בחסב,0
תהיו,0
מאדתה,0
וריאצ'תה,0
כאנת,0
אלענאיה,0
בה,0
אכת'ר,0
צ'רורה,0
אן,0
כאנת,0
אלענאיה,0
תאבעה,0
ללעקל,0
כמא,0
ד'כרת,0
פלא,0
תכון,0
אלענאיה,0
אלאלאהיה,0
באשכ'אץ,0
נוע,0
אלאנסאן,0
כלהא,0
עלי,0
אלסוא,0
בל,0
תתפאצ'ל,0
אלענאיה,0
בהם,0
כתפאצ'ל,0
כמאלהם,0
אלאנסאני.,0
ובחסב,0
הד'א,0
אלנט'ר,0
ילזם,0
צ'רורה,0
אן,0
תכון,0
ענאיתה,0
תעאלי,0
באלאנביא,0
עט'ימה,0
ג'דא,0
ועלי,0
חסב,0
מראתבהם,0
פי,0
אלנבוה,0
ותכון,0
ענאיתה,0
באלפצ'לא,0
ואלצאלחין,0
עלי,0
חסב,0
פצ'להם,0
וצלאחהם,0
אד',0
ד'לך,0
אלקדר,0
מן,0
פיץ',0
אלעקל,0
אלאלאהי,0
הו,0
אלד'י,0
אנטק,0
אלאנביא,0
וסדד,0
אפעאל,0
אלצאלחין,0
וכמל,0
עלום,0
אלפצ'לא,0
במא,0
עלמוא,0
ואמא,0
אלג'אהלון,0
אלעצאה,0
פבחסב,0
מא,0
עדמוא,0
מן,0
ד'לך,0
אלפיץ',0
האן,0
אמרהם,0
ואנתסקוא,0
פי,0
נט'אם,0
סאיר,0
אשכ'אץ,0
אנואע,0
אלחיואן,0
נמשל,1
כבהמות,1
נדמו,1
ולד'לך,0
סהל,0
קתלהם,0
בל,0
אמר,0
בה,0
ללמנאפע.,0
והד'א,0
אלגרץ',0
הו,0
קאעדה,0
מן,0
קואעד,0
אלשריעה,0
ועליה,0
מבנאהא,0
אעני,0
עלי,0
אן,0
אלענאיה,0
בשכ'ץ,0
שכ'ץ,0
מן,0
אשכ'אץ,0
אלאנסאן,0
בחסבה.,0
תאמל,0
כיף,0
נץ,0
עלי,0
אלענאיה,0
בג'זאיאת,0
אחואל,0
אלאבות,0
פי,0
תצרפאתהם,0
וחתי,0
פי,0
כסבהם,0
ומא,0
ועדוא,0
בה,0
מן,0
אצחאב,0
אלענאיה,0
להם,0
קיל,0
לאברהם,1
אנכי,1
מגן,1
לך,1
וקיל,0
ליצחק,1
ואהיה,1
עמך,1
ואברכך,1
וקיל,0
ליעקב,1
והנה,1
אנכי,1
עמך,1
ושמרתיך,1
בכל,1
אשר,1
תלך,1
וקיל,0
לסיד,0
אלנביין,0
כי,1
אהיה,1
עמך,1
וקיל,0
ליהושע,1
כאשר,1
הייתי,1
עם,1
משה,1
אהיה,1
עמך,1
והד'א,0
כלה,0
תצריח,0
באלענאיה,0
בהם,0
עלי,0
קדר,0
כמאלהם.,0
וקיל,0
פי,0
אלענאיה,0
באלפצ'לא,0
ואהמאל,0
אלג'אהלין,0
רגלי,1
חסידיו,1
ישמר,1
ורשעים,1
בחשך,1
ידמו,1
כי,1
לא,1
בכח,1
יגבר,1
איש,1
יקול,0
אן,0
סלאמהֿ,0
בעץ',0
אשכ'אץ,0
אלנאס,0
מן,0
אלאפאת,0
ווקוע,0
בעצ'הם,0
פיהא,0
ליס,0
ד'לך,0
בחסב,0
קואהם,0
אלבדניה,0
ואסתעדאדאתהם,0
אלטביעיה,0
הו,0
קולה,0
כי,1
לא,1
בכח,1
יגבר,1
איש,1
בל,0
ד'לך,0
בחסב,0
אלכמאל,0
ואלנקץ,0
אעני,0
קרבהם,0
מן,0
אללה,0
או,0
בעדהם,0
פלד'לך,0
כאן,0
אלקריבון,0
מנה,0
פי,0
גאיהֿ,0
אלוקאיה,0
רגלי,1
חסידיו,1
ישמר,1
ואלבעידון,0
מנה,0
מערצ'ון,0
למא,0
אתפק,0
אן,0
יציבהם,0
וליס,0
ת'ם,0
מא,0
יקיהם,0
עמא,0
יטרי,0
כאלמאשי,0
פי,0
אלט'לאם,0
אלד'י,0
עטבה,0
מצ'מון.,0
וקיל,0
פי,0
אלענאיה,0
באלפצ'לא,0
איצ'א,0
שומר,1
כל,1
עצמותיו,1
וגו',1
עיני,1
"י""י",1
אל,1
צדיקים,1
וגו',1
יקראני,1
ואענהו,1
וגו',1
ואלנצוץ,0
אלתי,0
ג'את,0
פי,0
הד'א,0
אלמעני,0
אכת'ר,0
מן,0
אן,0
תחצי,0
אעני,0
פי,0
אלענאיה,0
באשכ'אץ,0
אלנאס,0
עלי,0
קדר,0
כמאלהם,0
ופצ'להם.,0
וקד,0
ד'כר,0
אלפלאספה,0
איצ'א,0
הד'א,0
אלמעני,0
קאל,0
אבו,0
נצר,0
פי,0
צדר,0
שרחה,0
לכתאב,0
ניקומאכ'יא,0
לארסטו,0
קאל,0
ואמא,0
אלד'ין,0
להם,0
קדרה,0
אן,0
ינקלוא,0
אנפסהם,0
מן,0
כ'לק,0
אלי,0
כ'לק,0
פאולאיך,0
הם,0
אלד'ין,0
קאל,0
אפלאטון,0
פיהם,0
אן,0
ענאיהֿ,0
אללה,0
בהם,0
אכת'ר.,0
פתאמל,0
כיף,0
אכ'רג'נא,0
הד'א,0
אלנחו,0
מן,0
אלאעתבאר,0
למערפהֿ,0
צחהֿ,0
מא,0
ג'אוא,0
בה,0
אלאנביא,0
כלהם,0
עליהם,0
אלסלאם,0
מן,0
אלענאיה,0
אלשכ'ציה,0
אלכ'ציצה,0
בשכ'ץ,0
שכ'ץ,0
עלי,0
קדר,0
כמאלה,0
וכיף,0
הד'א,0
לאזם,0
מן,0
ג'ההֿ,0
אלנט'ר,0
אד'א,0
כאנת,0
אלענאיה,0
תאבעה,0
ללעקל,0
כמא,0
ד'כרנא,0
ולא,0
יצח,0
אן,0
נקול,0
אן,0
אלענאיה,0
נועיה,0
לא,0
שכ'ציה,0
כמא,0
שהר,0
מן,0
בעץ',0
מד'אהב,0
אלפלאספה,0
אד',0
ליס,0
ת'ם,0
מוג'וד,0
כ'ארג,0
אלד'הן,0
גיר,0
אלאשכ'אץ,0
ובהאולא,0
אלאשכ'אץ,0
אתצל,0
אלעקל,0
אלאלאהי,0
פאלענאיה,0
אד'א,0
אנמא,0
הי,0
בהאולא,0
אלאשכ'אץ.,0
פתאמל,0
הד'א,0
אלפצל,0
חק,0
תאמלה,0
תסלם,0
לך,0
קואעד,0
אלשריעה,0
כלהא,0
בה,0
ותטאבק,0
לך,0
ארא,0
נט'ריה,0
פלספיה,0
ותרתפע,0
אלשנאעאת,0
ותתצ'ח,0
לך,0
צורהֿ,0
אלענאיה,0
כיף,0
הי.,0
ובעד,0
מא,0
ד'כרנאה,0
מן,0
ארא,0
אהל,0
אלנט'ר,0
פי,0
אלענאיה,0
ותדביר,0
אללה,0
ללעאלם,0
כיף,0
הו,0
אלכ'ץ,0
לך,0
איצ'א,0
ראי,0
אהל,0
מלתנא,0
פי,0
אלעלם,0
וכלאמא,0
לי,0
פי,0
ד'לך:,0
