word,is_he
פצל,0
כד,1
אמר,0
אלנסיון,0
איצ'א,0
משכל,0
ג'דא,0
והו,0
מן,0
אעט'ם,0
משכלאת,0
אלשריעה,0
ואלתורה,0
ד'כרתה,0
פי,0
סתה,0
מואצ'ע,0
כמא,0
אבין,0
לך,0
פי,0
הד'א,0
אלפצל.,0
אמא,0
מא,0
הו,0
משהור,0
ענד,0
אלנאס,0
מן,0
אמר,0
אלנסיון,0
והו,0
אן,0
ינזל,0
אללה,0
אפאת,0
באלשכ'ץ,0
דון,0
אן,0
יתקדם,0
לה,0
ד'נב,0
כי,0
יעט'ם,0
אג'רה,0
פאן,0
הד'ה,0
קאעדה,0
לם,0
תד'כר,0
פי,0
אלתורה,0
בנץ,0
ג'לי,0
בוג'ה,0
ולא,0
פי,0
אלתורה,0
מא,0
יוהם,0
ט'אהרה,0
הד'א,0
אלמעני,0
גיר,0
מוצ'ע,0
ואחד,0
מן,0
אלסתה,0
מואצ'ע,0
וסאבין,0
מעני,0
ד'לך,0
ואלקאעדה,0
אלשרעיה,0
צ'ד,0
הד'א,0
אלראי,0
הו,0
קולה,0
תעאלי,0
אל,1
אמונה,1
ואין,1
עול.,1
ולא,0
כל,0
אלחכמים,0
איצ'א,0
ירון,0
הד'א,0
אלראי,0
אלג'מהורי,0
לאנהם,0
קד,0
קאלוא,0
אין,1
מיתה,1
בלא,1
חטא,1
ואין,1
יסורין,1
בלא,1
עון.,1
והד'א,0
הו,0
אלראי,0
אלד'י,0
ינבגי,0
אן,0
יעתקדה,0
כל,0
מתשרע,0
ד'ו,0
עקל,0
לא,0
אן,0
ינסב,0
אלט'לם,0
ללה,0
תעאלי,0
ענה,0
חתי,0
יעתקד,0
בראהֿ,0
זיד,0
מן,0
אלאת'אם,0
וכמאלה,0
ואנה,0
לם,0
יסתחק,0
מא,0
נזל,0
בה.,0
אמא,0
ט'אהר,0
אלנסיונות,0
אלמד'כורה,0
פי,0
אלתורה,0
פי,0
תלך,0
אלמואצ'ע,0
פאנהא,0
ג'את,0
פי,0
מערץ',0
אלאמתחאן,0
ואלאכ'תבאר,0
חתי,0
יעלם,0
קדר,0
אימאן,0
ד'לך,0
אלשכ'ץ,0
או,0
אלאמה,0
או,0
קדר,0
טאעתה,0
והד'א,0
אלמעני,0
הו,0
אלמשכל,0
אלעט'ים,0
ובכ'אצה,0
קצהֿ,0
אלעקידה,0
אלתי,0
לם,0
יעלמהא,0
גיר,0
אללה,0
והמא,0
וקיל,0
לה,0
כי,1
עתה,1
ידעתי,1
כי,1
ירא,1
אלהים,1
אתה,1
וכד'לך,0
קולה,0
כי,1
מנסה,1
"י""י",1
אלהיכם,1
אתכם,1
לדעת,1
הישכם,1
אהבים,1
את,1
"י""י",1
וגו',1
וכד'לך,0
קולה,0
לדעת,1
את,1
אשר,1
בלבבך,1
וגו',1
והאנא,0
אחל,0
לך,0
ג'מיע,0
הד'ה,0
אלמשכלאת.,0
אעלם,0
אן,0
כל,0
נסיון,1
ג'א,0
פי,0
אלתורה,0
אנמא,0
גרצ'ה,0
ומענאה,0
ליעלם,0
אלנאס,0
מא,0
ינבגי,0
להם,0
אן,0
יפעלוא,0
או,0
מא,0
יג'ב,0
אן,0
יעתקדוא,0
פכאן,0
מעני,0
אלנסיון,0
אן,0
יפעל,0
פעל,0
מא,0
ליס,0
אלקצד,0
שכ'ץ,0
ד'לך,0
אלפעל,0
בל,0
אלקצד,0
אן,0
יכון,0
מת'אלא,0
יקתדי,0
בה,0
ויקפי,0
את'רה,0
פקולה,0
לדעת,1
הישכם,1
אהבים,1
ליס,0
שרחה,0
ליעלם,0
אללה,0
ד'לך,0
לאנה,0
קד,0
עלם,0
בל,0
ד'לך,0
מת'ל,0
קולה,0
לדעת,1
כי,1
אני,1
"י""י",1
מקדשכם,1
אלד'י,0
מענאה,0
לתעלם,0
אלמלל.,0
כד'לך,0
קאל,0
אנה,0
אד'א,0
קאם,0
מדעי,0
נבוה,0
וראיתם,0
איהאמאתה,0
תוהם,0
אלצחה,0
פאעלמוא,0
אן,0
ד'לך,0
אמר,0
אראד,0
אללה,0
בה,0
אעלאם,0
אלמלל,0
קדר,0
תיקנכם,0
לשריעתה,0
תעאלי,0
ואדראככם,0
לחקיקתה,0
ואנכם,0
לא,0
תנכ'דעון,0
בכ'דעהֿ,0
כ'אדע,0
ולא,0
יכ'תל,0
אימאנכם,0
באללה,0
פיעתמד,0
ד'לך,0
כל,0
טאלב,0
חק,0
ויטלב,0
מן,0
אלאעתקאדאת,0
מא,0
ית'בת,0
הד'א,0
אלת'באת,0
לא,0
ילתפת,0
מעה,0
למתחד,0
במעג'ז,0
לאנה,0
דעא,0
ללממתנעאת,0
ואנמא,0
יפיד,0
אלתחדי,0
במעג'ז,0
למדעי,0
ממכן,0
כמא,0
בינא,0
פי,0
משנה,1
תורה.,1
ואד',0
ותבין,0
אן,0
מעני,0
לדעת,0
הנא,0
ליעלמוא,0
אלנאס,0
כד'לך,0
קולה,0
פי,0
אלמן,0
למען,1
ענותך,1
לנסותך,1
לדעת,1
את,1
אשר,1
בלבבך,1
התשמר,1
מצותיו,1
אם,1
לא,1
מענאה,0
לתעלם,0
אלמלל,0
ד'לך,0
וישהר,0
פי,0
אלעאלם,0
אן,0
מן,0
אנקטע,0
לעבאדתה,0
תעאלי,0
רזקה,0
מן,0
חית',0
לא,0
יט'ן,0
וען,0
הד'א,0
אלמעני,0
בעינה,0
קיל,0
פי,0
אלמן,0
פי,0
אול,0
נזולה,0
למען,1
אנסנו,1
הילך,1
בתורתי,1
אם,1
לא,1
יעני,0
ליעתבר,0
בהד'א,0
כל,0
מעתבר,0
וירי,0
הל,0
אלאנקטאע,0
לעבאדתה,0
מפיד,0
וכאף,0
אם,0
ליס,0
בכאף.,0
אמא,0
קולה,0
איצ'א,0
פי,0
אלמן,0
ת'אלת',0
מרה,0
המאכילך,1
מן,1
במדבר,1
אשר,1
לא,1
ידעון,1
אבותיך,1
למען,1
ענותך,1
ולמען,1
נסותך,1
להטיבך,1
באחריתך,1
פהו,0
יוהם,0
אנה,0
קד,0
יתעב,0
אללה,0
אלשכ'ץ,0
כי,0
יעט'ם,0
אג'רה,0
וליס,0
חקיקהֿ,0
אלאמר,0
הכד'א,0
בל,0
מעני,0
הד'א,0
אלכלאם,0
אחד,0
מעניין,0
אחדהמא,0
הו,0
אלמעני,0
אלמתכרר,0
פי,0
אלמן,0
פי,0
אלקול,0
אלאול,0
ואלת'אני,0
והו,0
ליעלם,0
הל,0
אלאנקטאע,0
ללה,0
כאף,0
פי,0
אלרזק,0
ומריח,0
מן,0
אלתעב,0
ואלנצב,0
או,0
לא.,0
או,0
יכון,0
מעני,0
נסותך,1
ליעודך,0
מן,0
קולה,0
לא,1
נסתה,1
כף,1
רגלה,1
וגו',1
כאנה,0
יקול,0
אנה,0
תעאלי,0
תקדם,0
בתעוידכם,0
אלשקא,0
פי,0
אלבריה,0
ליעט'ם,0
נעימכם,0
אד'א,0
דכ'לתם,0
אלבלאד,0
והד'א,0
צחיח,0
לאן,0
אלכ'רוג',0
מן,0
אלתעב,0
אלי,0
אלראחה,0
אלד',0
מן,0
אלדואם,0
עלי,0
אלראחה,0
ומעלום,0
אנה,0
לולא,0
שקאוהם,0
ותעבהם,0
פי,0
אלבריה,0
למא,0
אמכנהם,0
פתח,0
אלבלאד,0
ולא,0
אלקתאל,0
קד,0
נצת,0
אלתורה,0
ד'לך,0
כי,1
אמר,1
אלהים,1
פן,1
ינחם,1
העם,1
בראותם,1
מלחמה,1
ושבו,1
מצרימה,1
ויסב,1
אלהים,1
את,1
העם,1
דרך,1
המדבר,1
ים,1
סוף,1
לאן,0
אלרפאהיה,0
תד'הב,0
אלשג'אעה,0
וצ'נך,0
אלעיש,0
ואלתעב,0
יוג'ב,0
אלשג'אעה,0
והי,0
אלטובה,0
אלתי,0
ג'את,0
פי,0
הד'ה,0
אלקצה,0
באחריתם.,1
ואמא,0
קולה,0
כי,1
לבעבור,1
נסות,1
אתכם,1
בא,1
האלהים,1
פהו,0
אלמעני,0
בעינה,0
אלמקול,0
פי,0
משנה,1
תורה,1
פי,0
מתנבא,1
בשם,1
עבודה,1
זרה,1
כי,1
מנסה,1
"י""י",1
אלהיכם,1
אתכם,1
אלד'י,0
קד,0
בינא,0
מענאה,0
כד'לך,0
הנא,0
פי,0
מעמד,1
הר,1
סיני,1
קאל,0
להם,0
לא,0
תכ'אפוא,0
אן,0
הד'א,0
אלמשהד,0
אלעט'ים,0
אלד'י,0
ראיתם,0
אנמא,0
כאן,0
כי,0
יחצל,0
לכם,0
אליקין,0
באלמשאהדה,0
מן,0
חית',0
אד'א,0
נסה,1
"י""י",1
אלהיכם,1
אתכם,1
בנביא,1
שקר,1
ידעו,0
לנקץ',0
מא,0
קד,0
סמעתמוה,0
לישהר,0
קדר,0
אימאנכם,0
תת'בתוא,0
ולא,0
תזל,0
אקדאמכם,0
ולו,0
ג'יתכם,0
רסולא,0
כמא,0
זעמתם,0
ואקול,0
לכם,0
מא,0
קיל,0
לי,0
ולא,0
תסמעונה,0
לכאן,0
ימכן,0
אן,0
תתוהמוא,0
צחהֿ,0
מא,0
פי,0
יד,0
גירי,0
אד'א,0
אתאכם,0
בנקיץ',0
מא,0
אכ'ברתכם,0
בה,0
לו,0
לם,0
תסמעוה,0
פי,0
הד'א,0
אלמשהד.,0
ואמא,0
קצהֿ,0
אברהם,1
פי,0
אלעקידה,0
פתצ'מנת,0
מעניין,0
עט'ימין,0
המא,0
מן,0
קואעד,0
אלשריעה,0
אלמעני,0
אלואחד,0
הו,0
אעלאמנא,0
חד,0
אלאהבה,0
ללה,0
תעאלי,0
ואליראה,0
מנה,0
לאי,0
חד,0
תנתהי,0
פאמר,0
בהד'ה,0
אלקצה,0
אלתי,0
לא,0
יעאדלהא,0
לא,0
בד'ל,0
מאל,0
ולא,0
בד'ל,0
נפס,0
בל,0
הד'א,0
אגיא,0
מא,0
ימכן,0
אן,0
יקע,0
פי,0
אלוג'וד,0
ממא,0
לא,0
יתכ'יל,0
אן,0
טבאע,0
אלאנסאן,0
תג'יב,0
לד'לך,0
והו,0
אן,0
יכון,0
רג'לא,0
עקימא,0
פי,0
גאיהֿ,0
אלשוק,0
לולד,0
וד'א,0
נעמה,0
כבירה,0
ווג'אהה,0
ומות'רא,0
אן,0
תכון,0
מן,0
נסלה,0
מלה,0
וג'אה,0
אלולד,0
בעד,0
אליאס,0
כיף,0
יכון,0
ולועה,0
בה,0
ומחבתה,0
לה,0
לכן,0
ענד,0
כ'ופה,0
תעאלי,0
ומחבהֿ,0
אמתת'אל,0
אמרה,0
תהאון,0
בהד'א,0
אלולד,0
אלחביב,0
ואטרח,0
כל,0
מא,0
אמל,0
פיה,0
ובאדר,0
לד'בחה,0
בעד,0
סיר,0
איאם,0
לאנה,0
לו,0
ראם,0
פעל,0
ד'לך,0
לחינה,0
ענד,0
ורוד,0
אלאמר,0
עליה,0
לכאן,0
פעל,0
דהשה,0
ואצ'טראב,0
בגיר,0
תאמל,0
מסתקצי,0
אמא,0
כונה,0
יפעל,0
ד'לך,0
בעד,0
איאם,0
מן,0
ורוד,0
אלאמר,0
עליה,0
פהו,0
פעל,0
ען,0
פכרה,0
ורויה,0
צחיחה,0
ואעתבאר,0
חק,0
אמרה,0
תעאלי,0
ומחבתה,0
וכ'ופה,0
ואנה,0
לא,0
ינבגי,0
אן,0
תדעי,0
חאלה,0
אכ'רי,0
ולא,0
יות'ר,0
אנפעאל,0
בוג'ה,0
לאן,0
אברהם,1
אבינו,1
מא,0
באדר,0
לד'בח,0
יצחק,1
כ'ופא,0
מן,0
אללה,0
איאך,0
אן,0
יקתלה,0
או,0
יפקרה,0
בל,0
למג'רד,0
מא,0
יתעין,0
עלי,0
אלאדמיין,0
מן,0
מחבתה,0
תעאלי,0
וכ'ופה,0
לא,0
לתרג'י,0
ת'ואב,0
ולא,0
לכ'וף,0
עקאב,0
כמא,0
בינא,0
פי,0
עדהֿ,0
מואצ'ע,0
פקאל,0
אלמלאך,0
לה,0
כי,1
עתה,1
ידעתי,1
כי,1
ירא,1
אלהים,1
אתה,1
יעני,0
אן,0
בהד'א,0
אלפעל,0
אלד'י,0
בה,0
יטלק,0
עליך,0
ירא,1
אלהים,1
יעלם,0
ג'מיע,0
אלאדמיין,0
חד,0
יראת,1
"י""י",1
מא,0
הו.,0
ואעלם,0
אנה,0
קד,0
אכד,0
הד'א,0
אלמעני,0
פי,0
אלתורה,0
ובינה,0
וד'כר,0
אן,0
גאיהֿ,0
ג'מלהֿ,0
אלתורה,0
כלהא,0
במא,0
אשתמלת,0
עליה,0
מן,0
אמר,0
ונהי,0
וועד,0
ואכ'באר,0
אנמא,0
הו,0
שי,0
ואחד,0
והו,0
אלכ'וף,0
מנה,0
תעאלי,0
והו,0
קולה,0
אם,1
לא,1
תשמר,1
לעשות,1
את,1
כל,1
דברי,1
התורה,1
הזאת,1
הכתובים,1
בספר,1
הזה,1
ליראה,1
את,1
השם,1
הנכבד,1
והנורא,1
הזה,1
וגו',1
פהד'א,0
אחד,0
אלמעניין,0
אלמקצודין,0
באלעקידה.,0
ואלמעני,0
אלת'אני,0
ליעלמנא,0
תחקיק,0
אלאנביא,0
למא,0
יאתיהם,0
מן,0
קבל,0
אללה,0
