word,is_he
פצל,0
כח,1
ממא,0
יג'ב,0
אן,0
תתנבה,0
עליה,0
הו,0
אן,0
תעלם,0
אן,0
אלארא,0
אלצחיחה,0
אלתי,0
בהא,0
יחצל,0
אלכמאל,0
אלאכ'יר,0
אנמא,0
אעטת,0
אלשריעה,0
מנהא,0
גאיתהא,0
ודעת,0
לאעתקאדהא,0
עלי,0
אלתג'מיל,0
והו,0
וג'וד,0
אלאלאה,0
תעאלי,0
ותוחידה,0
ועלמה,0
וקדרתה,0
ואראדתה,0
וקדמה.,0
והד'ה,0
כלהא,0
גאיאת,0
אכ'ירה,0
לא,0
תתבין,0
בתפציל,0
ותחדיד,0
אלא,0
בעד,0
מערפהֿ,0
ארא,0
כת'ירה.,0
וכד'לך,0
איצ'א,0
דעת,0
אלשריעה,0
לאעתקאדאת,0
מא,0
אעתקאדהא,0
צ'רורי,0
פי,0
צלאח,0
אלאחואל,0
אלמדניה,0
כאעתקאדנא,0
אנה,0
תעאלי,0
ישתד,0
גצ'בה,0
עלי,0
מן,0
עצאה,0
פלד'לך,0
ילזם,0
אן,0
יכ'אף,0
וירהב,0
ויחד'ר,0
אלעציאן.,0
ואמא,0
סאיר,0
אלארא,0
אלצחיחה,0
פי,0
ג'מיע,0
הד'א,0
אלמוג'וד,0
אלתי,0
תלך,0
הי,0
אלעלום,0
אלנט'ריה,0
כלהא,0
עלי,0
כת'רהֿ,0
אנואעהא,0
אלתי,0
בהא,0
תצח,0
תלך,0
אלארא,0
אלתי,0
הי,0
אלגאיה,0
אלאכ'ירה,0
פאן,0
אלשריעה,0
ואן,0
כאנת,0
לם,0
תדע,0
אליהא,0
בתצריח,0
כמא,0
דעת,0
לתלך,0
פאנהא,0
דעת,0
להא,0
עלי,0
אלתג'מיל,0
והו,0
קולה,0
לאהבה,1
את,1
"י""י.",1
וקד,0
עלמת,0
מא,0
ג'א,0
מן,0
אלתאכיד,0
פי,0
אלאהבה,0
בכל,1
לבבך,1
ובכל,1
נפשך,1
ובכל,1
מאדך,1
וקד,0
בינא,0
פי,0
משנה,1
תורה,1
אן,0
הד'ה,0
אלאהבה,0
לא,0
תצח,0
אלא,0
באדראך,0
אלוג'וד,0
כלה,0
עלי,0
מא,0
הו,0
עליה,0
ואעתבאר,0
חכמתה,0
פיה.,0
וד'כרנא,0
איצ'א,0
הנאך,0
תנביה,0
אלחכמים,0
"ז""ל",1
עלי,0
הד'א,0
אלמעני,0
ואלמתחצל,0
מן,0
כל,0
מא,0
קדמנאה,0
אלאן,0
פי,0
הד'א,0
אלגרץ',0
הו,0
אן,0
כל,0
מצוה,1
סוי,0
כאנת,0
אמרא,0
או,0
נהיא,0
יכון,0
מקתצ'אהא,0
רפע,0
תט'אלם,0
או,0
חץ',0
עלי,0
כ'לק,0
כרים,0
מוד,0
לחסן,0
עשרה,0
או,0
אעטא,0
ראי,0
צחיח,0
ילזם,0
אעתקאדה,0
אמא,0
בחסב,0
אלאמר,0
פי,0
נפסה,0
או,0
בכונה,0
צ'רוריא,0
פי,0
רפע,0
אלתט'אלם,0
או,0
אכסאב,0
כ'לק,0
כרים,0
פאן,0
תלך,0
אלמצוה,0
בינהֿ,0
אלעלה,0
ט'אהרהֿ,0
אלמנפעה,0
וליס,0
פי,0
תלך,0
אלמצות,0
סואל,0
ען,0
גאיה,0
לאנה,0
לם,0
יתחיר,0
אחד,0
יומא,0
קט,0
ולא,0
סאל,0
לאי,0
שי,0
שרענא,0
באן,0
אללה,0
ואחד,0
או,0
לאי,0
שי,0
נהינא,0
ען,0
אלקתל,0
ואלסרקה,0
או,0
לאי,0
שי,0
נהינא,0
ען,0
אלאנתקאם,0
ואלאכ'ד',0
באלת'אר,0
או,0
