word,is_he
פצל,0
לז,1
אלמצות,0
אלתי,0
תצ'מנתהא,0
אלג'מלה,0
אלת'אניה,0
הי,0
אלמצות,0
כלהא,0
אלתי,0
אחצינאהא,0
פי,0
הלכות,1
עבודה,1
זרה.,1
ובין,0
הו,0
אנהא,0
כלהא,0
ללכ'לאץ,0
מן,0
אגלאט,0
עבודה,1
זרה,1
ומן,0
ארא,0
אכ'ר,0
גיר,0
צחיחה,0
אנג'רת,0
מע,0
עבודה,1
זרה,1
מת'ל,0
מעונן,1
ומנחש,1
ומכשף,1
וחובר,1
חבר,1
וגירהא,0
קן,0
קבילהא.,0
ואד'א,0
קראת,0
כל,0
אלכתב,0
אלתי,0
ד'כרת,0
לך,0
יבין,0
לך,0
אן,0
אלסחר,0
אלד'י,0
תסמעה,0
הו,0
אפעאל,0
כאנוא,0
יפעלונהא,0
אלצאבה,0
ואלכסדאניון,0
ואלכלדאניון,0
ואכת'ר,0
ד'לך,0
כאן,0
פי,0
אלמצריין,0
ואלכנעאניין,0
כאנוא,0
יוהמון,0
בהא,0
או,0
יתוהמון,0
אנהא,0
תפעל,0
אפעאלא,0
עג'יבה,0
גריבה,0
פי,0
אלוג'וד,0
אמא,0
לשכ'ץ,0
ואחד,0
או,0
לאהל,0
מדינה.,0
ותלך,0
אלאפעאל,0
אלתי,0
יפעלהא,0
אלסחרה,0
לא,0
יקצ'י,0
אלקיאס,0
ולא,0
יצדק,0
אלעקל,0
אנהא,0
תוג'ב,0
שיא,0
בוג'ה,0
מת'ל,0
אן,0
יקצדוא,0
לג'מע,0
נבאת,0
מעלום,0
פי,0
וקת,0
מעלום,0
או,0
יוכ'ד',0
מן,0
אלשי,0
אלפלאני,0
עדד,0
כד'א,0
ומן,0
אלאכ'ר,0
עדד,0
כד'א,0
והו,0
באב,0
ואסע,0
ג'דא,0
אנא,0
אחצרה,0
לך,0
פי,0
ת'לת'ה,0
אנואע,0
אחדהא,0
מא,0
יתעלק,0
בשי,0
מן,0
אלמוג'ודאת,0
נבאתא,0
כאן,0
או,0
חיואנא,0
או,0
מעדנא,0
ואלת'אני,0
מא,0
יתעלק,0
בתחדיד,0
זמאן,0
תעמל,0
פיה,0
