word,is_he
פצל,0
מא,1
אלמצות,0
אלתי,0
תצ'מנתהא,0
אלג'מלה,0
אלסאדסה,0
הי,0
אלקצאצאת,0
ופאידתהא,0
עלי,0
אלעמום,0
מעלומה,0
וקד,0
ד'כרנאהא.,0
אמא,0
תפציל,0
ד'לך,0
וחכם,0
כל,0
גריבה,0
ג'את,0
פיהא,0
פאסמעהא.,0
ג'על,0
קצאץ,0
כל,0
מתעד,0
עלי,0
גירה,0
עלי,0
אלעמום,0
אן,0
יוקע,0
בה,0
מת'ל,0
מא,0
אוקע,0
סוי,0
אן,0
אג'אח,0
פי,0
אלג'סם,0
יג'אח,0
פי,0
ג'סמה,0
ואן,0
אג'אח,0
פי,0
אלמאל,0
יג'אח,0
פי,0
מאלה,0
ולצאחב,0
אלמאל,0
אן,0
יסמח,0
ויעפו.,0
אמא,0
אלקאתל,0
כ'אצה,0
לשדהֿ,0
עדואנה,0
פאנה,0
לא,0
יסמח,0
לה,0
בוג'ה,0
ולא,0
תוכ'ד',0
מנה,0
דיה,0
ולארץ,1
לא,1
יכפר,1
לדם,1
אשר,1
שפך,1
בה,1
כי,1
אם,1
בדם,1
שופכו,1
פלד'לך,0
לו,0
בקי,0
אלמקתול,0
סאעה,0
או,0
איאמא,0
והו,0
יתכלם,0
וד'הנה,0
חאצ'ר,0
וקאל,0
יתרך,0
קאתלי,0
קד,0
גפרת,0
לה,0
ועפות,0
ענה,0
לא,0
יקבל,0
מנה,0
בל,0
אלנפס,0
באלנפס,0
צ'רורה,0
בתסויהֿ,0
אלצגיר,0
ללכביר,0
ואלעבד,0
ללחר,0
ואלעאלם,0
ללג'אהל,0
אד',0
ליס,0
פי,0
ג'מיע,0
מט'אלם,0
אלאנסאן,0
אעט'ם,0
מן,0
הד'ה.,0
ומן,0
עדם,0
ג'ארחה,0
עדם,0
מת'להא,0
כאשר,1
יתן,1
מום,1
באדם,1
כן,1
ינתן,1
בו.,1
ולא,0
תשגל,0
כ'אטרך,0
בכוננא,0
נקאצץ,0
הנא,0
באלגראמה,0
לאן,0
אלקצד,0
אלאן,0
תעליל,0
אלנצוץ,0
לא,0
תעליל,0
אלפקה,0
מע,0
אן,0
לי,0
איצ'א,0
פי,0
הד'א,0
אלפקה,0
ראי,0
יסמע,0
שפאהא.,0
ואלג'ראח,0
אלתי,0
לא,0
ימכן,0
אן,0
יפעל,0
מת'להא,0
סוי,0
חכם,0
פיהא,0
באלגראמה,0
רק,1
שבתו,1
יתן,1
ורפא,1
ירפא.,1
ומן,0
אג'אח,0
פי,0
אלמאל,0
יג'אח,0
פי,0
מאלה,0
בד'לך,0
אלמקדאר,0
סוי,0
אשר,1
ירשיעון,1
אלהים,1
ישלם,1
שנים,1
לרעהו,1
אלשי,0
אלד'י,0
אכ'ד',0
ויוכ'ד',0
מת'לה,0
מן,0
מאל,0
אלסארק.,0
ואעלם,0
אנה,0
כל,0
מא,0
כאן,0
נוע,0
ד'לך,0
אלתעדי,0
אכת'ר,0
וג'וד,0
ואקרב,0
תאתי,0
וג'ב,0
אן,0
יכון,0
קצאצה,0
אשד,0
לימנע,0
מנה,0
ואלאמר,0
אלקליל,0
אלוקוע,0
קצאצה,0
אכ'ף,0
פלד'לך,0
כאנת,0
גראמהֿ,0
סארק,0
אלגנם,0
צ'עף,0
גראמהֿ,0
סאיר,0
אלמטלטלין,0
אעני,0
תשלומי,1
ארבעה,1
ובשרט,0
אכ'ראג'הא,0
ען,0
ידה,0
בביע,0
או,0
ד'בחהא,0
לאן,0
סרקתהא,0
הי,0
אלאכת'ריה,0
דאימא,0
לכונהא,0
פי,0
אלפחוץ,0
וחית',0
לא,0
ימכן,0
אלאחתיאט,0
עליהא,0
כמא,0
יחתאט,0
עלי,0
אלאשיא,0
אלתי,0
דאכ'ל,0
אלמדן,0
ולד'לך,0
מן,0
שאן,0
אלסראק,0
להא,0
אן,0
יבאדרוא,0
בביעהא,0
חתי,0
לא,0
תעתרף,0
ענדהם,0
או,0
בד'בחהא,0
לתגיב,0
עינהא,0
פלד'לך,0
כאן,0
קצאץ,0
אלאמר,0
אלאכת'רי,0
אכת'ר.,0
וגראמהֿ,0
סרקהֿ,0
אלבקר,0
זידת,0
מת'ל,0
ואחד,0
לאן,0
תאתי,0
סרקתהא,0
אכת'ר,0
לאן,0
אלגנם,0
תרעי,0
מג'תמעה,0
פיתמכן,0
אלראעי,0
מן,0
נט'רהא,0
ואכת'ר,0
מא,0
תמכן,0
סרקתהא,0
באלליל,0
אמא,0
אלבקר,0
פתרעי,0
מפתרקה,0
ג'דא,0
קד,0
ד'כר,0
ד'לך,0
פי,0
אלפלאחה,0
פלא,0
ימכן,0
אלראעי,0
אן,0
יחיט,0
בהא,0
פתכת'ר,0
פיהא,0
אלסרקה.,0
כד'לך,0
דין,1
עדים,1
זוממין,1
