word,is_he
פצל,0
נד,1
אסם,0
חכמה,1
יקע,0
פי,0
אלעבראני,0
עלי,0
ארבעה,0
מעאני,0
וד'לך,0
אנה,0
יקע,0
עלי,0
אדראך,0
אלחקאיק,0
אלתי,0
גאיתהא,0
אדראכה,0
תעאלי,0
קאל,0
והחכמה,1
מאין,1
תמצא,1
וגו',1
וקאל,0
אם,1
תבקשנה,1
ככסף,1
וגו',1
והד'א,0
כת'יר.,0
ויקע,0
עלי,0
אקתנא,0
אלצנאיע,0
אי,0
צנאעה,0
כאנת,0
וכל,1
חכם,1
לב,1
בכם,1
וכל,1
אשה,1
חכמת,1
לב.,1
ויקע,0
עלי,0
אקתנא,0
אלפצ'איל,0
אלכ'לקיה,0
וזקניו,1
יחכם,1
בישישים,1
חכמה,1
לאן,0
אלשי,0
אלד'י,0
יכתסב,0
במג'רד,0
אלשיך',0
הו,0
אלתהיו,0
לקבול,0
אלפצ'איל,0
אלכ'לקיה.,0
ויקע,0
עלי,0
אלתלטף,0
ואלאחתיאל,0
הבה,1
נתחכמה,1
לו,1
ובחסב,0
הד'א,0
אלמעני,0
קאל,0
ויקח,1
משם,1
אשה,1
חכמה,1
יעני,0
ד'את,0
תלטף,0
ואחתיאל,0
ומן,0
הד'א,0
אלמעני,0
חכמים,1
המה,1
להרע.,1
וימכן,0
אן,0
יכון,0
מעני,0
חכמה,1
פי,0
אלעבראני,0
ידל,0
עלי,0
אלתלטף,0
ואעמאל,0
אלפכרה,0
פקד,0
יכון,0
ד'לך,0
אלתלטף,0
ואלאחתיאל,0
פי,0
תחציל,0
פצ'איל,0
נטקיה,0
או,0
פי,0
תחציל,0
פצ'איל,0
כ'לקיה,0
או,0
פי,0
תחציל,0
צנאעה,0
עמליה,0
או,0
פי,0
שרור,0
ורד'איל.,0
פקד,0
באן,0
אן,0
חכם,1
יקאל,0
לד'י,0
אלפצ'איל,0
אלנטקיה,0
ולד'י,0
אלפצ'איל,0
אלכ'לקיה,0
ולכל,0
ד'י,0
צנעאה,0
עמליה,0
ולד'י,0
אלאחתיאל,0
פי,0
אלרד'איל,0
ואלשרור.,0
ובחסב,0
הד'א,0
אלביאן,0
פאן,0
אלעאלם,0
בג'מלהֿ,0
אלשריעה,0
עלי,0
חקיקתהא,0
יתסמי,0
חכם,1
מן,0
ג'התין,0
מן,0
ג'ההֿ,0
מא,0
אשתמלת,0
עליה,0
אלשריעה,0
מן,0
אלפצ'איל,0
אלנטקיה,0
ומן,0
ג'ההֿ,0
מא,0
אשתמלת,0
עליה,0
מן,0
אלפצ'איל,0
אלכ'לקיה,0
לכן,0
לכון,0
נטקיאת,0
אלשריעה,0
מקבולה,0
גיר,0
מברהנה,0
בטרק,0
אלנט'ר,0
צאר,0
פי,0
כתב,0
אלאנביא,0
וכלאם,0
אלחכמים,0
יג'עלון,0
עלם,0
אלשריעה,0
נועא,0
ואלחכמה,0
באטלאק,0
נועא,0
אכ'ר,0
תלך,0
אלחכמה,0
באטלאק,0
הי,0
אלתי,0
יתברהן,0
בהא,0
מא,0
תלקינאה,0
מן,0
אלשריעה,0
מן,0
תלך,0
אלנטקיאת,0
מקבולא,0
וכל,0
מא,0
תג'ד,0
פי,0
אלכתב,0
מן,0
תעט'ים,0
אלחכמה,0
וגראבתהא,0
וקלהֿ,0
מכתסביהא,0
לא,1
רבים,1
יחכמו,1
והחכמה,1
מאין,1
תמצא,1
וגו',1
ומת'ל,0
הד'ה,0
אלנצוץ,0
כת'ירא,0
כל,0
ד'לך,0
ען,0
תלך,0
אלחכמה,0
אלתי,0
תפידנא,0
אלברהאן,0
עלי,0
ארא,0
אלתורה.,0
אמא,0
פי,0
כלאם,0
אלחכמים,0
"ז""ל",1
פד'לך,0
איצ'א,0
כת'יר,0
אעני,0
כונהם,0
יג'עלון,0
עלם,0
אלתורה,0
נועא,0
ויג'עלון,0
אלחכמה,0
נועא,0
אכ'ר,0
קאלוא,0
"ז""ל",1
ען,0
משה,1
רבנו,1
אב,1
בחכמה,1
אב,1
בתורה,1
אב,1
בנביאים,1
וג'א,0
פי,0
שלמה,1
ויחכם,1
מכל,1
האדם,1
קאלוא,0
ולא,0
ממשה,1
לאנה,0
יריד,0
בקולה,0
מכל,1
האדם,1
מן,0
מעאצריה,0
ולד'לך,0
תג'דה,0
יד'כר,0
הימן,1
וכלכל,1
ודרדע,1
בני,1
