word,is_he
כנא,0
נעלם,0
וגוב,0
שי,0
מן,0
אלשראיע,0
ולא,0
פרק,0
ענדהם,0
פי,0
דלך,0
ג'מלה,0
וכדלך,0
ראית,0
בעץ',0
אלנאס,0
יקול,0
אן,0
אלאצל,0
פי,0
מדהב,0
אלרבאניין,0
ואעתקאד,0
גמהורהם,0
ואכתר,0
אקאוילהם,0
פי,0
אלתלמוד,0
תדל,0
עלי,0
אנהם,0
ידהבון,0
אלי,0
אלתג'סים,0
ואן,0
הדה,0
אלתכאריג',0
אלתי,0
פי,0
כתב,0
רווס,0
אל,0
מתאיב,0
ז'ל',1
עבאראת,0
ואסתחסאנאת,0
יעברון,0
בהא,0
ענהם,0
פאחב,0
אן,0
תביין,0
לי,0
אלגואב,0
ען,0
דלך,0
באזאלה,0
אלשבהה,0
וכדלך,0
אחב,0
אן,0
תערפני,0
הל,0
ענדהם,0
פרק,0
בין,0
אלעלם,0
אלצ'רורי,0
ואלעלם,0
אלאסתדלאלי,0
והל,0
להדא,0
חכם,0
יכצה,0
דון,0
אל,0
אכר,0
או,0
לא,0
וכדלך,0
אחב,0
איצ'א,0
אן,0
תשרח,0
לי,0
מא,0
ענדך,0
פי,0
קולהם,0
כדי,1
לערבב,1
את,1
השטן,1
פאני,0
ארי,0
בעץ',0
אלטעאנין,0
יסהב,0
[פי],0
דלך,0
ויקול,0
כיף,0
יגוז,0
פי,0
אלע'קל,0
ואלעדל,0
אן,0
ידפע,0
אלשטן,0
ען,0
אלטאיע,0
מא,0
וגב,0
לה,0
מן,0
אלחק,0
רגבהי,0
אלי,0
פצ'לך,0
פי,0
אן,0
תכשף,0
ען,0
קלבי,0
הדה,0
אלשבה,0
באלשרח,0
אלואסע,0
ואלביאן,0
אלואצ'ח,0
והדא,0
הו,0
גואבי,0
וקפת,0
אידך,0
אללה,0
עלי,0
גמיע,0
מא,0
סאלת,0
ענח,0
ואנא,0
אגיבך,0
ען,0
דלך,0
בעזרת,1
העוזר,1
במא,0
ענדי,0
פי,0
כל,0
מא,0
דכרתה,0
"(ע""ב)",1
אמא,0
מא,0
סאלת,0
אולא,0
פי,0
מא,0
דכרה,0
רבנו,1
שמואל,1
גאון,1
נ'ע',0
פי,0
כתאב,0
אלשראיע,0
פקד,0
סאלני,0
גירך,0
ען,0
הדה,0
אלמסלה,0
וערפתה,0
באן,0
אלוגה,0
פי,0
מג'י,0
אל,0
סמע,0
בדכר,0
אלעקליאת,0
הו,0
ליוג'ב,0
לפאעלהא,0
אל,0
תואב,0
אלמכצוץ,0
ועלי,0
מא,0
קאלו,0
רבותינו,1
"ז""ל",1
גדול,1
המצוה,1
ועושה,1
יותר,1
ממי,1
שאינו,1
מצוה,1
ועשה,1
פלמא,0
חצל,0
אלעבד,0
מאמור,0
בפעלהא,0
אסתחק,0
עלי,0
פעלהא,0
אלת'ואב,0
אלמכצוץ,0
אלדי,0
אועד,0
אללה,0
בה,0
אלטאיעה,0
אלי,0
תרי,0
אן,0
אללה,0
תעאלי,0
הו,0
כאלק,0
אלכל,0
וגמיע,0
אלמכלוקין,0
עבידה,0
ויג[ב],0
לעבד,0
טאעהֿ,0
מולאה,0
פלו,0
אסתעבדנא,0
בטאעתה,0
ועמ[ל],0
פראיצ'ה,0
בחית,0
לם,0
יוגב,0
לנא,0
עלי,0
דלך,0
אלתואב,0
לם,0
יכן,0
פי,0
דלך,0
מא,0
ימ[…]ו.,0
אלעדל,0
ולא,0
כאן,0
דלך,0
טר,0
ולאו,0
ט'למא,0
לאן,0
[…]א,0
עלי,0
סאיר,0
אלעבאד,0
חקא,0
לא,0
ואגב,0
עלי,0
איבארה,0
לנא,0
וכתרה,0
אנעאמה,0
עלינא,0
באלחיוה,0
ואלרזק,0
וסאיר,0
מא,0
לה,0
מן,0
אל,0
נעם,0
עלי,0
כלקה,0
והו,0
תעאלי,0
אלמתפצ'ל,0
במא,0
אוגבה,0
ללטאיעין,0
מן,0
אלתואב,0
כ'ק',0
לך,1
"י""י",1
חסד,1
כי,1
אתה,1
תשלם,1
לאיש,1
כמעשהו,1
פלמא,0
אכבר,0
באנה,0
יתיב,0
אלצאלחין,0
אלטאיעין,0
כ'ק',0
וחי,1
בהם,1
וקאל,0
