word,is_he
ואסתפתיה,0
לעל,0
אן,0
אג'ד,0
לי,0
רכצה,0
פימא,0
אנדרתה,0
ואעטי,0
אבנתי,0
שי,0
תעיש,0
בה,0
(בה),0
פקד,0
אחרק,0
פואדי,0
מא,0
אשאהדהא,0
פיה,0
מן,0
צ'יק,0
אלחאל,0
פדכל,0
אליה,0
פערפה,0
מא,0
כאן,0
קד,0
אנדרה,0
עלי,0
נפסה,0
קאל,0
לה,0
לאי,0
סבב,0
פעלת,0
דלך,0
קאל,0
לאנהא,0
תזוג'ת,0
במן,0
ליס,0
יקרא,0
ולא,0
פיה,0
עלם,0
ולא,0
דו,0
מאל,0
קאל,0
לה,0
פלו,0
כאן,0
יחסן,0
מתלי,0
קאל,0
לו,0
כאן,0
יא,0
מולאי,0
יקרא,0
ולו,0
פרק,0
ואחד,0
לאעטיתהא,0
אכתר,0
מאלי,0
קאל,0
לה,0
פאנא,0
הו,0
זוג'הא,0
פקאם,0
קבל,0
ראסה,0
ואוהבהא,0
נצף,0
מאלה,0
פעמל,0
להא,0
תאג',0
מן,0
דהב,0
כמא,0
קאל,0
ואועדהא,0
ותפרג'א,0
מן,0
צ'יקתהמא,0
וזאל,0
ענהמא,0
עסרהמא,0
וכתר,0
(58,1
"ע""א)",1
איסארהמא,0
פאנט'ר,0
מא,0
וצל,0
אליה,0
מע,0
כתרה,0
אלעלם,0
ופקרה.,0
אעלם,0
ופקך,0
אללה,0
ללמעשים,0
טובים,1
אן,0
הלל,1
הזקן,1
"ע""א",0
כאן,0
פקירא,0
יעמל,0
פי,0
כל,0
יום,0
בנצף,0
פיתקות,0
מנה,0
ברבע,0
דרהם,0
ויעטי,0
חארס,0
אלמדרש,0
אלרבע,0
אלאכר,0
חתי,0
יכליה,0
ידכל,0
אלי,0
אלמדרש,0
יסמע,0
דברי,1
א'הים,1
חיים,1
מפי,1
שמעה,1
ואבטלוון.,1
קיל,0
אנה,0
יום,0
מן,0
אלאיאם,0
לם,0
יג'ד,0
מן,0
יסתאג'רה,0
פג'א,0
אלי,0
אלמדרש,0
פלם,0
יתרכה,0
אלחארס,0
ידכל,0
פצעד,0
אלי,0
סקף,0
אלמדרש,0
ואדכל,0
ראסה,0
פי,0
רוזנה,0
ליסמע,0
אלדרס,0
וכאן,0
דלך,0
אליום,0
בארד,0
מתלג',0
פמן,0
אראדתה,0
ללסמאע,0
גטאה,0
אלתלג',0
ולם,0
יעלם,0
ולם,0
ישער,0
מנה,0
(58,1
"ע""ב)",1
מן,0
תלהפה,0
וחרצה,0
ואראדתה,0
אלי,0
וקת,0
אלעשא,0
וקאל,0
אנצרפו,0
מנה,0
פלם,0
יקדר,0
יכלץ,0
נפסה,0
מן,0
אלתלג',0
ולם,0
יסתטיע,0
אלחרכה,0
מן,0
מוצ'עה,0
בל,0
בקי,0
הנאך,0
אלי,0
אלצבח,0
פלמא,0
אצבחו,0
קאל,0
שמעיה,1
לאבטליון,1
מא,0
לביתנא,0
אליום,0
מטלם,0
וליס,0
פי,0
צ'ו,0
כסאיר,0
אלאיאם,0
פצעדא,0
לינט'ראה,0
וג'דאה,0
קד,0
קארב,0
אלהלאך,0
פאכרג'אה,0
ואזאלו,0
ענה,0
תיאבה,0
ואלבסוה,0
תיאב,0
נאשפה,0
ואוקדו,0
בין,0
ידיה,0
נארא,0
חתי,0
סכן,0
ולדלך,0
יקולון,0
אלחכמים,0
זכרם,1
לברכה,1
אן,0
אלפקיר,0
לא,0
עדר,0
לה,0
בין,0
ידי,0
רבה,0
פי,0
תרך,0
טלב,0
אלתורה,0
אן,0
הו,0
אחתג',0
בפקרה,0
יקאל,0
לה,0
והל,0
כנת,0
פקירא,0
אכתר,0
מן,0
הלל,1
הזקן,1
פלא,0
(59,1
"ע""א)",1
יגד,0
גואבא.,0
וכדלך,0
איצ'א,0
אלמוסר,0
אן,0
קאל,0
כנת,0
משתגל,0
באיסארי,0
קיל,0
לה,0
פהל,0
כנת,0
אכתר,0
איסאר,0
מן,0
אלעזר,1
בן,1
חרסום,1
אלדי,0
כלף,0
לה,0
אבוה,0
צ'יאע,0
כתירה,0
ואג'נה,0
ובאזיהא,0
ספן,0
פי,0
אלבחר,0
ולם,0
ימץ',0
יום,0
מן,0
אלאיאם,0
יראהא,0
בל,0
אולג',0
דלך,0
אלי,0
עבידה,0
וג'לס,0
פי,0
טלב,0
אלעלם,0
פלא,0
תתבת,0
לה,0
חג'ה,0
וכדלך,0
איצ'א,0
אלפאסק,0
אן,0
אחתג',0
אן,0
כאטרה,0
ען,0
טלב,0
אלתורה,0
יקאל,0
לה,0
פהל,0
כנת,0
אכתר,0
מן,0
יוסף,1
הצדיק,1
אלדי,0
קיל,0
ענה,0
פי,0
אשת,1
אדניו,1
כאנת,0
עלי,0
כתרה,0
ג'מאלהא,0
תמזין,0
לה,0
פי,0
כל,0
יום,0
באנואע,0
אלתזין,0
ותלבס,0
אלואן,0
מכתלפה,0
מן,0
אלתיאב,0
(59,1
"ע""ב)",1
והו,0
עלי,0
חאלה,0
אלשבאב,0
ואלג'מאל,0
ולם,0
יקבל,0
מנהא,0
ולא,0
סאעד,0
כאטרה,0
פלא,0
