word,is_he
64-,0
66),0
פצל,0
יד,1
אעלם,0
ארשדך,0
אללה,0
תע',0
אן,0
רגלין,0
תבאיעא,0
איהמא,0
יגיץ',0
הלל,1
הזקן,1
ע'א',0
ויודיה,0
אלי,0
אלצ'ג'ר,0
ואלחרד,0
ויאכד,0
מן,0
צאחבה,0
ארבעה,0
מאיה,0
דרהם,0
פמצ'י,0
אחדהמא,0
עשיה,0
אלג'מעה,0
אלי,0
באבה,0
וצאח,0
ההנא,0
הלל,1
קאל,0
נעם,0
יא,0
ולדי,0
פלבס,0
תיאבה,0
וכרג',0
אליה,0
קאל,0
לה,0
אדכל,0
לעל,0
לך,0
חאג'ה,0
קאל,0
נעם,0
מסלה,0
קד,0
ג'ית,0
אסאל,0
קאל,0
אדכר,0
סואלך,0
קאל,0
לם,0
כאנת,0
רווס,0
אלבגדאדין,0
מספטה,0
גיר,0
מדורה,0
קאל,0
לה,0
לקד,0
"סאלת,",0
(65,1
"ע""א)",1
ואלדי,0
מסלה,0
כבירה,0
אלג'ואב,0
ענהא,0
דלך,0
אן,0
קואבלהם,0
גיר,0
חדאק,0
פהם,0
פי,0
וקת,0
אלולאדה,0
לא,0
יחדקון,0
שד',0
אלראס,0
פיבקון,0
כדאך,0
פאנצרף,0
פלמא,0
דכל,0
ר',1
הלל,1
אכד,0
ליתגסל,0
רג'ע,0
צאח,0
ההנא,0
הלל,1
פכרג',0
אליה,0
וקאל,0
לעל,0
קד,0
נסית,0
אמר,0
קאל,0
נעם,0
לם,0
כאנת,0
אעין,0
אהל,0
דמיאט,0
עמש,0
צגאר,0
קאל,0
לאנהם,0
סכאן,0
אלרמל,0
וכאן,0
תם,0
ריאח,0
גמצ'ו,0
אעינהם,0
מן,0
אלרמל,0
פהם,0
פי,0
אכר,0
זמאנהם,0
יצירון,0
מגלוקין,0
אלאעין,0
פילחקהם,0
אלעמש,0
פיהא,0
פאנצרף,0
ענה,0
תם,0
עאד,0
וכרג',0
אליה,0
וסאלה,0
כדלך,0
חתי,0
צ'ג'ר,0
הו,0
מן,0
אלמשי,0
ואלרג'וע,0
אליה,0
והלל,1
ע'א',0
לם,0
(65,1
"ע""ב)",1
יצ'ג'ר,0
ולם,0
יחרד,0
פלמא,0
ראי,0
אנה,0
לא,0
יקדר,0
עלי,0
מגיצ'תה,0
קאל,0
לה,0
אנת,0
אלדי,0
יקאל,0
ענך,0
שריף,0
אלאסראיל,0
קאל,0
נעם,0
קאל,0
לא,0
כתר,0
אללה,0
תע',0
פי,0
אלנאס,0
מתלך,0
פקד,0
צ'יעת,0
עליי,0
ארבע,0
מאיה,0
דרהמא,0
קאל,0
לה,0
יא,0
ולדי,0
תחפט',0
בנפסך,0
פכם,0
קד,0
צ'אעת,0
מן,0
אלדראהם,0
עלי,0
הדא,0
אלפן,0
ומא,0
חרדת,0
אבדא,0
פאנצרף,0
ענה,0
ווזן,0
ארבע,0
מאיה,0
דרהמא.,0
ולה,0
איצ'א,0
אחאדית,0
כתירה,0
לא,0
אכתלאף,0
פיהא,0
ולא,0
