word,is_he
קראו,1
רע,1
שנאמר,1
כי,1
יצר,1
לב,1
האדם,1
רע.,1
משה,1
קראו,1
ערל,1
שנאמר,1
או,1
אז,1
יכנע,1
לבבם,1
הערל.,1
דוד,1
קראו,1
טמא,1
שנ',1
לב,1
טהור,1
ברא,1
לי,1
"י""י",1
ידל,0
עלא,0
ד'אלך,0
אן,0
ת'ם,0
טמא.,0
שלמה,1
קראו,1
שונא,1
שנ',1
אם,1
רעב,1
שנאך,1
האכילהו,1
לחם.,1
יעני,0
אקרא,0
אלתורה,0
פאן,0
אללה,0
יסלמה,0
פי,0
ידך.,0
ישעיה,1
קראו,1
מכשול,1
שנ',1
הרימו,1
מכשל,1
מדרך,1
עמי.,1
יחזקאל,1
קראו,1
אבן,1
שנ',1
והסירתי,1
את,1
לב,1
האבן,1
מבשרכם.,1
יואל,1
קראו,1
צפוני,1
שנ',1
ואת,1
הצפוני,1
ארחיק,1
מעליכם,1
זה,1
היצר,1
הצפון,1
בלבו,1
שלאדם.,1
פמא,0
אכת'ר,0
אסמאה,0
ואעצ'ם,0
אד'אה,0
פלא,0
אעאנה,0
אללה,0
עלא,0
טאלבין,0
אלכ'לאץ,0
מנה,0
וכסרה,0
ענהם.,0
פאכת'ר,0
צעובתה,0
וקוותה,0
עלא,0
תלמידי,1
חכמים,1
כקול,0
אביי,1
ותל',1
חכמ',1
יתר,1
מכולם,1
ואוצונא,0
באל,0
דרס,0
באלתורה,0
וקת,0
נשער,0
בה,0
פאן,0
ד'אלך,0
ממא,0
יצ'עפה,0
כקו',0
בני,1
אם,1
פגע,1
בך,1
מנוול,1
זה,1
כליהו,1
לדברי,1
תורה,1
אם,1
אבן,1
הוא,1
נמוח,1
שנ',1
הוי,1
כל,1
צמא,1
לכו,1
למים,1
וקאל,0
אבנים,1
שחקו,1
למו.,1
ואם,1
ברזל,1
הוא,1
מתפוצץ,1
שנ',1
הלא,1
דברי,1
כאש,1
נאם,1
"י""י",1
וכפטיש,1
יפוצץ,1
סלע,1
וקאלו,0
אמ',1
הק'ב'ה',1
בראתי,1
יצר,1
הרע,1
ובראתי,1
התורה,1
תבלין,1
לו,1
אם,1
אתם,1
עוסקין,1
בתורה,1
אין,1
אתם,1
נמסרין,1
בידו,1
וקאל,0
פי,0
מוצ'ע,0
מן,0
אלתלמוד,0
כל,1
זמן,1
שישר',1
עוסקין,1
בתורה,1
יצרן,1
נמסר,1
בידן,1
וקאלו,0
ריש,1
לקיש,1
אמר,1
יצרו,1
של,1
אדם,1
מתגבר,1
עליו,1
בכל,1
יום,1
ומבקש,1
להמיתו,1
שנ',1
צופה,1
רשע,1
לצדיק,1
ומבקש,1
להמיתו,1
וה'ק'ב'ה',1
עוזרו,1
ואינו,1
יכול,1
לו,1
שנ',1
"י""י",1
לא,1
יעזבנו,1
בידו,1
ולא,1
יעזבנו,1
בהשפטו.,1
ואנמא,0
יעינה,0
אללה,0
אד'א,0
ראה,0
ידרס,0
אלתורה,0
ועלם,0
אן,0
נייתה,0
יטלב,0
אלהרב,0
מנה.,0
ואמא,0
אן,0
ראא,0
שהותה,0
מאילה,0
לפעל,0
אלמעצייה,0
תרכה,0
עלא,0
חאלה,0
לאנה,0
לו,0
צדה,0
ענה,0
לכאן,0
ד'אלך,0
מגצוב,0
עלא,0
תרך,0
אלמעצייה,0
ויסקט,0
וגוב,0
אלת'ואב,0
ואלעקאב,0
ואנמי,0
יתרכה,0
עלא,0
הואה,0
חתי,0
אד'א,0
סאעד,0
כ'אטרה,0
נאל,0
אלעקאב,0
כקול',0
בא,1
ליטמא,1
פותחין,1
לו,1
בא,1
לטהר,1
מסייעין,1
אותו.,1
וצ'רבו,0
לד'אלך,0
מתל,0
באנסאן,0
יביע,0
אלנפט,0
ודהן,0
אלבלסאן,0
פאדא,0
אראד,0
[אנס]אן,0
שרא,0
נפש,1
קאל,0
לה,0
אדכ'ל,0
בנפסך,0
וזן,0
חאגתך,0
ואדא,0
אראד,0
דהן,0
[אל]בלסאן,0
קאל,0
אצבר,0
(נזל),0
חתי,0
נזן,0
לך,0
ונתטייב,0
בראיחתה,0
גמיע.,0
פאנצ'ר,0
כת'רה,0
אפצ'אל,0
רבנא,0
עלינא,0
מא,0
כפא,0
אנה,0
געל,0
טריק,0
אלחיאה,0
בין,0
אידינא,0
חתי,0
יעיננא,0
איצ'א,0
עליהא,0
ליכלצנא,0
מן,0
גהנם,1
כקול,0
אלחכמ',0
פי,0
אלתלמוד,0
אמר,1
חזקיה,1
ואף,1
הסיתך,1
מפני,1
צר.,1
בא,1
וראה,1
שלא,1
(טו,1
"ע""א)",1
כמדת,1
בשר,1
ודם,1
מידת,1
ה'ק'ב'ה'.,1
מידת,1
בשר,1
ודם,1
מסית,1
את,1
חבירו,1
מדרך,1
חיים,1
לדרך,1
מיתה.,1
אבל,1
הק'ב'ה',1
מיסית,1
האדם,1
מדרכי,1
מיתה,1
לדרכי,1
חיים,1
שנ',1
ואף,1
הסיתך,1
מפי,1
צר,1
מגיהינם,1
שפיה,1
צר,1
כדי,1
שיהיה,1
עשנה,1
צבור,1
