word,is_he
,0
(1,1
"ע""א)",1
אלי,0
אדכל,0
אלי,0
קצר,0
אלמלך,0
ואסמע,0
מע,0
יחתאלו,0
אלאעדא,0
עלי,0
אלאמה,0
פאערף,0
אלחכמים,0
ואחתם,0
עלי,0
אלצאם,0
ואלצלאה,0
חתי,0
יבטל,0
אללה,0
אלגזרה,0
ען,0
ישראל,1
במא,0
ירידון,0
יפעלוה,0
בהם,0
פקאל,0
להם,0
רב,1
ברוקה,1
פלם,0
תגיבני,0
וקד,0
דעות,0
בך,0
קאל,0
לה,0
כנ[…],0
[…]ד,0
ערפת,0
אן,0
אלאעדא,0
מגתמעין,0
פי,0
תדביר,0
חילה,0
עלי,0
ישראל,1
פסארעת,0
לאסתמאעהא,0
קבל,0
אן,0
יטהרוהא,0
והא,0
אנא,0
מכ[…],0
מא,0
פי,0
דלך,0
פאן,0
ישועת,1
"י""י",1
כהרף,1
עין,1
ויקאל,0
ומזרם,1
יפלטם,1
"(ע""ב)",1
וקאל,0
אן,0
קד,0
תבת,0
פי,0
אלעקול,0
אן,0
אללה,0
סבחאנה,0
חק,0
ואחכאמה,0
חק,0
[ומע]ת[ב]ות,0
דלך,0
קד,0
פצח,0
בה,0
אלכתאב,0
אלמקדס,0
כק',0
ואלהים,1
שופט,1
צדיק,1
וקד,0
עלמנא,0
אנה,0
יחט,0
להדא,0
וירפע,0
הדא,0
ודלך,0
בעדל,0
ואנצאף,0
פאן,0
ראי,0
אנסאן,0
וט'ן,0
פיה,0
אנה,0
או',0
משתחק,0
אלחטיטה,0
ורפעה,0
אללה,0
פלא,0
ישוב,0
כאטרה,0
בשי,0
מן,0
אלדנס,0
פאן,0
אלסבב,0
קד,0
כפי,0
ען,0
אלמכלוקין:,0
וכמא,0
אכברונא,0
ע',0
אס',0
בכבר,0
אלרגלין,0
אלפאצ'לין,0
אלדי,0
כאנא,0
מצטח[בין],0
פי,0
אלטעאם,0
ואלשראב,0
ודרסהמא,0
ללתורה,0
ולם,0
יתפרקו,0
פתופא,0
אחדהמא,0
(2,1
"ע""א)",1
ולם,0
יחצ'רון,0
אלנאס,0
גנאזתה,0
ולם,0
יקדרו,0
יגמלוה,0
במא,0
יגב,0
לה,0
ואן,0
קד,0
תופי,0
פי,0
דלך,0
אליום,0
ולד,0
למסתכרג,0
כראג,0
אלמדינה,0
פאגלקת,0
אלאסואק,0
ועטלת,0
אלמדארס,0
חתי,0
דפן,0
בן,0
אלוזיר,0
פדהל,0
עקל,0
אלרגל,0
אלחסיד,0
פהו,0
פי,0
תלך,0
אללילה,0
נאים,0
חתי,0
קאל,0
לה,0
לם,0
תתהאון,0
בחכם,0
אללה,0
פצאחבך,0
אלחסיד,0
עמל,0
מעציה,0
צגירא,0
פוקע,0
אל[אסתי]פא,0
מנה,0
פי,0
הדה,0
אלדניא,0
קבל,0
אלוצול,0
אלי,0
קברה,0
חתי,0
יצל,0
אלאכרת'ה,0
מערא,0
מן,0
גמיע,0
אלאהאם,0
ואמא,0
גנאזא,0
אבן,0
אלוזיר,0
אסתחק,0
(אסתחק)מא,0
סאיתה,0
בחסנה,0
ואחדה,0
גרת,0
לה,0
ליכון,0
עאריא,0
מן,0
אלאגר,0
בריא,0
מן,0
אלתואב,0
מסתחקא,0
ללעקאב,0
פקאל,0
יא,0
סייד,0
ומא,0
היא,0
אלזלה,0
אלדי,0
וקעת,0
מן,0
אלחסיד,0
ואיש,0
אלחסנה,0
אלדי,0
גרת,0
מן,0
אבן,0
אלוזיר,0
פקאל,0
לה,0
אמא,0
צאחבאך,0
פהו,0
ד'את,0
יום,0
קדם,0
לבאס,0
אלתפלין,0
אלדי,0
ללראס,0
עלי,0
אלתי,0
פי,0
אליד,0
פהדא,0
כאן,0
סבב,0
אנצראפה,0
בדלך,0
ליכון,0
לה,0
כמאל,0
תואב,0
דאר,0
אלאכרה,0
ואמא,0
ולד,0
אלוזיר,0
פלם,0
יכון,0
לה,0
חסנה,0
[……],0
רה,0
גיר,0
דפעה,0
ואחדה,0
והי,0
אן,0
ואלדה,0
צנע,0
ולימה,0
לבעץ,0
אלוזרא,0
פלם,0
יחצר,0
ענדה,0
אחד,0
פחלף,0
לא,0
אכל,0
דלך,0
אלטעאם,0
סוי,0
אלצ'עפי,0
פאסתחק,0
עליה,0
גמאל,0
גנאזתה,0
פי,0
אלדוניא,0
ובקי,0
מערא,0
פי,0
אלאכרה,0
פבעד,0
קליל,0
ראי,0
צדיק,0
אלחסיד,0
פי,0
מנאמה,0
דלך,0
אלצדיק,0
