word,is_he
דכר,0
אבתדי,0
אמר,0
קיצר,0
אלמלך,0
ותגלבה,0
עלי,0
אלרום,0
קאל,0
צאחב,0
אלכתאב,0
כאן,0
ברומייה,0
[ר]גל,0
מן,0
אל,0
ש'כ',0
אלמדברין,0
אלדי,0
מע,0
צאחב,0
רומיה,0
אלדי,0
יסמא,0
אלשיך,0
וכאנת,0
לה,0
אמראה,0
חאמל,0
פלמא,0
חצרהא,0
אלולאד,0
מאתת,0
קבל,0
אן,0
תלד,0
ובקי,0
אלולד,0
יצטרב,0
פי,0
גופהא,0
פשקו,0
גופהא,0
ואכרגוה,0
פעאש,0
וכבר,0
וסמי,0
יוליאוס,1
לאנה,0
ולד,0
פי,0
אלשהר,0
אלה',0
מן,0
אלסנה,0
וסמי,0
איצא,0
קיצר,0
פי,0
לגתהם,0
משתקה,0
מן,0
אלקטע,0
קאל,0
ולמא,0
כבר,0
קיצר,0
כאן,0
שגאעא,0
גבאר,0
מקדמא,0
פי,0
אלחרוב,0
פלמא,0
וגה,0
אלשיך,0
צאחב,0
רומיה,0
בקמקנוס,1
עצים,0
אלרום,0
וגבארהם,0
אלי,0
אלמשרק,0
וגה,0
איצא,0
בקיצר,0
אלי,0
אלמגרב,0
ליחארב,0
מן,0
פיה,0
מן,0
אלמלך,0
לאנהם,0
כאנו,0
קד,0
עצו,0
אלרום,0
פסאר,0
אליהם,0
קיצר,0
פצפר,0
בהם,0
ופתח,0
פי,0
אלמגרב,0
פתוחא,0
כתירא,0
ורדהם,0
אלי,0
טאעה,0
אלרום,0
ועאד,0
אלי,0
רומיה,0
בעז,0
עצים,0
ואמר,0
קוי,0
פתדאכלה,0
אלעגב,0
ואלכבר,0
וחדת,0
נפסה,0
באלמלך,0
וטאלב,0
אהל,0
רומיה,0
באן,0
יסמוה,0
מלכא,0
פקאל,0
לה,0
אלשיך,0
ואל,0
ש'כ',0
אלדי,0
מעה,0
אן,0
אואילנא,0
קד,0
חלפו,0
באנהם,0
לא,0
ימלכון,0
עליהם,0
מלכא,0
בסבב,0
מא,0
גרי,0
מן,0
תרכינוס,1
אלמלך,0
וגעלו,0
דאלך,0
עהדא,0
לאזמא,0
להם,0
ועלי,0
מן,0
בעדהם,0
עלי,0
מר,0
אלאגיאל,0
ומד,0
דאלך,0
אלזמאן,0
לא,0
יסמון,0
אחדא,0
ממן,0
יולי,0
אמרהם,0
מלכא,0
ולם,0
יטלב,0
דאלך,0
אחד,0
ממן,0
פתח,0
אלפתוח,0
וגלב,0
וקד,0
מצא,0
קמקנוס,1
אלכביר,0
אלי,0
אלמשרק,0
וגלב,0
כ'ב',0
מלכא,0
ופתח,0
פתוח,0
עצימה,0
ואטאעתה,0
אליהוד,0
מע,0
עצם,0
אמרהם,0
ובאסהם,0
פמא,0
טלב,0
מא,0
טלבתה,0
אנת,0
וליס,0
יגוז,0
לנא,0
אן,0
[נ]גיבך,0
אלי,0
אמר,0
פיה,0
אלאימאן,0
אלעצימה,0
ונקץ,0
וצאיא,0
אלסלף,0
ועהודהם,0
אלוכידה,0
קאל,0
פלם,0
יקבל,0
קיצר,0
מנהם,0
וחארבהם,0
פגלבהם,0
וטרד,0
אלשיך,0
מן,0
אלמדינה,0
וקתל,0
אלש'כ',0
אלדי,0
מעה,0
ותגלב,0
עלי,0
אלדולה,0
ותסמא,0
מלכא,0
וג'על,0
תאג',0
אלמלך,0
עלי,0
ראסה,0
פצאר,0
כל,0
מן,0
ולי,0
אמר,0
אלרום,0
בעדה,0
יסמא,0
מלכא,0
ותסמא,0
קיצר,0
איצ'א.,0
קאל,0
וכאן,0
קמקנוס,1
פי,0
דלך,0
אלוקת,0
במצר,0
פלמא,0
בלג'ה,0
מא,0
פעל,0
קיצר,0
גמע,0
עסאכרה,0
וסאר,0
אליה,0
ליחארבה,0
פלקיה,0
קיצר,0
וחארבה,0
פאנהזם,0
קמקנוס,1
וט'פר,0
בה,0
קיצר,0
פקתלה,0
ואסתולי,0
עלי,0
גמיע,0
ממלכה,0
אלרום,0
ואעמאלהם,0
תם,0
אן,0
קיצר,0
אראד,0
אן,0
ימצ'י,0
אלי,0
מצר,0
פמא,0
תם,0
לה,0
לאן,0
קואד,0
קמקנוס,1
ואצחאבה,0
כאנו,0
קד,0
עאדו,0
אלי,0
מצר,0
וכאנו,0
פי,0
קוה,0
וגמע,0
כביר,0
פראי,0
אן,0
ימצ'י,0
אולא,0
אלי,0
בלאד,0
אלארמן,0
ליהלכהא,0
פלמא,0
עלם,0
מתרדת,0
צאחב,0
אלארמן,0
במג'ייה,0
אסתקבלה,0
ואעלמה,0
אנה,0
טאיע,0
לה,0
ממתתל,0
לאמרה,0
פאמרה,0
קיצר,0
אן,0
יסיר,0
אלי,0
מצר,0
למחארבה,0
מן,0
בהא,0
מן,0
קואד,0
קמקנוס,1
פסאר,0
מתרדת,0
כמא,0
אמרה,0
קיצר,0
וג'א,0
מן,0
בלאדה,0
חתי,0
נזל,0
בעסקלאן,0
וכאן,0
הורקנוס,1
מלך,1
אליהוד,0
למא,0
בלג'ה,0
כבר,0
קיצר,0
ומסירה,0
אלי,0
בלאד,0
אלארמן,0
כאף,0
מנה,0
לאן,0
הורקנוס,1
כאן,0
מערופא,0
בטאעה,0
קמקנוס,1
ומואלאתה,0
פאראד,0
אן,0
יפעל,0
אמר,0
יתקרב,0
בה,0
אלי,0
קיצר,0
פוגה,0
אנטפתר,1
צאחבה,0
פי,0
עסכר,0
כביר,0
למעאונה,0
מתרדת,0
אלארמני,0
פסאר,0
אנטפתר,0
פלקי,0
מתרדת,0
בעסקלאן,0
פקבלה,0
מתרדת,0
ואכרמה,0
וסארא,0
גמיעא,0
אלי,0
מצר,0
פלקיהמא,0
עסכר,0
אלמצריין,0
פי,0
קוה,0
עט'ימה,0
וכאנת,0
בינהמא,0
חרוב,0
ואסתט'הר,0
בהא,0
אלמצריין,0
והזמו,0
מתרדת,0
ואחאטו,0
בה,0
ליקתלוה,0
פכלצה,0
אנטפתר,0
מנהם,0
ותבת,0
אנטפתר,0
פי,0
רגאלה,0
וחארב,0
אלמצריין,0
והזמהם,0
ופתח,0
מצר,0
ודכל,0
מתרדת,0
אלי,0
אלבלד,0
פאסתולא,0
עליה,0
ואצאב,0
