word,is_he
[אלג'ז],0
אל(.,0
.,0
.),0
מן,0
כתאב,0
כפאיהֿ,0
אלעאבדין,0
תצניף,0
מר',1
ור',1
אברהם,1
בן,1
הרב,1
מר',1
ור',1
משה,1
בן,1
ר',1
מימון,1
ז'צ'ל',1
והו,0
אלת'אני,0
מן,0
אלג'זו,0
אלת'אני,0
מן,0
תג'זיהֿ,0
אלכתאב,0
פיה,0
מן,0
פצול,0
אלג'זו,0
אלת'אני,0
ארבע,0
עשר,0
פצלא,0
אלפצל,0
אלראבע,0
ואלעשרון,0
[פי],0
ואג'באת,0
אלתפלה,0
אלפצל,0
אלכ'אמס,0
ואלעשרון,0
פי,0
אסתיפא,0
אלקול,0
פי,0
ואג'באת,0
אלתפלה,0
אלפצל,0
אלסאדס,0
ואלעשרון,0
פי,0
תפלת,1
הציבור,1
אלפצל,0
אלסאבע,0
ואלעשרון,0
פי,0
שרוט,0
שליח,1
ציבור,1
אלפצל,0
אלת'אמן,0
ואלעשרון,0
פי,0
ברכת,1
כהנים,1
אלפצל,0
אלתאסע,0
ואלעשרון,0
פי,0
ברכת,1
מזון,1
אלפצל,0
אלת'לת'ין,0
פי,0
בקיהֿ,0
אלברכות,0
אלפצל,0
אלואחד,0
ואלת'לת'ון,0
פי,0
אלתפלין,0
אלפצל,0
אלת'אני,0
ואלת'לת'ון,0
פי,0
אלמזוזה,0
אלפצל,0
אלת'אלת',0
ואלת'לת'ון,0
פי,0
אלציצת,0
אלפצל,0
אלראבע,0
ואלת'לת'ון,0
פי,0
אלמילה,0
אלפצל,0
אלכ'אמס,0
ואלת'לת'ון,0
פי,0
אלשבועות,0
אלפצל,0
אלסאדס,0
ואלת'לת'ון,0
פי,0
אלנדרים,0
אלפצל,0
אלסאבע,0
ואלת'לת'ון,0
פי,0
וג'וב,0
אלצדק,0
וחרמאן,0
אלכד'ב,0
