word,is_he
תנביה,0
יג'ב,0
אן,0
יכון,0
פי,0
נפסך,0
מן,0
כל,0
ברכה,0
מן,0
אלתאהב,0
ואלאסתעדאד,0
אלבאטן,0
ובעץ',0
אלט'אהר,0
מא,0
יודי,0
אליה,0
אלאג'תהאד,0
אלדיני,0
ואלכ'וף,0
ממן,0
יעט'ם,0
ויסבח,0
או,0
ישכר,0
פי,0
תלך,0
אלברכה,0
חתי,0
אן,0
אמכן,0
אן,0
יסתעד,0
לד'לך,0
שבה,0
אלאסתעדאד,0
אלצלוי,0
או,0
קריב,0
מנה,0
פליפעל,0
ולא,0
תט'ן,0
אן,0
ד'לך,0
מני,0
תגאל,0
בל,0
תחקיק,0
ולא,0
אנה,0
מעני,0
אבתכרתה,0
בל,0
נצוץ,0
אלחכמים,0
"ז""ל",1
דלתני,0
עליה,0
לאנהם,0
"ז""ל",1
מנעוא,0
אלעריאן,0
ובעל,1
קרי,1
מן,0
אלברכות,0
כמא,0
מנעוהמא,0
מן,0
אלתפלה,0
נץ,0
אלמשנה,0
פי,0
ברכות,0
בעל,1
קרי,1
מהרהר,1
בלבו,1
ואינו,1
מברך,1
לא,1
לפניה,1
ולא,1
לאחריה,1
ונץ,0
אלמשנה,0
איצ'א,0
פי,0
תרומות,0
חמשה,1
לא,1
יתרומו,1
ואם,1
תרמו,1
תרומתן,1
תרומה,1
האלם,1
והשכור,1
והערום,1
והסומא,1
ובעל,1
קרי,1
ותבין,0
מן,0
אלתלמור,0
פי,0
ד'לך,0
אן,0
עלהֿ,0
מנע,0
אלאלם,0
ואלערום,0
ובעל,1
קרי,1
מן,0
אלתרומה,0
לכתחלה,0
לאמתנאע,0
אלברכה,0
עליהם,0
ופי,0
ד'לך,0
אעט'ם,0
דליל,0
עלי,0
אחפאלהם,0
"ז""ל",1
באלברכה,0
כאלתפלה,0
ואד'א,0
כאן,0
ד'לך,0
פי,0
ברכת,1
התרומה,1
אלתי,0
הי,0
בר',1
את',1
יי,1
אלהי',1
מל',1
הע',1
אש',1
קד',1
במצ',1
וצונו,1
להפריש,1
תרומה,1
ותסויתהם,0
הד'ה,0
אלברכה,0
בברכת,1
קרית,1
שמע,1
פי,0
מנע,0
בעל,1
קרי,1
מנהא,0
פמא,0
עסאה,0
אן,0
יכון,0
פי,0
בקיהֿ,0
אלברכות,0
אלתי,0
פי,0
אגראצ'הא,0
אתסאע,0
אלא,0
יעתבר,0
מן,0
יפהם,0
כיף,0
אלזמוא,0
פי,0
ברכת,1
הירח,1
באלוקוף,0
שבה,0
מא,0
אלזמוא,0
פי,0
אלתפלה,0
ואד',0
ואלזמוא,0
באלאחפאל,0
אלט'אהר,0
מן,0
סתר,0
אלעורהֿ,0
ואלבדן,0
ואלטהארהֿ,0
פיקאס,0
מנה,0
ללאחפאל,0
אלבאטן,0
באחצ'אר,0
אלניהֿ,0
לתאמל,0
מעאני,0
אלברכה,0
ואן,0
לא,0
ילפט',0
אלמבארך,0
באלפאצ'הא,0
בלסאנה,0
וקלבה,0
כ'אל,0
מן,0
מענאהא,0
פינטוי,0
פי,0
טי,0
מן,0
קיל,0
פיה,0
בפיו,1
ובשפתיו,1
כבדוני,1
ולבו,1
רחק,1
ממני,1
בל,0
אד'א,0
בארכת,0
עלי,0
אלכ'בז,0
בר',1
את',1
יי,1
אלהי',1
מל',1
הע',1
המוציא,1
לחם,1
מן,1
הארץ,1
אפהם,0
כמא,0
תקדם,0
לך,0
פי,0
אלג'ז,0
אלאול,0
פי,0
ברכת,1
התורה,1
אלאשארהֿ,0
למעני,0
אלתעט'ים,0
פי,0
ברוך,0
ולוג'ודה,0
תע',0
פי,0
אתה,0
ולסיאדתה,0
ורבוביתה,0
פי,0
יי,1
אלהי',1
ולחכמה,0
ומלכותה,0
פי,0
כליאת,0
אלעאלם,0
וג'זאיאתה,0
פי,0
מלך,1
העולם,1
וכמא,0
אן,0
הד'ה,0
אלפאתחהֿ,0
משתרכהֿ,0
לכל,0
אלברכות,0
יג'ב,0
אן,0
יכון,0
מענאהא,0
מלמוחא,0
ענדמא,0
ילפט',0
בהא,0
פי,0
כל,0
ברכה,0
ת'ם,0
אפהם,0
מן,0
מעני,0
אלברכה,0
אלתי,0
תמת'לנא,0
בד'כרהא,0
אן,0
המוציא,1
לחם,1
מן,1
הארץ,1
אשארהֿ,0
לאן,0
במשיתה,0
תע',0
וקדרתה,0
אנבתת,0
אלארץ',0
אלקמח,0
אלד'י,0
הו,0
מאדהֿ,0
אלכ'בז,0
ובחכמתה,0
ולטף,0
אלהאמה,0
הדי,0
אלאנסאן,0
לתהייהֿ,0
ד'לך,0
אלקמח,0
באלצנאיע,0
אלמכ'תלפהֿ,0
באלאלאת,0
אלט'אהרהֿ,0
באלטחין,0
ואלעג'ין,0
ואלכ'בז,0
אלי,0
אן,0
צאר,0
כ'בזא,0
כמא,0
אן,0
בקדרתה,0
תתצרף,0
אלקוי,0
אלבאטנהֿ,0
אלטביעיהֿ,0
פי,0
ד'לך,0
אלכ'בז,0
אלמאכול,0
ונחוה,0
פי,0
ג'ד'בה,0
מן,0
עצ'ו,0
אלי,0
עצ'ו,0
ומסכה,0
והצ'מה,0
ותשבהה,0
אלי,0
אן,0
יציר,0
ד'לך,0
אלכ'בז,0
אלמאכול,0
ונחוה,0
ג'ז,0
אנסאן,0
באנמאה,0
לאעצ'אה,0
ואיראדה,0
בדל,0
מא,0
תחלל,0
מנהא,0
פכל,0
הד'ה,0
הי,0
מן,0
מצנועאתה,0
אלכ'תירהֿ,0
אלעדד,0
אלעט'ימהֿ,0
אלשאן,0
אלדאלהֿ,0
עלי,0
חכמתה,0
תע',0
כמא,0
קיל,0
מה,1
רבו,1
מעשיך,1
יי,1
כולם,1
בחכמה,1
עשית,1
מלאה,1
הארץ,1
קניניך,1
ואד'א,0
בארכת,0
עלי,0
אלמא,0
או,0
גירה,0
שהכל,1
נהיה,1
בדברו,1
אג'על,0
באלך,0
למדלול,0
שהכל,0
אן,0
ידכ'ל,0
פיה,0
כל,0
מוג'וד,0
סואה,0
תע',0
ומדלול,0
נהיה,0
אן,0
אלכל,0
כאן,0
בעד,0
אן,0
לם,0
יכון,0
וחדת',0
בעד,0
אלעדם,0
ומפהום,0
בדברו,0
אן,0
במשיתה,0
תע',0
חדת',0
כלמא,0
חדת',0
וכ'לק,0
כל,0
מא,0
כ'לק,0
לאן,0
אלמשיהֿ,0
אסתעיר,0
להא,0
פי,0
מעשה,1
בראשית,1
ואסתעמאל,0
כתבי,1
הקדש,1
לשון,1
אמירה,1
ולא,0
פרק,0
בין,0
מדלול,0
אמירה,1
ומדלול,0
דבור,0
וקד,0
קיל,0
בדבר,1
יי,1
שמים,1
נעשו,1
אלתי,0
נץ,0
אלכתאב,0
פיהא,0
ברא,1
אלהים,1
את,1
השמים,1
ואת,1
הארץ,1
ואד'א,0
בארכת,0
עלי,0
מצוה,0
מן,0
אלמצוות,0
אש',1
קדש',1
במצ',1
וצו',1
אכ'טר,0
בבאלך,0
קדושת,1
מצוות,1
אלתי,0
הי,0
תשריפנא,0
באלתשריע,0
אלד'י,0
קיל,0
פי,0
ג'מלתה,0
פי,0
אואיל,0
אלתשריע,0
ועתה,1
אם,1
שמע,1
תשמעו,1
בקולי,1
וכו',1
ואתם,1
תהיו,1
לי,1
ממלכת,1
כהנים,1
וגוי,1
קדוש,1
וקיל,0
פי,0
כ'אתמתה,0
ויי,1
האמירך,1
היום,1
להיות,1
לו,1
לעם,1
סגולה,1
ולשמור,1
כל,1
מצותיו,1
ולתתך,1
עליון,1
וכו',1
ולהיותך,1
עם,1
קדוש,1
ליי,1
אלהיך,1
כאשר,1
דבר,1
ואלועד,0
אלאעט'ם,0
יקימך,1
יי,1
לו,1
לעם,1
קדוש,1
כאשר,1
נשבע,1
לך,1
כי,1
תשמר,1
את,1
מצות,1
יי,1
אלהיך,1
ואד'א,0
לפט'ת,0
בצונו,1
לעשות,1
כך,1
אחצ'ר,0
כ'אטרך,0
ואסתעבד,0
קלבך,0
ללטאעהֿ,0
בבאטנך,0
ואלתזם,0
שרט,0
עבודיתה,0
בקבול,0
אלאמר,0
באלניהֿ,0
כמא,0
בתסתעבד,0
ט'אהרך,0
בתצריף,0
ג'וארחך,0
ואלאת,0
בדנך,0
בפעל,0
תלך,0
אלמצוה,0
כמא,0
קאלת,0
אבהאתנא,0
נעשה,1
ונשמע,1
נעשה,1
בט'אהרנא,0
ונשמע,0
בבאטננא,0
ואד'א,0
בארכת,0
הגומל,1
לחייבים,1
טובות,1
אכ'טר,0
בבאלך,0
ג'ודה,0
תע',0
וכרמה,0
עלי,0
כל,0
אלאדמיין,0
ולו,0
אלכאפרין,0
אלד'ין,0
הם,0
פי,0
נעמה,0
תע',0
אלדניאיה,0
אלתי,0
לא,0
תחצי,0
כת'רהֿ,0
יתקלבון,0
לאנה,0
בר',1
שמו,1
ארך,1
אפים,1
ורב,1
חסד,1
ואנך,0
ליס,0
באסתחקאקך,0
תנאל,0
אלכ'יר,0
ומה,1
יצדק,1
אנוש,1
עם,1
אל,1
ומה,1
יזכה,1
ילוד,1
אשה,1
ולו,0
ואכ'ד',0
תע',0
חד,0
אלמואכ'ד'הֿ,0
מא,0
ת'בת,0
אכת'ר,0
אלאדמיין,0
אם,1
עונות,1
תשמר,1
יה,1
יי,1
מי,1
יעמד,1
פמא,0
ת'ם,0
כ'יר,0
אלא,0
בפצ'לה,0
תע',0
כמא,0
אן,0
מא,0
ת'ם,0
עקובהֿ,0
אלא,0
בד'נובנא,0
קאלת,0
אנביאה,0
ואתה,1
צדיק,1
על,1
כל,1
הבא,1
עלינו,1
כי,1
אמת,1
עשית,1
ואנחנו,1
הרשענו,1
וקאל,0
דוד,1
צדיק,1
יי,1
בכל,1
דרכיו,1
וחסיד,1
בכל,1
מעשיו,1
צדיק,1
פי,0
מואכ'ד'תה,0
וחסיד,0
פי,0
מג'אזאתה,0
וקאל,0
ולך,1
יי,1
חסד,1
כי,1
אתה,1
תשלם,1
לאיש,1
כמעשהו,1
חתי,0
אלמג'אזאהֿ,0
הי,0
חסד,0
לאנה,0
אי,0
חסד,0
אעט'ם,0
מן,0
אן,0
יתיב,0
אלמולי,0
עבדה,0
עלי,0
כ'דמתה,0
אלתי,0
הי,0
חק,0
לאזם,0
לא,0
סימא,0
מג'אזאתה,0
תע',0
אלתי,0
לא,0
תנחצר,0
כת'רהֿ,0
ועט'מהֿ,0
ולד'לך,0
יעתרף,0
פי,0
הד'ה,0
אלברכה,0
קאילא,0
שגמלני,1
כל,1
טוב,1
יעני,0
אנני,0
חייב,1
וגמלני,1
כל,1
טוב,1
והד'ה,0
עקידהֿ,0
וכדת,0
פיהא,0
אלתורה,0
וחד'רת,0
מן,0
כ'לאפהא,0
יעני,0
אן,0
לא,0
יעתקד,0
אלמתשרע,0
אלכ'יר,0
אלד'י,0
ינאלה,0
אנה,0
בקדר,0
אסתחקאקה,0
בל,0
בזיאדהֿ,0
פצ'לה,0
תע',0
