word,is_he
,0
ואמא,0
ג'מאעהֿ,0
אלקאהרהֿ,0
פאן,0
להא,0
אלפצ'איל,0
אלג'ליהֿ,0
ואלנפוס,0
אלכ'אלצהֿ,0
אלטאהרהֿ.,0
ואלאת'אר,0
אלשריפהֿ,0
אלפאכ'רהֿ.,0
ואלאיאדי,0
כאלבחאר,0
אלזאכ'רהֿ.,0
ואלאעמאל,0
אלנאפעהֿ,0
דניא,0
ואכ'רהֿ,0
פמא,0
פי,0
אלג'מאעהֿ,0
מת'להא,0
חריצהֿ,0
עלי,0
אלכ'יראת.,0
מג'תהדהֿ,0
פי,0
לטאעאת.,0
מיאל(י)הֿ,0
אלצדקאת,0
וכיף,0
לא,0
תכון,0
בטרק,0
אלפצ'א(פ),0
<י>ל,0
עארפהֿ.,0
ולא,0
(תב[…]ק),0
תפוק,0
בפעלהא,0
אלג'מיע,0
אלסאלפהֿ,0
אלמסתאנפהֿ,0
ולהא,0
אלאסתאד',0
אלמאהר.,0
אלהאדי,0
אלבאדי,0
כאלנור,0
אלזאהר,0
אלרייס,0
ר',1
מנאחם,1
אעזה,0
אללה,0
אלד'י,0
לם,0
תלד,0
אלואלדאת,0
מש(פ),0
<ב>ה,0
פצ'לה.,0
ועקם,0
אלנסא,0
ען,0
מת'לה,0
והו,0
סרירה,0
[אל]וג'וד.,0
וענצר,0
[אל]גיר,0
מוג'וד,0
פלקד,0
אנטק,0
אלבכם,0
תנא(י)ה.,0
ואנתג',0
אלעקם,0
נדאה,0
ואדהש,0
אלסאמעין,0
ורעה,0
ודינה.,0
וסלב,0
אלעקול,0
לטפה,0
ולינה,0
בל,0
לקד,0
רפע,0
ען,0
אמתה,0
כם,0
שדאיד,0
באפעאלה,0
אלמשכורהֿ.,0
וחסנאתה,0
אלמשהורה,0
ואן,0
אלרב,0
תעאלי,0
כאן,0
קד,0
אמתחנהם,0
ארבע,1
סנין,0
בחרוב,0
לל[נ]פוס,0
מג'אפ'$[י]ה,0
אלא,0
אנה,0
אן,0
כאנו,0
נג'ו,0
מן,0
תלך,0
אלמצ'איק,0
בחסנאת,0
שכ'ץ,0
פמא,0
נג'ו,0
אלא,0
בחסנאת,0
הד'א,0
אלרייס,0
וג'מיל,0
אפ$צאלה,0
פכ'לצו,0
מן,0
נאר,0
תלך,0
אלחרוב,0
כ'לו(ן)<ץ>,0
אלד'הב.,0
מן,0
אללהב,0
וברוק,0
אל[ל]ג'ין.,0
מן,0
(י)נאר,0
אלקין,0
פט'הרת,0
פי,0
תלך,0
אלשדהֿ,0
פצ'אילה,0
אלכ'פיהֿ.,0
ואפעאל,0
ג'מאעתה,0
אלרצ'יהֿ,0
והכד'א,0
אלג'מאעהֿ,0
אלמצרייהֿ.,0
אלפאצ'להֿ,0
אלזכיהֿ.,0
אלמשהורהֿ,0
באלדיאנהֿ,0
פי,0
ג'מיע,0
אלדיאנ(ה),0
<את>,0
פי,0
ג'מיע,0
אלבריהֿ,0
פלקד,0
אט'הר,0
אללה,0
פי,0
הד'ה,0
אלשדאיד,0
חסן,0
דינהם.,0
וכ'לוץ,0
יקינהם,0
וכאנו,0
כאלד'הב,0
אלאבריז,0
אד(א)כ'לתה,0
נארא.,0
פזאד,0
פי,0
אלסבך,0
ללדינאר,0
(פ)דינארא,0
ולקד,0
כאנו,0
כ'איצ'ין,0
מן,0
בחור,0
אלשדאיד,0
גמראתהא.,0
סאבחין,0
פי,0
לג'ג',0
חיראתהא,0
אלי(מ),0
<א>ן,0
את'אר,0
אללה,0
מן,0
עזאים,0
מלוך,0
אלאסלאם,0
אלמאידין,0
באלתאייד,0
אלאלאהי.,0
אלמנצורין,0
באלנצר,0
אלעזיז,0
אלגיר,0
מתנאהי,0
פג'רד,0
מנה[ם],0
סיופא,0
מאצ'יהֿ,0
אלג'ראר.,0
גיר,0
פלילהֿ,0
אלשפאר,0
ובעת',0
מנהם,0
אסודא,0
תפתרס,0
אלעדא.,0
גאדרתהם,0
טעמהֿ,0
אלרדי,0
ונצר,0
אללה,0
עלי,0
ידיהם,0
ג'מיע,0
אלעבאד.,0
ומהד,0
בסעדהם,0
אלבלאד,0
ופרג',0
ען,0
אלנאס,0
שדהֿ,0
אלות'אק.,0
ונפס,0
ענהם,0
ד'לך,0
(אלכאנק),0
<אלכ'נאק>,0
פאלחמד,0
ללה,0
עלי,0
הד'ה,0
אלנעמהֿ,0
אלג'לילהֿ.,0
פאנהא,0
ליסת,0
בקלילהֿ,0
בל,0
הי,0
מן,0
אלמעג'זאת,0
אלעט'ימהֿ,0
אלקדר.,0
ולקד,0
כאנת,0
לקומנא,0
אכ'תא,0
לשק,0
אלבחר,0
לאנהם,0
פי,0
יומהם,0
כאנו,0
יאיסו,0
מן,0
אלחיאהֿ.,0
ואשרפו,0
עלי,0
אלממאת,0
ופי,0
גדהם,0
פרג',0
אללה,0
כרובהם.,0
ואראח,0
קלובהם,0
כל,0
ד'לך,0
בסעאדהֿ,0
מלוך,0
בני,1
איוב,1
אללד'ין,0
טלעו,0
שמוס,0
סעד,0
פי,0
ס(ת)<מ>א,0
אלעליא.,0
ונצר,0
אללה,0
בהם,0
אלדין,0
ואלדניא,0
אטאל,0
אללה,0
פי,0
ט'ל,0
אלסעאדהֿ,0
איאמהם.,0
ונצר,0
אעלאמהם.,0
וצייר,0
עלי,0
רקאב,0
אלמלוך,0
(ארקאבהם),0
<ארבאקהם>,0
ופי,0
אלרייס,0
מנהם,0
קלת,0
מצר,0
גדת,0
מאוא,0
אלעלא,0
ומנאזל(ה)א,0
לד'וי,0
אלמכארם,0
כם,0
פאצ'ל,0
פיהא,0
וכם,0
אך,0
וכם,0
חבר,0
ועאלם,0
אמא,0
מנחם,1
<קד>,0
נשא,0
פי,0
אלפצ'ל,0
לא,0
יצגא,0
ללאים,0
ואד'א,0
אנברא,0
פי,0
אלג'(ר)<וד>,0
ואל,0
אחסאן,0
אנסא,0
ד'כר,0
חאתם,0
פאבוה,0
אצבח,0
סידא,0
כ'צ'עת,0
לרג'ליה,0
אלג'מאג'ם,0
בג'מאלה,0
כם,0
אצבחת,0
דניאה,0
צאחבהֿ,0
אלמבאסם,0
ד'כראה,0
אחלא,0
ללורי,0
ואלד,0
מן,0
סנהֿ,0
אל[מ]נאים,0
אבאוה,0
כאנת,0
בהם,0
איאמהם,0
שבה,0
אלמ(ב),0
<ו>אסם,0
פאלטוד,0
אטוד,0
ראסיא,0
בחלומהם,0
ענד,0
אלעט'אים,0
ואללית',0
יזאר,0
פי,0
אלשרא,0
בסטאהם,0
פי,0
כל,0
ט'אלם,0
ואלסיף,0
ינפד',0
פי,0
אלוגא,0
בנפוד'הם,0
ענד,0
אלעזאים,0
ואלמסך,0
יעבק,0
ערפה,0
בת'נאיהם,0
בין,0
אלאכארם,0
ואלבדר,0
מן,0
דון,0
אלגמא[י]ם,0
כוג'[ו]ההם,0
תחת,0
אלעמאים,0
ואמא,0
אלסיד,0
אלפאצ'ל,0
אבי,1
יצחק,1
ר'א'ע',0
וארצ'אה,0
פלקד,0
כאן,0
וליא,0
מן,0
אוליא,0
אללה,0
כאן,0
ענצר,0
אלכ'יראת.,0
וינבוע,0
אלחסנאת,0
ומלג'א,0
אלגרבא.,0
ומלאד'א,0
ללקרבא,0
ואבא,0
לליתאמא.,0
וסתר,0
אלאיאמא,0
ג'זאה,0
אללה,0
עלי,0
חסן,0
פעלה.,0
פי,0
עקבה,0
ונסלה,0
וג'מל,0
בהם,0
אלבלאד.,0
ושרף,0
בהם,0
אלעבאד,0
ופי,0
ג'מאעהֿ,0
אלקאהרהֿ,0
ומצר,0
קלת,0
בקאהרהֿ,0
אלעלא,0
ללמג'ד,0
חל<ת>,0
(?),0
<נדאהא>,0
(?),0
מן,0
ג'מיע,0
אלנאס,0
ג'לת,0
נג'ום,0
אלאפק,0
תקבס,0
מן,0
סנאהא,0
ב[…],0
קדהא,0
סיוף,0
אלהנד,0
פלת,0
להם,0
נפס(א),0
עלת,0
שרפא,0
ומג'דא,0
(ילק),0
<ולכן>,0
ענד,0
כ'וף,0
אללה,0
ד'לת,0
לאן,0
אכ'פא,0
פצ'אילהא,0
חיא,0
שמאילהא,0
עלי,0
אלאפעאל,0
דלת,0
ומל,0
אלנאס,0
באלכ'יראת,0
בל,0
הי,0
בפעל,0
אלכ'יר,0
מא,0
הג'רת,0
ומלת,0
פכם,0
בסטו,0
ידיהם,0
באלאיאדי,0
אד'א,0
אלאי(א),0
די,0
אלי,0
אלאענאק,0
גלת,0
וארג'להם,0
בסבל,0
אלהדי,0
סארת,0
נעם,0
ת'בתת,0
ורג'ל,0
אלנאס,0
זלת,0
ופי,0
מצר,0
ג'מ(י),0
<ו>ע,0
ד'את,0
פצ'ל,0
בחלי,0
אלבר,0
מד',0
כאנת,0
תחלת,0
להא,0
אלצלואת,0
אמצ'א,0
מן,0
סיוף,0
בואתרהא,0
עלי,0
אלאעדא,0
סלת,0
מלאיכהֿ,0
אלסמא,0
תצגא,0
אליהא,0
אד'א,0
סג'דת,0
לכ'אלקהא,0
וצלת,0
ורב,0
שדאיד,0
טלעת,0
גיומא,0
ג'לאהא,0
אללה,0
ענהם,0
פאצ'מחלת,0
לקד,0
חאטת,0
בהם,0
אזמאת,0
חרב,0
וקד,0
כאנת,0
ערוש,0
אלדין,0
ת'לת,0
ואקבלת,0
אלעל<ד>,0
(?),0
תפני,0
אלבראיא,0
ורב,1
אלערש,0
אמרהא,0
וולת,0
ופרג',0
כרב,0
אמתה,0
בלטף,0
ושמס,0
אלימן,0
בעד,0
דג'א,0
[ל]הלת,0
וגארתהם,0
סחאב,0
ללאמאני,0
ראת,0
(ירהה,0
תעד),0
<ידהם,0
תג'וד>,0
פאסתהלת,0
ראית,0
מדאיחי,0
עמת,0
ולכן,0
למא,0
פיהם,0
מן,0
אלאחסאן,0
קלת,0
מדדת,0
יד,0
אלת'נא,0
להם,0
פצחת,0
וכאנת,0
פי,0
מדיח,0
אלנאס,0
שלת,0
פיחרם,0
כל,0
מדח,0
פי,0
סואהם,0
נעם,0
אמדאחהם,0
פי,0
אלשרע,0
חלת,0
ואמא,0
הד'א,0
אלרייס,0
אלאוחד,0
ר',1
מנחם,1
אעזה,0
אללה,0
פמא,0
אטלעת,0
שבהה,0
מלתנא.,0
ולא,0
(תסר),0
תשרפת,0
במת'לה,0
אמתנא,0
לאנה,0
קהר,0
אלפצ'איל.,0
מתג'מל,0
בחסן,0
אלפעאיל,0
משכור,0
