word,is_he
,0
פצל.,0
ואעלם,0
אן,0
אלוגוד,0
איצ'א,0
פיה,0
ת'לאת'ה,0
אשיא,0
ינקסם,0
כל,0
ואחד,0
מנהא,0
אלי,0
ת'לאת'ה,0
"אכ'רי,",0
והד'ה,0
הי,0
"אלת'לאת'ה,",0
אלעאלם,0
ואלתורה,0
"וישראל,",1
פאלעאלם,0
ינקסם,0
ת'לאת'ה,0
"אקסאם,",0
עאלם,0
אלעקול,0
ועאלם,0
אלאפלאך,0
ועאלם,0
אליסודות.,0
ואלתורה,0
ת'לאת'ה,0
אשיא,0
תורה,1
כתובים,1
ונביאים.,1
וישראל,1
ת'לאת'ה,0
כהנים,1
לוים,1
וישראל,1
והי,0
מתלאזמה,0
בעצ'הא,0
מן,0
בעץ',0
לא,0
ימכן,0
וגוד,0
אחדהמא,0
אלא,0
בוגוד,0
אלאכ'ר.,0
מת'לא,0
אד'א,0
עדמת,0
אלתורה,0
עדם,0
"אלוגוד,",0
לאן,0
אלתורה,0
הי,0
אלעלם,0
באלוגוד.,0
וישראל,1
מת'לא,0
לו,0
נקדר,0
עדם,0
ישראל,1
לם,0
יכון,0
לאלעאלם,0
"וגוד,",0
לאן,0
אסם,0
ישראל,1
ישיר,0
בה,0
אלי,0
אלשכ'ץ,0
אלכאמל,0
באלוגוד,0
אלד'י,0
תעוד,0
צוור,0
אלמוגודאת,0
פיה,0
צורה,0
כלייה,0
"מעקולה,",0
והד'א,0
הו,0
אלד'י,0
קאל,0
פיה,0
וצדיק,1
יסוד,1
עולם.,1
פמן,0
חית',0
כאן,0
אלאמר,0
כד'לך,0
כאנת,0
אלתורה,0
עלי,0
אכמל,0
מא,0
ימכן,0
ואחכמה,0
"ואעדלה,",0
וכאן,0
אלקצד,0
פיהא,0
צלאח,0
הד'א,0
"אלעאלם,",0
וכמאל,0
הד'א,0
אלנקץ,0
אלד'י,0
"פיה,",0
לחתי,0
יכון,0
מן,0
ד'לך,0
וגוד,0
אנסאן,0
כאמל,0
פי,0
הד'א,0
"אלעאלם,",0
פלמא,0
כאן,0
אלאמר,0
כד'לך,0
גאת,0
אלנצוץ,0
תשהד,0
בכמאל,0
הד'ה,0
אלאשיא,0
ודואמהא,0
ועדאלתהא,0
אלד'י,0
כל,0
ואחד,0
מנהא,0
ינקסם,0
אלי,0
ת'לאת'ה,0
"אשיא,",0
כמא,0
קאל,0
כתבתי,1
לך,1
שלישים,1
במועצות.,1
וקאל,0
פי,0
אלעאלם,0
עליו,1
אין,1
להוסיף,1
וממנו,1
אין,1
"לגרוע,",1
ועלי,0
דואמה,0
קאל,0
כי,1
הוא,1
צוה,1
ונבראו,1
ויעמידם,1
לעד,1
לעולם.,1
וען,0
אלעדאלה,0
פיה,0
קאל,0
הצור,1
תמים,1
פעלו.,1
ונצוץ,0
כת'ירה,0
תדל,0
עלי,0
דואמה,0
וכמאלה,0
ועדאלתה.,0
וקאל,0
פי,0
אלתורה,0
תורת,1
ה',1
"תמימה,",1
וקאל,0
לא,1
תוסיפו,1
על,1
הדבר,1
הזה,1
ולא,1
תגרעו,1
"ממנו,",1
לאן,0
מן,0
כמאל,0
אלשי,0
לא,0
יזאד,0
עליה,0
ולא,0
ינקץ,0
מנה.,0
וקאל,0
פי,0
אלתורה,0
שמר,1
לך,1
את,1
הדברים,1
אשר,1
אנכי,1
מצוך,1
"היום,",1
וקאל,0
לא,1
ימושו,1
מפיך,1
ומפי,1
זרעך,1
ומפי,1
זרע,1
זרעך,1
עד,1
עולם.,1
וקאל,0
פי,0
אלעדאלה,0
פיהא,0
חקים,1
ומשפטים,1
"צדיקים,",1
וקאל,0
משפטי,1
ה',1
אמת,1
צדקו.,1
וקאל,0
פי,0
כמאל,0
ישראל,1
ואתם,1
תהיו,1
לי,1
ממלכת,1
"כהנים,",1
וקאל,0
בך,1
בחר,1
ה',1
להיות,1
לעם,1
"סגולה,",1
רק,1
עם,1
חכם,1
ונבון,1
הגוי,1
הגדול,1
הזה.,1
וען,0
אלעדאלה,0
פיהם,0
קאל,0
צדק,1
צדק,1
"תרדוף,",1
וקאל,0
בצדקה,1
"תכונני,",1
וקאל,0
פתחו,1
שערים,1
ויבא,1
גוי,1
צדיק,1
שומר,1
"אמונים,",1
וקאל,0
וצדקה,1
תהיה,1
לנו,1
כי,1
נשמור,1
לעשות.,1
וען,0
דואם,0
ישראל,1
קאל,0
כי,1
כאשר,1
השמים,1
החדשים,1
והארץ,1
החדשה,1
אשר,1
אני,1
עושה,1
עומדים,1
לפני,1
כן,1
יעמד,1
זרעכם,1
"ושמכם,",1
גם,1
זרע,1
ישראל,1
ישבתו,1
מהיות,1
גוי.,1
ונצוץ,0
כת'ירה,0
תדל,0
עלי,0
כמאל,0
הד'ה,0
אלת'לאת'ה,0
אלאשיא,0
ודואמהא,0
ועדאלתהא:,0
ובעד,0
ד'לך,0
נרגע,0
אלי,0
תביין,0
קולה,0
פי,0
הד'ה,0
אלחוקים,0
ואלמשפטים,0
"ואלמצות,",0
אמא,0
אלחוקים,0
לכונהא,0
אמר,0
ונהי,0
וגאת,0
תנהי,0
אלאנסאן,0
ען,0
הד'ה,0
אלאמור,0
אלערצ'יה,0
כאן,0
אסמהא,0
"חקים,",0
לאן,0
מערפת,0
אלאשיא,0
באעראצ'הא,0
תסמא,0
רסום.,0
ומערפת,0
אלאשיא,0
בחדודהא,0
תסמא,0
חדוד.,0
לד'לך,0
לא,0
לנא,0
אן,0
נקול,0
לם,0
כ'לק,0
אללה,0
תע',0
הד'ה,0
אלאעראץ',0
אלנאקצה,0
או,0
כיף,0
כ'לקהא,0
נאקצה,0
ולם,0
יכ'לקהא,0
"כאמלה,",0
בל,0
יקאל,0
פיהא,0
כד'א,0
שא,0
וכד'א,0
אקתצ'ית,0
חכמתה,0
וכד'א,0
אקתצ'ית,0
טביעת,0
אלוגוד:,0
ונחן,0
לא,0
נקדר,0
נדרך,0
עלמה,0
וחכמתה,0
תעאלא,0
באלוגוד.,0
ואמא,0
אלמשפטים,0
פהי,0
אחכאם,0
תאבעה,0
לאלחוקים,0
מכמלה,0
להא,0
וגאת,0
תלך,0
אלאחכאם,0
באלחכם,0
עלי,0
מן,0
פעל,0
אלאמר,0
"אלפלאני,",0
כאן,0
אלחכם,0
עליה,0
באלאמר,0
"אלפלאני,",0
כמא,0
קד,0
באן,0
ד'לך,0
פי,0
גמיע,0
אלאחכאם,0
אלד'י,0
פי,0
אלתורה.,0
ואמא,0
אלמצות,0
אלמטלקה,0
פהי,0
ארא,0
ואעמאל,0
ואכ'לאק.,0
אמא,0
אלארא,0
ואלאעמאל,0
ליס,0
מנהא,0
שי,0
ירגע,0
אלי,0
"אלדניא,",0
אלא,0
כלהא,0
מנאזל,0
אלעלם,0
אלד'י,0
הו,0
חיי,1
העולם,1
"הבא,",1
מת'ל,0
אלמצות,0
אלתי,0
תאמרנא,0
במערפתה,0
"תעאלא,",0
והי,0
אלד'י,0
קיל,0
פיהא,0
לידע,1
שיש,1
שם,1
אלוה,1
"מצוי,",1
מת'ל,0
ואהבת,1
את,1
"ה',",1
אלד'י,0
לא,0
יצח,0
ד'לך,0
לאלאנסאן,0
אלא,0
עלי,0
קדר,0
עלמה,0
"באלוגוד,",0
לאן,0
ליס,0
לנא,0
טריק,0
למערפהֿ,0
אללה,0
אלא,0
מן,0
הד'א,0
אלוגוד.,0
מן,0
ד'לך,0
אלי,0
אעתברנא,0
הד'ה,0
אלעבאדה,0
והד'א,0
אלתרתיב,0
אלד'י,0
רתבו,0
"ז""ל",1
מת'ל,0
אלקריאה,0
בספר,1
תורה,1
וקריאת,1
שמע,1
ואלתפלה,0
ואלברכות,0
וגמיע,0
אלמצות,0
אלד'י,0
וצ'עוהא,0
מקרונה,0
בזמאן,0
ואלחרכה,0
אלד'י,0
הי,0
חרכת,0
אלפלך.,0
וקד,0
צח,0
באלברהאן,0
חרכת,0
אלפלך,0
ען,0
ארבעה,0
"אסבאב,",0
כריתה,0
ונפסה,0
ושוקה,0
"ועקלה,",0
לד'לך,0
צארת,0
הד'ה,0
אלחרכה,0
באלפלך,0
עבאדה,0
לאללה,0
תע',0
אלד'י,0
הו,0
אלשוק,0
ואלמחבה,0
ואלתשבה,0
באללה,0
אלד'י,0
"כ'לקה,",0
לאנה,0
כ'לק,0
אלוגוד,0
עלי,0
גהת,0
אלאפצ'אל,0
"ואלאחסאן,",0
לא,0
לטלב,0
ג'איה,0
אצלא,0
כמא,0
קאל,0
עולם,1
חסד,1
יבנה.,1
וכד'לך,0
אלפלך,0
צאר,0
יתחרך,0
הד'ה,0
אלחרכה,0
אלדאימה,0
אלסרמדייה,0
אלד'י,0
לא,0
נהאיה,0
להד'ה,0
אלחרכה,0
ולא,0
גאיה,0
להא,0
אלא,0
עבאדתה,0
תע',0
אלד'י,0
הי,0
מחבהֿ,0
אלפלך,0
לאלבקא,0
וכראהיתה,0
"לאלפנא,",0
לאן,0
לו,0
יסכן,0
אלפלך,0
טרפת,0
עין,0
לבאד,0
אלעאלם.,0
לד'לך,0
יגב,0
עלי,0
אלאנסאן,0
תכון,0
עבאדתה,0
ללה,0
תע',0
ען,0
שוק,0
