word,is_he
,0
אלקול,0
פי,0
אחכאם,0
אלשליש,0
פי,0
אלגטין,0
פנקול,0
אן,0
תסלים,0
אלזוג',0
גט,1
זוג'תה,0
אלי,0
שליש,1
קד,0
יכון,0
עלי,0
אחד,0
וג'הין,0
פאל,0
וג'ה,0
אלאול,0
הו,0
אן,0
יסלמה,0
אליה,0
עלי,0
וג'ה,0
אלודיעה,0
עלי,0
שרוט,0
קד,0
יתפק,0
עליהא,0
הו,0
וזוג'תה,0
אלתי,0
דלך,0
אלגט,0
להא,0
פאדא,0
כאן,0
הדא,0
הכדא,0
פילזם,0
אל,0
שליש,1
אן,0
יעמל,0
פי,0
דלך,0
במא,0
קד,0
אתפקא,0
עליה,0
לקולהם,0
פי,0
עמום,0
הדה,0
אלקצ'יה,0
יעשה,1
השליש,1
מה,1
(שהו),1
שהושלש,1
בידו,1
פאן,0
אכתלף,0
אלזוג',0
ואלשליש,0
פי,0
דלך,0
פקאל,0
אלזוג',0
אנמא,0
סלמתה,0
אליה,0
עלי,0
וג'ה,0
אלודיעה,0
עלי,0
שרוט,0
ידכרהא,0
וקאל,0
אלשליש,0
אנמא,0
סלמה,0
אלי,0
לאסלמה,0
אלי,0
זוג'תה,0
אלתי,0
טלקהא,0
פאכתלף,0
פי,0
חכמהמא,0
רב,1
הונא,1
ורב,1
חסדא,1
פי,0
קולהם,0
איתמר,1
בעל,1
או',1
לפקדון,1
ושליש,1
או',1
לגירושין,1
מי,1
נאמן,1
רב,1
הונא,1
א',1
בעל,1
נאמן,1
ואעתל,0
פי,0
דלך,0
לאנה,0
לו,0
כאן,0
דפעה,0
אליה,0
ליסלמה,0
אלי,0
זוג'תה,0
לקד,0
כאן,0
ימכנה,0
תסלימה,0
אליהא,0
מן,0
ידה(א),0
אלי,0
ידהא,0
והדא,0
נץ,0
קולה,0
אם,1
איתה,1
דלגירושין,1
יהביה,1
נהליה,1
הוה,1
יהביה,1
נהלה,1
וקאל,0
רב,1
חסדא,1
שליש,1
נאמן,1
ואעתל,0
פי,0
דלך,0
באנה,0
למא,0
סלמה,0
אליה,0
פקד,0
ותק,0
בה,0
והדא,0
מעני,0
קולהֿ,0
דהא,1
המניה,1
תם,0
קאלו,0
מתיב,1
ר',1
אבא,1
הודאת,1
בעל,1
דין,1
כמאה,1
עד,1
והשליש,1
נאמן,1
משניהם,1
זה,1
אומר,1
כך,1
וזה,1
או',1
כך,1
השליש,1
נאמן,1
והדא,0
אלרד,0
אנמא,0
כאן,0
רדא,0
עלי,0
קול,0
רב,1
הונא,1
לא,0
עלי,0
קול,0
רב,1
חסדא,1
ואנפצל,0
רב,1
הונא,1
מן,0
דלך,0
ען,0
נפסה,0
שאני,1
ממונא,1
דאתיהיב,1
למחילה,1
ואקשו,1
איצ'א,0
עלי,0
רב,1
הונא,1
בקולהם,0
והתניא,1
וכן,1
לגטין,1
פאנפצל,0
וקאל,0
אן,0
הדא,0
כאן,0
מקולא,0
פי,0
גיטי,1
ממון,1
וקיל,0
לה,0
אליס,0
קד,0
קאלו,0
וכן,1
לשטרות,1
פקאל,0
מידי,1
גבי,1
הדדי,1
תניאן,1
ואלהלכה,0
פי,0
דלך,0
כקול,0
רב,1
חסדא,1
לאנה,0
בתרא,1
באל,0
אצ'אפה,0
אלי,0
רב,1
הונא,1
לאנה,0
תלמיד,1
רב,1
הונא,1
וקימא,1
לן,1
הילכתא,1
כבתראי,1
וקד,0
ואפק,0
רב,1
הונא,1
לרב,1
חסדא,1
פי,0
אן,0
אלשליש,0
נאמן,1
אדא,0
קאלת,0
אלמראה,0
אלמטלקה,0
בדלך,0
אלגט,0
אן,0
אלזוג',0
דפעה,0
אלי,0
אלשליש,0
בין,0
ידי,0
לידפעה,0
אלי,0
לא,0
בשרט,0
ולא,0
באסתתנא,0
ודאך,0
קולהם,0
א',1
רבה,1
ומודה,1
רב,1
הונא,1
דאי,1
אמרה,1
לדילי,1
א',1
לי,1
שליש,1
דלגירושין,1
יהביה,1
נהליה,1
מהימנא,1
והדא,0
קול,0
גיר,0
מחרר,0
לאנה,0
אקשו,1
עליה,1
וקאלו,0
מי,1
איכא,1
מידי,1
דאילו,1
א',1
שליש,1
(גו),1
גופי,1
לא,1
