word,is_he
אלבאב,0
אלסאבע,0
עשר,0
ד'כר,0
אחכאם,0
ואו,0
אלעטף,0
אד'א,0
כאנת,0
ואו,0
אלעטף,0
פי,0
כלמהֿ,0
מסתעליהֿ,0
אעני,0
מלעל,1
כאנת,0
תלך,0
אלואו,0
פי,0
ג'ל,0
כלאמהם,0
קמוצה,1
כקולהם,0
הוציא,1
לחם,1
ויין,1
קנה,1
שמים,1
וארץ,1
ויאספו,1
יין,1
וקיץ,1
צפנה,1
ונגבה,1
קדמה,1
וימה,1
אני,1
ואתה,1
אני,1
והוא,1
זהב,1
וכסף,1
שור,1
וכשב,1
ועז,1
ועגל,1
וכבש,1
ושור,1
ואיל,1
אתה,1
והם,1
עם,1
גדול,1
ורם,1
מה,1
לי,1
ולך,1
מקיר,1
העיר,1
וחוצה,1
מהיום,1
ההוא,1
והלאה,1
אבן,1
שלמה,1
וצדק,1
ולא,1
ילך,1
נא,1
אתנו,1
אמנון.,1
ופי,0
מא,0
יעטף,0
מן,0
אלאפעאל,0
וחיו,1
את,1
בניהם,1
ושבו,1
הכד'א,0
הו,0
אכת'ר,0
כלאמהם.,0
וקד,0
יאתי,0
בעצ'ה,0
בשבא,1
מת'ל,0
קולה,0
כל,1
חלב,1
שור,1
וכשב,1
ואתם,1
אספו,1
יין,1
וקיץ,1
ושמן,1
ונשים,1
וטף,1
וסריסים,1
ויין,1
ושמן,1
ובקר,1
וצאן,1
לרב,1
עם,1
גדול,1
ורב,1
[ורם,1
כענקים].,1
וליס,0
כון,0
ושמן,1
וכשב,1
ורב,1
בתברה,0
במכ'רג',0
להא,0
ען,0
נט'ראיהא,0
לאן,0
אלאלחאן,0
ערצ'יהֿ,0
פי,0
אלכלאם,0
וליסת,0
מן,0
טביעהֿ,0
אללגהֿ,0
חסבך,0
אנה,0
קד,0
קיל,0
אתה,1
והם,1
ואהרן,1
בקמץ,1
והו,0
בתברה.,0
ואן,0
כאנת,0
ואו,0
