word,is_he
ואלהלכה,0
אלכ'אמסה,0
ותפסירהא:,0
וקולנא,0
אן,0
בהא,0
רסם,0
אלאזלי,0
רב,0
אלג'יוש,0
אלה,0
אסראיל,0
אללה,0
אלחי,0
אלטאיק,0
אלכאפי,0
אלרפיע,0
אלסני,0
ת'אבת,0
אלאבד,0
וקדוס,0
"אסמה,",0
אנה,0
רסם,0
"אלכ""ב",0
חרפא,0
עלי,0
בניהֿ,0
"אלפלך,",0
פכמא,0
אן,0
אלפלך,0
אד'א,0
דאר,0
ג'על,0
אלמקדם,0
"מוכ'רא,",0
כד'לך,0
אלחרוף,0
אד'א,0
דארת,0
ג'עלת,0
אלמקדם,0
"מוכ'רא,",0
ואלדליל,0
עלי,0
ד'לך,0
אנך,0
תקול,0
ענג,0
פיכון,0
"מחמודא,",0
ותקול,0
נגע,0
פיציר,0
"מד'מומא,",0
והד'ה,0
אלחרוף,0
הי,0
הד'ה,0
אלא,0
אנהא,0
מעכוסה.,0
הד'א,0
אלקול,0
ירחמך,0
אללה,0
הו,0
קטב,0
הד'א,0
אלכתאב,0
אלד'י,0
עליה,0
"מדארה,",0
והו,0
אן,0
אלבארי,0
תברך,0
אסמה,0
קלב,0
אג'זא,0
מן,0
הד'ה,0
אלחרוף,0
והד'ה,0
אלאעדאד,0
תקליבה,0
ואחדה,0
פאחדת',0
מן,0
ד'לך,0
אלתקליב,0
ג'סמא,0
"מא,",0
ת'ם,0
קלבהא,0
תקליבה,0
אכ'רי,0
בתעכיס,0
מואצ'ע,0
אלאג'זא,0
מן,0
מוצ'ע,0
אלי,0
מוצ'ע,0
פאחדת',0
מן,0
ד'לך,0
ג'סמא,0
סוי,0
אלאול.,0
ועלי,0
הדא,0
תכ'טר,0
עלי,0
באלך,0
אן,0
צ'רוב,0
אלתקליב,0
אלתי,0
לא,0
ישבה,0
בעצ'הא,0
בעצ'א,0
יחדת',0
מנה,0
צ'רוב,0
אלאג'סאם,0
אלתי,0
לא,0
ישבה,0
בעצ'הא,0
בעצ'א.,0
וצ'רב,0
לד'לך,0
"מת'לין,",0
אחדהמא,0
דוראן,0
אלפלך,0
ואלאכ'ר,0
דוראן,0
אלחרוף.,0
ולנא,0
איצ'א,0
אן,0
נצ'רב,0
להא,0
מן,0
אלמת'אלאת,0
אכת'ר,0
מן,0
"ד'לך,",0
ולכנא,0
נבתדי,0
במא,0
מת'ל,0
בה,0
"ונקול,",0
כאנא,0
ג'מענא,0
ת'לאת'ה,0
חרוף,0
"חצר,",0
פאד'א,0
תרכנא,0
עלי,0
הד'א,0
אלתאליף,0
כאן,0
מענאהא,0
"דארא,",0
פאן,0
קלנא,0
חרץ,0
אנקלב,0
פצאר,0
"קטעא,",0
פאן,0
קלנא,0
רצח,0
צאר,0
קתלא,0
והי,0
אלחרוף,0
"בעינהא,",0
ואן,0
קלנא,0
צחר,0
צאר,0
שהובה,0
והי,0
אלחרוף,0
בעינהא,0
אלא,0
אן,0
בעצ'הא,0
נקל,0
אלי,0
מכאן,0
אלאכ'ר.,0
ומן,0
צ'רוב,0
אלתעכיס,0
מא,0
"יבטל,",0
כאנך,0
תקול,0
קשר,0
פיכון,0
"עקדא,",0
ותקלבה,0
קרש,1
פיציר,0
"תכ'תג'ה,",0
ושקר,0
"באטל,",0
ושרק,1
"צפיר,",0
ורשק,0
ג'ודה,0
בלגהֿ,0
"אלתרגום,",0
ואמא,0
רקש,1
פלא,0
יכון,0
שיא,0
בהד'ה,0
אללגה,0
בתה.,0
פאן,0
ג'עלת,0
אלמאכ'וד',0
ארבעה,0
חרוף,0
כת'רת,0
אלתקליבאת,0
ומא,0
יחדת',0
מנהא,0
באלאצ'עאף.,0
ואן,0
ג'עלתה,0
כ'מסה,0
כת'רת,0
אכת'ר,0
מן,0
ד'לך,0
עלי,0
מא,0
סנשרח,0
פי,0
אלפרק,0
אלת'אלת'.,0
ונקול,0
וכד'לך,0
פי,0
תעכיס,0
"אלכלמאת,",0
כקולך,0
מאיהֿ,0
אלף,0
"ודינאר,",0
ותעכס,0
בעצ'ה,0
פתקול,0
אלף,0
ומאיהֿ,0
"דינאר,",0
וקס,0
עלי,0
הד'א,0
כל,0
מא,0
אשבהה.,0
וכקולך,0
פי,0
"אלמנטק,",0
כל,0
חי,0
"ג'והר,",0
צחיח.,0
כל,0
ג'והר,0
"חי,",0
מחאל.,0
וכד'לך,0
"תעכס,",0
כל,0
אנסן,0
