word,is_he
אלתרג'מהֿ,0
קו',0
כבתולה,1
חגורת,1
שק,1
ואדכ'ל,0
אבו,0
אלוליד,0
פי,0
הד'א,0
אלבאב,0
אל,0
אלתי,0
מענאהא,0
[אלי],0
וסאק,0
פי,0
ד'לך,0
כלאמא,0
כת'ירא,0
לא,0
אדרי,0
מא,0
מנעה,0
ען,0
סוקה,0
פי,0
אלבאב,0
אלד'י,0
קבל,0
הד'א,0
וד'לך,0
אלמוצ'ע,0
אליק,0
"בח,",0
וממא,0
ט'הרת,0
פיה,0
אלהא,0
מן,0
הד'א,0
אלבאב,0
אלוה,1
מג'אנס,0
ללאלאה,0
ואלאלהה,0
אצנאם,0
ומתלהא,0
אלהי,1
נכר,1
לאלהים,1
יחרם,1
ללאלההֿ.,0
אלם.,1
מאלמים,1
אלמים,1
מג'אנס,0
לקולהם,0
לממת,0
אלשי,0
למא,0
ג'מעתה,0
ואללמהֿ,0
בתכ'פיף,0
אלמים,0
ג'מאעהֿ,0
מן,0
אלנאס.,0
אלף.,1
אלף,1
מן,0
אלעדד,0
מג'אנס,0
ללאלף,0
ומנה,0
צאננו,1
מאליפות,1
מרבבות,1
אי,0
אנהא,0
תציר,0
אלופא,0
ורבואת,0
תקול,0
אלערב,0
אלפת,0
אלאבל,0
אי,0
צארת,0
אלופא,0
והדא,0
מן,0
פציח,0
"אללגהֿ,",0
פן,1
תאלף,1
אורחותיו,1
מענאה,0
תאלף,0
מן,0
(קולהם),0
אלף,0
"יאלף,",0
אל,1
תבטחו,1
באלוף,1
אלופי,1
מג'אגס,0
לקולהם,0
אלף,0
ואל[יף],0
ואמא,0
אלוף,1
תימן,1
ונחוה,0
פפסר,0
פיה,0
צנד[יד],0
וגליל,0
בחסב,0
אלמעני,0
וג'על,0
אבו,0
אלוליד,0
ככבש,1
אלוף,1
(מן?),0
האלפים,1
והעיירים,1
וקאל,0
אנהא,0
לגהֿ,0
פי,0
אלבקר,0
והי,0
לא,0
שך,0
כד'לך,0
וד'כר,0
אן,0
חרף,0
אלעטף,0
סאקט,0
מן,0
אלוף,1
ואנה,0
יריד,0
ככבש,1
ואלוף,1
וליס,0
אלאמר,0
ענדי,0
כד'לך,0
ואלד'י,0
ראיתה,0
פיה,0
אן,0
יכון,0
אלוף,1
נעתא,0
ללכבש,0
פיתרגם,0
כבש,0
ג'ליל,0
מתל,0
אלוף,1
תימן,1
וממא,0
יוכד,0
דלך,0
קולהם,0
יובל,1
לטבוח,1
בלפט,0
אלפראד,0
וליס,0
הדא,0
חכם,0
שמש,1
ירח,1
עמד,1
זבולה,1
עלי,0
מא,0
קאלה,0
פאנה,0
לו,0
אתג'ה,0
לנא,0
פי,0
שמש,1
ירח,1
תכ'ריג',0
יקום,0
בה,0
אלמעני,0
עלי,0
מחץ,0
אלנץ,0
דון,0
זיאדהֿ,0
ולא,0
נקץ,0
למא,0
קלנא,0
אן,0
ואו,1
אלעטף,0
סקטת,0
מן,0
ירח,1
וקד,0
קלת,0
פי,0
צדר,0
אלכתאב,0
אנא,0
לא,0
נעדל,0
[……],0
[אפע.],1
אפעה,1
מת'ל,0
אלאפאעי,0
ואלאפעואן,0
אלד'כר.,0
אפיק.,1
כאפיקים,1
בנגב,1
מגאנסהֿ,0
ללאפאויק,0
והי,0
מא,0
אג'תטע,0
מן,0
אלמא,0
פי,0
אלסחאב,0
פאסתעירת,0
ענדנא,0
למג'תמע,0
אלמיאה,0
אפיקי,1
"ארץ,",1
ויתאפק,1
המן,1
ימכן,0
אן,0
יג'אנס,0
מעני,0
אלאפאקהֿ,0
פאן,0
אלאפאקהֿ,0
ואלתג'לד,0
מתקארבאן,0
פי,0
אלמעני.,0
אצל.,1
ואל,1
אצילי,1
בני,1
ישראל,1
מג'אנס,0
לקולהם,0
רג'ל,0
אציל,0
אלראי,0
ת'אבתה,0
וקד,0
[אצל],0
"אצאלהֿ,",0
תחת,1
א[צי]לות,1
ידיך,1
מענאהא,0
אצול,0
ידיך,0
והי,0
אלאבאט,0
וכדלך,0
שש,1
אמות,1
אצילה,1
אי,0
ענד,0
אלאצל.,0
ארב.,1
אורב,1
מג'אנס,0
ללמוארבהֿ,0
והי,0
אלמדאהאהֿ,0
ואלמכ'אתלהֿ,0
אלתאן,0
המא,0
אצל,0
אלכמון.,0
ארה.,1
ארוות,1
סוסים,1
ואריות,1
סוסים,1
באלואו,0
ואליא,0
מג'אנס,0
ללאוארי,0
ואחדהא,0
ארי,0
והו,0
אלמעלף,0
ואצל,0
אלאוארי,0
מחאבס,0
אלכ'יל.,0
ארז.,1
ארז,1
מג'אנס,0
ללארז.,0
ארן.,1
וישם,1
בארון,1
במצרים,1
מג'אנס,0
ללאראן,0
והו,0
תאבות,0
יחמל,0
פיה,0
"אלמית,",0
קאל,0
טרפהֿ,0
אמון,0
כאלואח,0
אלאראן,0
נסאתהא,0
ארץ.,1
ארץ,1
ושמים,1
מג'אנס,0
ללארץ.,0
ארש.,1
ארש,1
אשה,1
מג'אנס,0
לקולהם,0
אערס,0
אלרג'ל,0
אתכ'ד',0
ערסא,0
ותעאור,0
אלאלף,0
ואלעין,0
כת'יר.,0
אשש.,1
לאשישי,1
קיר,1
חרשת,1
ג'עלה,0
אבו,0
אלוליד,0
מג'אנסא,0
ללאס,0
שבה,0
בה,0
אלאקויא,0
אלקאימין,0
באלממלכהֿ,0
וכונה,0
[מ]ן,0
סמכוני,1
באשישות,1
אלתי,0
היא,0
נים,0
אלכ'מר,0
אליק,0
באלמעני,0
פאן,0
אלמע[ני,0
פי]ה,0
אנמא,0
הו,0
תוג'ע,0
ותפג'ע,0
עלי,0
אלכרום,0
ואלג'פאן,0
ואלפאכההֿ,0
עלי,0
מא,0
יקיל,0
כי,1
שדמות,1
חשבון,1
אמלל,1
ונ[א]סף,1
שמחה,1
וגיל,1
מן,1
הכרמל.,1
וסאיר,0
אלפצל.,0
אשה.,1
נפלו,1
אשיותיה,1
תפסירה,0
[…],0
אסאיאהא,0
ג'מע,0
אסיהֿ,0
והו,0
מא,0
אסם,0
מן,0
אלבניאן,0
פאח,0
[…],0
אלאסיהֿ,0
אלדעאמהֿ.,0
אשל.,1
ויטע,1
אשל,1
ימכן,0
אן,0
יתרג'ם,0
אלאסל,0
והו,0
נבאת,0
לה,0
אגצאן,0
בלא,0
ורק,0
ואלואחד,0
אסלהֿ,0
וימכן,0
[אן],0
יכון,0
אלאת'ל,0
והו,0
שג'ר,0
ישבה,0
אלטרפא,0
ואמא,0
מא,0
ד'הב,0
אליה,0
אבו,0
אלוליד,0
מן,0
אן,0
יכון,0
מג'אנסא,0
לקולהם,0
תאת'ל,0
פהו,0
מעני,0
בעיד.,0
אשם.,1
אשום,1
אשם,1
ליי,1
מג'אנס,0
לקולהם,0
את'ם,0
וקע,0
פי,0
"אלאת'ם,",0
והיה,1
כי,1
יאשם,1
מענאה,0
אד'א,0
תאת'ם,0
אלרג'ל,0
אי,0
תחרג',0
מן,0
אלאת'ם.,0
את.,1
אתה,1
מג'אנס,0
לאנת,0
וללמונת,0
את,1
בגיר,0
הא,0
וכאן,0
אלהא,0
פי,0
אתה,1
נט'יר,0
אלפתחהֿ,0
פי,0
אלתא,0
וקד,0
ג'א,0
ללמד'כר,0
בגיר,0
הא,0
והו,0
קליל,0
ואם,1
ככה,1
את,1
עושה,1
לי.,1
אתה.,1
אתה,1
בקר,1
זהב,1
יאתה,1
מג'אנס,0
לקולהם,0
אתי,0
יאתי,0
האותיות,1
שאלוני,1
אלאתיאת,0
ומנה,0
ואותיות,1
ואשר,1
תבאנה,1
והו,0
עלי,0
בניהֿ,0
הומיות,1
בוכיות.,1
אתן.,1
אתון,1
מג'אנס,0
"ללאתאן,",0
איתן,1
מושבך,1
הו,0
ענדי,0
