word,is_he
ואנא,0
אלאן,0
אכ'ד',0
פי,0
ד'כר,0
אלאצול,0
אלד'י,0
ינבגי,0
אן,0
יעתמד,0
עליהא,0
פי,0
עדד,0
אלמצות,0
והי,0
ארבעהֿ,0
עשר,0
"אצלא,",0
בעד,0
אן,0
אקדם,0
אן,0
ג'מלהֿ,0
אלמצות,0
אלתי,0
ישתמל,0
עליהא,0
ספר,1
התורה,1
אלתי,0
שרענא,0
אללה,0
בהא,0
הי,0
שש,1
מאות,1
ושלש,1
עשרה,1
מצות.,1
מנהא,0
מצות,1
עשה,1
מאיתין,0
ות'אמניה,0
וארבעין,0
עדד,0
עט'אם,0
ג'סד,0
"אלאנסאן,",0
ומנהא,0
מצות,1
לא,1
תעשה,1
ת'לאת',0
מאיה,0
וכ'מסה,0
וסתין,0
והי,0
עדד,0
איאם,0
אלסנה,0
"אלשמסייה,",0
והד'א,0
עדד,0
מד'כור,0
פי,0
נץ,0
"אלתלמוד,",0
פי,0
גמר,1
מכות,1
"קאלוא,",0
שש,1
מאות,1
ושלש,1
עשרה,1
מצות,1
נאמרו,1
לו,1
למשה,1
"בסיני,",1
שלש,1
מאות,1
וששים,1
וחמש,1
כנגד,1
ימות,1
"החמה,",1
ומאתים,1
וארבעים,1
ושמונה,1
כנגד,1
אבריו,1
של,1
אדם.,1
וקאלוא,0
איצ'א,0
עלי,0
סביל,0
אלדרש,0
אן,0
כון,0
מצות,1
עשה,1
עדד,0
אלעט'אם,0
כלומר,0
שכל,1
אבר,1
ואבר,1
אומר,1
לו,1
לאדם,1
עשה,1
בי,1
"מצוה,",1
וכון,0
מצות,1
לא,1
תעשה,1
עלי,0
עדד,0
איאם,0
אלסנה,0
כלומר,1
כל,1
יום,1
ויום,1
אומר,1
לו,1
לאדם,1
אל,1
תעש,1
בי,1
עברה.,1
והד'א,0
מא,0
לא,0
יג'הלה,0
אחד,0
מן,0
כל,0
מן,0
עד,0
אלמצות,0
אעני,0
אנהא,0
הד'א,0
"עדדהא,",0
ואנמא,0
והמוא,0
כל,0
אלוהם,0
פי,0
אלאשיא,0
אלמעדודה,0
כמא,0
סיבין,0
פי,0
הד'ה,0
"אלמקאלה,",0
וד'לך,0
בגפלתהם,0
ען,0
מעאני,0
הד'ה,0
אלאצול,0
אלארבעה,0
עשרה,0
אלד'י,0
אביינהא,0
אלאן,0
