word,is_he
",",0
אן,0
ליס,0
כל,0
מא,0
יתעלם,0
באחד,0
שלש,1
עשרה,1
מדות,1
שהתורה,1
נדרשת,1
בהן,1
או,1
ברבוי,1
ינבגי,0
עדדה.,0
קד,0
בינא,0
פי,0
צדר,0
תאליפנא,0
פי,0
שרח,0
אלמשנה,0
אן,0
אכת'ר,0
אחכאם,0
אלשריעה,0
יסתכ'רג',0
בשלש,1
עשרה,1
מדות,1
שהתורה,1
נדרשת,1
"בהן,",1
ואן,0
אלחכם,0
אלמסתכ'רג',0
במדה,0
מן,0
תלך,0
אלמדות,0
קד,0
יקע,0
פיה,0
"אלאכ'תלאף,",0
ואן,0
ת'ם,0
אחכאם,0
הי,0
תפאסיר,0
מרויה,0
ען,0
משה,1
רבנו,1
לא,0
כ'לאף,0
"פיהא,",0
לכנהם,0
יסתדלוא,0
עליהא,0
באחדי,0
שלש,1
עשרה,1
מדות,1
לאן,0
מן,0
חכמהֿ,0
אלנץ,0
אנה,0
ימכן,0
אן,0
תוג'ד,0
פיה,0
אשארה,0
תדל,0
עלי,0
ד'לך,0
אלתפסיר,0
אלמרוי,0
או,0
קיאסא,0
ידל,0
"עליה,",0
וקד,0
בינא,0
הד'א,0
אלמעני,0
הנאך.,0
פאד'א,0
כאן,0
ד'לך,0
"כד'לך,",0
פליס,0
כל,0
מא,0
נג'ד,0
אלחכמים,0
קד,0
אסתכ'רג'וה,0
במדה,1
משלש,1
עשרה,1
מדות,1
נקול,0
אנה,0
נאמר,1
למשה,1
"בסיני,",1
ולא,0
איצ'א,0
נקול,0
פי,0
כל,0
מא,0
נג'דהם,0
פי,0
אלתלמוד,0
יסנדונה,0
אלי,0
אחד,0
שלש,1
עשרה,1
מדות,1
אנה,0
"מדרבנן,",1
לאן,0
קד,0
יכון,0
תפסיר,0
מרוי.,0
פאלוג'ה,0
פי,0
"ד'לך,",0
אן,0
כל,0
מא,0
לא,0
תג'דה,0
נץ,0
פי,0
אלתורה,0
ותג'ד,0
אלתלמוד,0
קד,0
תעלמה,0
באחדי,0
שלש,1
עשרה,1
"מדות,",1
אן,0
בינו,0
הם,0
באנפסהם,0
וקאלוא,0
אן,0
הד'א,0
גוף,1
"תורה,",1
או,0
אן,0
הד'א,0
מדאוריתא,0
פינבגי,0
"עדדה,",0
אן,0
אלראויין,0
קאלוא,0
אנה,0
דאוריתא.,1
ואן,0
לם,0
יבינו,0
ד'לך,0
ולא,0
אפצחוא,0
בה,0
פהו,0
מדרבנן,1
אד',0
וליס,0
ת'ם,0
נץ,0
ידל,0
עליה.,0
והד'א,0
איצ'א,0
אצל,0
קד,0
והם,0
פיה,0
"גירנא,",0
ולד'לך,0
עד,0
יראת,1
חכמים,1
פי,0
ג'מלהֿ,0
מצות,1
"עשה,",1
ואלד'י,0
חמלה,0
עלי,0
ד'לך,0
פי,0
מא,0
יבדוא,0
"לי,",0
קול,0
ר',1
עקיבה,1
את,1
ה',1
אלהיך,1
תירא,1
לרבות,1
תלמידי,1
"חכמים,",1
פט'ן,0
אן,0
כל,0
מא,0
יחצל,0
ברבוי,0
הו,0
מן,0
אלג'מלה,0
אלמד'כורה.,0
ואן,0
כאן,0
אלאמר,0
כמא,0
"זעמוא,",0
לאי,0
שי,0
לם,0
יעדוא,0
כבוד,1
בעל,1
האם,1
ואשת,1
האב,1
מצוה,1
בפני,1
עצמה,1
מצ'אפה,0
אלי,0
כבוד,1
אב,1
"ואם,",1
וכד'לך,0
כבוד,1
אחיו,1
"הגדול,",1
לאן,0
האולא,0
אלאשכ'אץ,0
תעלמוא,0
לזום,0
אלכבוד,0
להם,0
"ברבוי,",1
קאלוא,0
את,1
אביך,1
לרבות,1
אחיך,1
הגדול,1
ולרבות,1
בעל,1
"אמך,",1
ואת,1
אמך,1
לרבות,1
אשת,1
"אביך,",1
כמא,0
קאלוא,0
את,1
ה',1
אלהיך,1
תירא,1
לרבות,1
תלמידי,1
"חכמים,",1
פלאי,0
שי,0
עדוא,0
הד'ה,0
ולם,0
יעדוא,0
הד'ה.,0
