word,is_he
",",0
אלאמר,0
אלד'י,0
אמרנא,0
באכ'ראג',0
מעשר,1
עני,1
פי,0
כל,0
סנה,0
ת'אלת'ה,0
מן,0
"אלשמטה,",0
ופי,0
אלת'אלת'ה,0
מן,0
בעד,0
כל,0
ת'אלת'ה,0
אעני,0
פי,0
כל,0
סאדסה,0
מן,0
אלשמטה,0
"איצ'א,",0
והו,0
קולה,0
תעאלי,0
מקצה,1
שלש,1
שנים,1
תוציא,1
את,1
כל,1
מעשר,1
תבואתך,1
וכו'.,1
והד'ה,0
איצ'א,0
לא,0
תלזם,0
מן,1
התורה,1
גיר,0
פי,0
ארץ,1
ישראל.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
מסכת,1
פאה,1
ופי,0
מסכת,1
דמאי,1
ופי,0
מסכת,1
"מעשרות,",1
ובעץ',0
מסאיל,0
מנהא,0
מתפרקה,0
פי,0
מואצ'ע,0
שתי,0
מן,0
סאיר,0
מסכתות,1
זרעים,1
ומסכת,1
מכשירין,1
וידים.,1
