word,is_he
",",0
אלאמר,0
אלד'י,0
אמרנא,0
בוצף,0
אפצ'אלה,0
תעאלי,0
עלינא,0
ותכ'ליצנא,0
מן,0
אוליהֿ,0
חאל,0
יעקוב,0
"ג'דנא,",0
ומן,0
עבודיהֿ,0
אלמצריון,0
וט'למהם,0
"לנא,",0
ושכרה,0
עלי,0
ג'מיע,0
"ד'לך,",0
ואלטלבה,0
מנה,0
אסתדאמהֿ,0
"אלברכה,",0
ענד,0
מא,0
נג'יב,0
"אלבכורים,",0
והו,0
קולה,0
תעאלי,0
וענית,1
ואמרת,1
לפני,1
ה',1
אלהיך,1
ארמי,1
אבד,1
אבי,1
ותלאות,0
תלך,0
אלפרשה,0
"כלהא,",0
והד'ה,0
אלמצוה,0
תתסמי,0
מקרא,1
בכורים.,1
וקד,0
תביינת,0
אחכאמהא,0
פי,0
מסכת,1
בכורים,1
ופי,0
אלפרק,0
אלסאבע,0
מן,0
שוטה.,1
והי,0
לא,0
תלזם,0
אלנסא.,0
