word,is_he
",",0
אלאמר,0
אלד'י,0
אמרנא,0
באבאדהֿ,0
אלמעאבד,0
וביותהא,0
כלהא,0
באנואע,0
אלאבאדה,0
"ואלתתליף,",0
באלכסר,0
ואלחרק,0
ואלהדם,0
ואלקטע,0
כל,0
נוע,0
ממא,0
יצלח,0
"לה,",0
אעני,0
במא,0
יכון,0
אבלג,0
פי,0
דמארה,0
"ואסרע,",0
ואלגרץ',0
אן,0
לא,0
נתרך,0
להא,0
"את'ר,",0
והו,0
קולה,0
תעאלי,0
אבד,1
תאבדון,1
את,1
כל,1
"המקומות,",1
וקאל,0
איצ'א,0
כי,1
אם,1
כה,1
תעשו,1
להם,1
מזבחותיהם,1
"תתצו,",1
וקאל,0
איצ'א,0
ונתצתם,1
את,1
מזבחותם,1
ושברתם,1
את,1
מצבותם.,1
ולמא,0
אן,0
אנג'ר,0
פי,0
נץ,0
גמר,1
סנהדרין,1
קולהם,0
מצות,1
עשה,1
דעבודה,1
זרה,1
קאלוא,0
עלי,0
ג'ההֿ,0
"אלאסתפהאם,",0
בעבודה,1
זרה,1
מאי,1
מצות,1
עשה,1
"איכא,",1
תרגמה,1
רב,1
חסדא,1
ונתצתם.,1
ונץ,0
ספרי,1
מנין,1
אתה,1
אומר,1
שאם,1
קצץ,1
אשרה,1
והחליפה,1
אפילו,1
עשר,1
פעמים,1
שחייב,1
"לקצצה,",1
תלמוד,1
לומר,1
אבד,1
תאבדון.,1
וקאלוא,0
הנאך,0
ואבדתם,1
את,1
שמם,1
מן,1
המקום,1
"ההוא,",1
בארץ,1
ישראל,1
אתה,1
מצווה,1
לרדוף,1
אחריהם,1
ואין,1
אתה,1
מצווה,1
לרדוף,1
אחריהם,1
בחוצה,1
לארץ.,1
