word,is_he
",",0
אלאמר,0
אלד'י,0
אמרנא,0
עלי,0
אלראייה,0
והו,0
קולה,0
תעאלי,0
שלש,1
פעמים,1
בשנה,1
יראה,1
כל,1
זכורך,1
את,1
פני,1
ה',1
אלהיך.,1
ומעני,0
הד'ה,0
אלמצוה,0
אן,0
יטלע,0
אלאנסאן,0
בכל,0
ולד,0
ד'כר,0
ענדה,0
ימכנה,0
אן,0
ימשי,0
וחדה,0
יטלע,0
בה,0
"ללמקדש,",0
ויקרב,0
קרבן,1
עולה,1
ענד,0
"טלועה,",0
והד'א,0
אלקרבן,0
עולה,1
אלד'י,0
יקרב,0
ענד,0
טלועה,0
הו,0
אלד'י,0
יתסמי,0
עולת,1
ראייה.,1
וקד,0
תקדם,0
לנא,0
קולהם,0
שלש,1
מצות,1
נצטוו,1
ישראל,1
ברגל,1
חגיגה,1
ראייה,1
ושמחה.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
איצ'א,0
אעני,0
מצות,1
ראייה,1
פי,0
מסכת,1
חגיגה.,1
והי,0
איצ'א,0
לא,0
תלזם,0
אלנסא.,0
