word,is_he
",",0
הו,0
אלאמר,0
אלד'י,0
אמרנא,0
בשחיטת,1
פסח,1
שני,1
מן,0
אעתד'ר,0
עליה,0
פסח,1
"ראשון,",1
והו,0
קולה,0
תעאלי,0
בחדש,1
השני,1
בארבעה,1
עשר,1
יום,1
בין,1
הערבים,1
יעשו,1
אותו.,1
והנא,0
ינבגי,0
ללמשכך,0
אן,0
ישכך,0
עליי,0
ויקול,0
לי,0
לאי,0
שי,0
תעד,0
פסח,1
שני,1
והד'א,0
ינקץ',0
אלד'י,0
קדמתה,0
פי,0
אלאצל,0
אלסאבע,0
פי,0
קולך,0
אן,0
פקה,0
אלשריעה,0
לא,0
ינעד,0
מצוה,1
בפני,1
"עצמה,",1
פליעלם,0
מעתרץ',0
הד'א,0
אלאעתראץ',0
אן,0
אלחכמים,0
קד,0
אכ'תלפוא,0
פי,0
פסח,1
שני,1
הל,0
יגרי,0
מג'רא,0
אלפקה,0
ללאוול,0
או,0
הו,0
אמר,0
מסתקל,0
"בנפסה,",0
וקטוע,0
אלהלכה,0
אנה,0
אמר,0
מסתקל,0
בנפסה,0
פלד'לך,0
ינבגי,0
עדה,0
בפני,1
עצמו.,1
ופי,0
גמר,1
פסחים,1
קאלוא,0
חייב,1
כרת,1
על,1
הראשון,1
וחייב,1
כרת,1
על,1
השני,1
דברי,1
"רבי,",1
ר',1
נתן,1
אומר,1
חייב,1
כרת,1
על,1
הראשון,1
ופטור,1
על,1
"השני,",1
ר',1
חנניה,1
בן,1
עקביה,1
אומר,1
אף,1
על,1
הראשון,1
אינו,1
חייב,1
כרת,1
אלא,1
אם,1
כן,1
לא,1
עשה,1
שני.,1
ת'ם,0
סאל,0
אלתלמוד,0
וקאל,0
במאי,1
קא,1
"מפלגי,",1
רבי,1
סבר,1
שני,1
רגל,1
בפני,1
עצמו,1
"הוא,",1
ור',1
נתן,1
סבר,1
שני,1
תשלומין,1
לראשון,1
"הוא,",1
פקד,0
באן,0
מא,0
אשרנא,0
אליה.,0
והנאך,0
קיל,0
הלכך,1
הזיד,1
בזה,1
ובזה,1
יעני,0
לא,1
הקריב,1
פסח,1
ראשון,1
ולא,1
פסח,1
שני,1
בזדון,1
דברי,1
הכל,1
"חייב,",1
שגג,1
בזה,1
ובזה,1
דברי,1
הכל,1
"פטור,",1
הזיד,1
בראשון,1
ושגג,1
בשני,1
לרבי,1
ור',1
נתן,1
חייב,1
ולר',1
חנניה,1
בן,1
עקביה,1
פטור.,1
וכד'לך,0
איצ'א,0
אד'א,0
הזיד,1
בראשון,1
והקריב,1
בשני,1
פהו,0
חייב,1
ענד,0
"רבי,",0
לאן,0
ליס,0
ענדה,0
אלשני,0
תשלומין,1
"לראשון,",1
ולהלכה,0
פי,0
ד'לך,0
כלה,0
כרבי.,0
והד'ה,0
אלמצוה,0
לא,0
תלזם,0
"אלנסא,",0
לאנה,0
קד,0
תביין,0
הנאך,0
אן,0
אשה,1
בשני,1
רשות.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
איצ'א,0
פי,0
גמר,1
פסחים.,1
