word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
אכל,0
אלפגול.,0
ואלפגול,0
הו,0
אלקרבן,0
אלד'י,0
פסדת,0
פיה,0
אלמחשבה,0
חין,0
ד'בחה,0
או,0
וקת,0
תקריבה,0
ועוול,0
אלשכ'ץ,0
אלד'י,0
תנאול,0
תקריבה,0
אן,0
יוכל,0
מנה,0
אחר,1
"זמנו,",1
או,0
יחרק,0
מא,0
יחרק,0
מנה,0
אחר,1
"זמנו,",1
עלי,0
מא,0
ביינא,0
ואוצ'חנא,0
פי,0
ת'אני,0
מסכת,1
זבחים.,1
אמא,0
אלאזהרה,0
ען,0
אכל,0
הד'א,0
אלפגול,0
פהו,0
קולה,0
לא,1
יאכל,1
כי,1
קדש,1
"הם,",1
עלי,0
מא,0
ביינא,0
פי,0
אלמצוה,0
אלתי,0
קבל,0
הד'ה.,0
ואמא,0
אלעונש,0
פתעלמנאה,0
מן,0
קולה,0
פי,0
אלפגול,0
פי,0
פרשת,1
צו,1
את,1
אהרן,1
ואם,1
האכל,1
יאכל,1
מבשר,1
זבח,1
שלמיו,1
ביום,1
השלישי,1
לא,1
ירצה,1
המקריב,1
אותו,1
לא,1
יחשב,1
לו,1
פגול,1
יהיה,1
והנפש,1
האוכלת,1
ממנו,1
עונה,1
"תשא,",1
ג'אנא,0
אלנקל,0
פי,0
תפסיר,0
הד'א,0
"אלפסוק,",0
אנה,0
אנמא,0
יתכלם,0
פי,0
אלקרבן,0
אלד'י,0
פסדת,0
פיה,0
אלניה,0
פי,0
חין,0
תקריבה,0
והו,0
אלד'י,0
יתסמי,0
"פגול,",1
ואן,0
קולה,0
האכל,1
"יאכל,",1
אנמא,0
יריד,0
בה,0
אד'א,0
חשב,1
עליו,1
אן,0
יאכל,0
מנה,0
ביום,1
"השלישי,",1
קאלוא,0
כוף,1
אזנך,1
לשמוע,1
במחשב,1
על,1
זבחו,1
שיאכל,1
ממנו,1
ביום,1
השלישי,1
הכתוב,1
"מדבר,",1
פאנה,0
יפסד,0
בהד'ה,0
"אלמחשבה,",0
ומן,0
יאכל,0
מנה,0
בעד,0
אלמחשבה,0
הד'ה,0
חייב,1
כרת,1
לקולה,0
והנפש,1
האוכלת,1
ממנו,1
עונה,1
"תשא,",1
וקאל,0
פי,0
אלנותר,0
ואכליו,1
עונו,1
"ישא,",1
ופי,0
גמר,1
כרתות,1
קאלוא,0
אל,1
תהי,1
גזרה,1
שוה,1
קלה,1
בעינך,1
שהרי,1
פגול,1
אחד,1
מגופי,1
תורה,1
ולא,1
למדו,1
הכתוב,1
אלא,1
בגזרה,1
שוה,1
דיליף,0
עון,1
עון,1
מנותר,1
כתיב,1
הכא,1
והנפש,1
האוכלת,1
ממנו,1
עונה,1
תשא,1
וכתיב,1
התם,1
ואכליו,1
עונו,1
"ישא,",1
מה,1
להלן,1
כרת,1
אף,1
כאן,1
כרת.,1
ואלד'י,0
יאכל,0
איצ'א,0
פגול,1
בשגגה,1
יביא,1
חטאת,1
קבועה.,1
וקד,0
תביינת,0
אחכאם,0
אלפגול,0
ואלנותר,0
פי,0
מואצ'ע,0
שתי,0
מן,0
סדר,1
קדשים.,1
