word,is_he
",",0
אלנהי,0
אלד'י,0
נהי,0
כהן,1
גדול,1
ען,0
נכאח,0
אלאלמנה,0
ולו,0
בגיר,0
"קדושין,",1
והו,0
קולה,0
תעאלי,0
ולא,1
יחלל,1
זרעו,1
בעמיו.,1
וביאן,0
"ד'לך,",0
אן,0
כהן,1
הדיוט,1
חרם,0
עליה,0
אלזואג',0
בקולה,0
לא,1
"יקחו,",1
ולקוחין,1
אנמא,0
הו,0
"אלקדושין,",0
לכנה,0
אינו,1
לוקה,1
עד,1
שיבעול,1
כמא,0
תקדם,0
"ביאנה,",0
אמא,0
אד'א,0
בעל,0
דון,0
קדושין,1
ואן,0
כאן,0
ד'לך,0
חראם,0
ומנהי,0
ענה,0
ופסלה,0
לכנה,0
אינו,1
לוקה,1
משום,1
זה,1
אד',0
ולם,0
יתביין,0
אלנהי,0
ען,0
ד'לך.,0
אמא,0
כהן,1
גדול,1
פג'א,0
פיה,0
שני,1
"לאוין,",1
ואחד,1
לא,1
יקח,1
והו,0
תחרים,0
"אלזואג',",0
ות'אני,0
לא,1
יחלל,1
זרעו,1
והו,0
תחרים,0
אלנכאח,0
ולו,0
דון,0
קדושין.,1
ופי,0
גמר,1
קדושין,1
קאלוא,0
ומודה,1
רבא,1
בכהן,1
גדול,1
באלמנה,1
שאם,1
בעל,1
ולא,1
קדש,1
"שלוקה,",1
ולא,1
יחלל,1
זרעו,1
אמר,1
רחמנא,1
והרי,1
חלל.,1
והנאך,0
קיל,0
כהן,1
גדול,1
באלמנה,1
לוקה,1
"שתים,",1
לוקה,1
משום,1
לא,1
יקח,1
ולוקה,1
משום,1
לא,1
יחלל.,1
ואנמא,0
אכ'תץ,0
ד'לך,0
באלמנה,0
לאנהא,0
אלמכ'תצה,0
בלאו,0
עלי,0
כהן,1
גדול,1
והי,0
כשרה,1
"לכהונה,",1
ובהד'ה,0
אלבעילה,0
חללה,1
ופסלה,1
"לכהונה,",1
ואמא,0
גרושה,1
וזונה,1
וחללה,1
פחכמה,0
פי,0
ת'לאת'תהם,0
חכם,0
כהן,1
"הדיוט,",1
אעני,0
אן,0
כל,0
ואחדה,0
מנהן,0
פסולה,1
לכהונה,1
"מתחלתה,",1
לאן,0
מא,0
כרר,0
תחרימהן,0
עלי,0
כהן,1
גדול,1
אלא,0
לאלמעני,0
אלד'י,0
ד'כרת,0
לך.,0
