word,is_he
",",0
אלנהי,0
אלד'י,0
נהי,0
אלכהנים,0
ען,0
דכ'ול,0
אלמקדש,0
והם,0
ממזקין,0
"אלת'יאב,",0
והו,0
קולה,0
ובגדיכם,1
לא,1
תפרמו,1
ולא,1
תמותו.,1
ונץ,0
ספרא,1
בגדיכם,1
לא,1
תפרמו.,1
אל,1
תקרעו,1
בגדיכם.,1
ותכרר,0
הד'א,0
אלנהי,0
איצ'א,0
פי,0
כהן,1
גדול,1
ובגדיו,1
לא,1
יפרום.,1
ואעלם,0
אן,0
כהן,1
גדול,1
ולו,0
שלא,1
בשעת,1
העבודה,1
לא,0
יג'וז,0
לה,0
אן,0
ימזק,0
עלי,0
מיית,0
ימות,0
"לה,",0
ולאג'ל,0
הד'ה,0
אלזיאדה,0
כרר,0
הד'א,0
אללאו.,0
ופי,0
ספרא,1
ראשו,1
לא,1
יפרע,1
ובגדיו,1
לא,1
יפרום,1
על,1
מתו,1
כדרך,1
שבני,1
אדם,1
פורעין,1
ופורמין,1
על,1
"מתיהן,",1
כיצד,1
כהן,1
גדול,1
פורם,1
מלמטן,1
וההדיוט,1
מלמעלן.,1
וכל,1
מן,0
עבד,1
ובגדיו,1
קרועים,1
פהו,0
איצ'א,0
חייב,1
"מיתה,",1
לאן,0
חכם,0
פרועי,1
ראש,1
וקרועי,1
בגדים,1
ואחד.,0
אמא,0
דכ'ול,0
אלמקדש,0
עלי,0
הד'ה,0
אלחאלה,0
פהו,0
"בלאו,",0
וכהן,1
גדול,1
כ'אצה,0
יחרם,0
עליה,0
אבדא,0
אן,0
יפרע,0
ואן,0
יפרום,1
ואפילו,1
לא,1
נכנס,1
"למקדש,",1
והד'א,0
הו,0
אלפרק,0
בינה,0
ובין,1
כהן,1
הדיוט,1
פי,0
הד'א.,0
