word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
אלקרצ'ה,0
"ברבית,",1
והו,0
קולה,0
תעאלי,0
את,1
כספך,1
לא,1
תתן,1
לו,1
בנשך,1
ובמרבית,1
לא,1
תתן,1
אכלך.,1
והד'ה,0
אלשני,0
לאוין,1
אנמא,0
הי,0
פי,0
מעני,0
ואחד,0
ג'את,0
"לאלתאכיד,",0
וליכון,0
אלד'י,0
ילוה,1
ברבית,1
עובר,1
בשני,1
לאוין,1
לא,0
אנהמא,0
"מעניין,",0
אן,0
אלנשך,0
הו,0
אלרבית,0
ואלרבית,0
הו,0
אלנשך.,0
ופי,0
גמר,1
מציעאה,1
קאלוא,0
אי,1
אתה,1
מוצא,1
נשך,1
בלא,1
תרבית,1
ולא,1
תרבית,1
בלא,1
"נשך,",1
ולמה,1
חלקו,1
הכתוב,1
לעבור,1
עליו,1
בשני,1
לאוין.,1
והנאך,0
קיל,0
דאוריתא,1
נשך,1
ותרבית,1
חדא,0
מלתא,0
נינהו.,0
והנאך,0
קיל,0
איצ'א,0
השתא,0
דכתיב,0
את,1
כספך,1
לא,1
תתן,1
לו,1
בנשך,1
"ובמרבית,",1
קרי,1
ביה,1
את,1
כספך,1
לא,1
תתן,1
לו,1
בנשך,1
"ובמרבית,",1
ובנשך,1
ובמרבית,1
לא,1
תתן,1
אכלך.,1
פיכון,0
כל,0
מן,0
אקרץ',0
ברבית,1
כסף,1
או,1
פירות,1
קד,0
תעדי,0
על,0
שני,1
לאוין,1
מצ'אף,0
אלי,0
שאר,1
לאוין,1
אלתי,0
ג'את,0
איצ'א,0
פי,0
אלמלוה,0
"לאלתאכיד,",0
לאנה,0
קד,0
תכרר,0
הד'א,0
אלנהי,0
בלפט',0
אכ'ר,0
וקאל,0
אל,1
תקח,1
מאתו,1
נשך,1
"ותרבית,",1
ותביין,0
פי,0
גמר,1
מציעאה,1
אן,0
הד'א,0
אללאו,0
איצ'א,0
למלוה,1
"הוא,",1
לכן,0
הד'ה,0
כלהא,0
לאוי,1
יתירי,1
כמא,0
ביינא,0
פי,0
אלאצל,0
"אלתאסע,",0
לאנהא,0
כלהא,0
פי,0
מעני,0
ואחד,0
תכרית,0
והו,0
אן,0
תנהי,0
אלמלוה,0
ען,0
אלקרצ'ה,0
ברבית.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
כ'אמס,0
מציעאה.,1
