word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
אלתצרף,0
פי,0
קרצ'הֿ,0
אלרבית,0
בין,0
אללוה,0
"ואלמלוה,",0
לא,0
נצ'מן,0
"לאחדיהמא,",0
ולא,0
נשהד,0
"עליהמא,",0
ולא,0
נכתב,0
בינהמא,0
שטר,0
פי,0
מא,0
אתפקא,0
עליה,0
מן,0
אמר,0
"אלרבית,",0
והו,0
קולה,0
תעאלי,0
לא,1
תשימון,1
עליו,1
"נשך,",1
ונץ,0
גמר,1
מציעאה,1
ערב,1
ועדים,1
אינן,1
עוברין,1
אלא,1
משום,1
לא,1
תשימון,1
עליו,1
נשך.,1
והנאך,0
תביין,0
אן,0
אלסופר,0
אלחק,0
באלעדים,0
ואלערב.,0
והנאך,0
תביין,0
איצ'א,0
אן,0
הד'א,0
אללאו,0
אלד'י,0
הו,0
לא,1
תשימון,1
עליו,1
נשך,1
מע,0
כונה,0
ג'א,0
פי,0
אלוסאיט,0
פאנה,0
יעם,0
אלמלוה,0
"איצ'א,",0
פלד'לך,0
יכוך,0
מלוה,1
ברבית,1
קד,0
תעדי,0
עלי,0
ששה,1
"לאוין,",1
אחדהא,0
לא,1
תהיה,1
לו,1
"כנושה,",1
ואלת'אני,0
את,1
כספך,1
לא,1
תתן,1
לו,1
"בנשך,",1
ואלת'אלת',0
ובמרבית,1
לא,1
תתן,1
"אכלך,",1
ואלראבע,0
אל,1
תקח,1
מאתו,1
"נשך,",1
ואלכ'אמס,0
לא,1
תשימון,1
עליו,1
"נשך,",1
ואלסאדס,0
ולפני,1
עור,1
לא,1
תתן,1
מכשול.,1
הנאך,0
קיל,0
ואלו,1
עוברין,1
בלא,1
תעשה,1
המלוה,1
והלוה,1
והערב,1
"והעדים,",1
וחכמים,1
אומרים,1
אף,1
"הסופר,",1
עוברין,1
על,1
בל,1
"תתן,",1
ועל,1
בל,1
תקח,1
"ממנו,",1
ועל,1
לא,1
תהיה,1
לו,1
"כנושה,",1
ועל,1
לא,1
תשימון,1
עליו,1
"נשך,",1
ועל,1
ולפני,1
עור,1
לא,1
תתן,1
מכשול.,1
ופי,0
אלגמר,0
אמר,1
אביי,1
מלוה,1
עובר,1
"בכולן,",1
לוה,1
עובר,1
משום,1
לא,1
תשיך,1
ולפני,1
עור,1
לא,1
תתן,1
"מכשול,",1
ערב,1
ועדים,1
אין,1
עוברין,1
אלא,1
משום,1
לא,1
תשימון,1
עליו,1
נשך.,1
ואלמתעדי,0
עלי,0
הד'א,0
אללאו,0
אן,0
כאנת,0
משום,1
רבית,1
קצוצה,1
פתסתכ'רג',0
מנה,0
ותרד,0
ללד'י,0
אכ'ד',0
מנה,0
אלרבית.,0
