word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
גבן,0
בעצ'נא,0
בעץ',0
"באלכלאם,",0
והו,0
אן,0
נקול,0
לה,0
אקואל,0
תולמה,0
ותקלקה,0
ולא,0
יקדר,0
יתנצר,0
"לנפסה,",0
מת'ל,0
אן,0
תתקדם,0
לה,0
אפעאל,0
צבווה,0
ויתוב,0
"מנהא,",0
פיקול,0
לה,0
אחמד,0
אללה,0
אלד'י,0
נקלך,0
מן,0
אלחאלה,0
אלפלאניה,0
אלי,0
הד'ה,0
אלחאלה,0
אלצאלחה,0
ונחו,0
הד'א,0
מן,0
אלתעריץ',0
באלעיב,0
"אלמולם,",0
והו,0
קולה,0
תעאלי,0
ולא,1
תונו,1
איש,1
את,1
עמיתו,1
ויראת,1
"מאלהיך,",1
קאלוא,0
זו,1
אונאת,1
דברים.,1
ונץ,0
ספרא,1
כשהוא,1
אומר,1
ולא,1
תונו,1
איש,1
את,1
עמיתו,1
הרי,1
אונאת,1
דברים,1
"אמורה,",1
כיצד,1
אם,1
היה,1
בעל,1
תשובה,1
לא,1
יאמר,1
לו,1
זכור,1
מעשיך,1
"הראשונים,",1
היו,1
חלאים,1
"וכו',",1
ראה,1
חמרים,1
"וכו',",1
לא,1
יאמר,1
לו,1
בכמה,1
חפץ,1
זה,1
וכו'.,1
וקאלוא,0
גדולה,1
אונאת,1
דברים,1
מאונאת,1
"ממון,",1
שבאונאת,1
דברים,1
הוא,1
אומר,1
ויראת,1
מאלהיך.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
ראבע,0
מציעאה.,1
