word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
רד,0
אלעבד,0
אלאבק,0
אלי,0
ארץ,1
ישראל,1
אלי,0
מולאה,0
ועלי,0
אן,0
מולאה,0
"ישראלי,",1
אד',0
והרב,0
מחוצה,1
לארץ,1
לארץ,1
ישראל,1
לא,0
ירדה,0
"לה,",0
בל,0
יחררה,0
ויכתב,0
עליה,0
ת'מנה,0
"דין,",0
והו,0
קולה,0
תעאלי,0
לא,1
תסגיר,1
עבד,1
אל,1
"אדוניו,",1
צח,0
פי,0
ראבע,0
גטין,1
אן,0
בעבד,1
שברח,1
מחוצה,1
לארץ,1
לארץ,1
הכתוב,1
"מדבר,",1
אן,0
יכון,0
אלחכם,0
פיה,0
אן,0
יכתב,1
שטר,1
בדמיו,1
ויכתב,1
לה,1
גט,1
"חרות,",1
ולא,0
ירד,0
לאלעבודה,0
בוג'ה,0
לאסתגארתה,0
באלבקעה,0
אלטאהרה,0
אלמכ'תארה,0
לאלג'מע,0
אלפאצ'ל.,0
והנאך,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה.,0
