word,is_he
",",0
אלנהי,0
אלד'י,0
נהי,0
אלשכ'ץ,0
ען,0
אן,0
יתנבא,1
"בשמה,",1
והו,0
אן,0
יקול,0
אן,0
אללה,0
אמרה,0
"בעבאדתהא,",0
או,0
אנהא,0
הי,0
אמרת,0
בעבאדהֿ,0
נפסהא,0
ותואעדת,0
ואועדת,0
כמא,0
יזעם,0
נביאי,1
הבעל,1
ונביאי,1
האשרה.,1
ולם,0
יג'י,0
פי,0
אלנץ,0
נהי,0
ביין,0
מכ'תץ,0
בהד'א,0
אלמעני,0
אעני,0
אזהרת,1
מתנבא,1
"בשמה,",1
לכנה,0
תביין,0
פי,0
אלנץ,0
אלעונש,0
וחכם,0
באלקתל,0
עלי,0
מתנבא,1
"בשמה,",1
והו,0
קולה,0
ואשר,1
ידבר,1
בשם,1
אלהים,1
אחרים,1
ומת,1
הנביא,1
"ההוא,",1
והד'ה,0
אלמיתה,0
בחנק,1
עלי,0
מא,0
תאצל,0
ענדנא,0
אן,0
מיתה,1
האמורה,1
בתורה,1
סתם,1
חנק,1
וקד,0
עלמת,0
אלאצל,0
אלד'י,0
ביינת,0
לך,0
פי,0
אלאצל,0
אלראבע,0
עשר,0
מן,0
אלאצול,0
אלמתקדמה,0
להד'ה,0
"אלמקאלה,",0
והו,0
קולהם,0
לא,1
ענש,1
הכתוב,1
אלא,1
אם,1
כן,1
"הזהיר,",1
פתכון,0
אלאזהרה,0
שלו,0
מן,0
קולה,0
ושם,1
אלהים,1
אחרים,1
לא,1
"תזכירו,",1
ולא,0
ימתנע,0
כון,0
אלנהי,0
אלואחד,0
ינהי,0
ען,0
אשיא,0
כת'ירה,0
ולא,0
יכון,0
חכמה,0
חכם,0
לאו,1
שבכללות,1
אד'א,0
תביין,0
אלעונש,0
פי,0
כל,0
מעני,0
ומעני.,0
וסיאתיך,0
מן,0
ד'לך,0
מת'אלאת,0
פי,0
מוצ'עהא.,0
וקד,0
תביין,0
חכם,0
הד'ה,0
אלמצוה,0
פי,0
אלחאדי,0
עשר,0
מן,0
סנהדרין.,1
