word,is_he
",",0
אלנהי,0
אלד'י,0
נהי,0
אלחאכם,0
ען,0
תבע,0
ראי,0
אלאכת'ר,0
אד'א,0
כאנת,0
אלזיאדה,0
שכ'ץ,0
ואחד,0
פקט.,0
וביאן,0
ד'לך,0
אן,0
אד'א,0
וקע,0
אלאכ'תלאף,0
בין,0
אלחכאם,0
פי,0
"מד'נב,",0
קאל,0
בעצ'הם,0
אנה,0
ילזמה,0
אלקתל,0
וקאל,0
בעצ'הם,0
אנה,0
לא,0
ילזמה,0
"קתל,",0
וכאן,0
אלמחייבין,0
יזידון,0
עלי,0
אלמזכין,0
פי,0
אלעדד,0
בשכ'ץ,0
"ואחד,",0
פלא,0
יג'וז,0
קתל,0
ד'לך,0
"אלמד'נב,",0
ונהי,0
אללה,0
אלחאכם,0
ען,0
קתלה,0
חתי,0
יכון,0
אלמחייבין,0
אכת'ר,0
מן,0
אלמזכין,0
"בשנים,",0
והו,0
קולה,0
לא,1
תהיה,1
אחרי,1
רבים,1
"לרעות,",1
יריד,0
בד'לך,0
לא,0
תתבע,0
אי,0
רוב,0
אתפק,0
פי,0
תנפיד',0
חכם,0
אלמות,0
והד'א,0
הו,0
מעני,0
תכ'ציצה,0
לרעות.,0
ונץ,0
אלמכילתא,0
או,1
אחד,1
עשר,1
מזכין,1
ושנים,1
עשר,1
מחייבין,1
שומע,1
אני,1
יהא,1
"חייב,",1
תלמוד,1
לומר,1
לא,1
תהיה,1
אחרי,1
רבים,1
לרעות.,1
והנאך,0
קיל,0
הטותך,1
לטובה,1
על,1
פי,1
"אחד,",1
לרעה,1
על,1
פי,1
שנים.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
ראבע,0
סנהדרין.,1
